 	il	viendra	cet	après-midi	</S>
w	0.989283	0.00805586	0.00215934	0.000373948	0.000128245
a	0.992093	0.00196957	0.00564298	0.000176567	0.000118114
l	0.744475	0.141391	0.0980123	0.00262769	0.0134947
á	0.118363	0.0827095	0.308392	0.00487727	0.485658
a	0.486003	0.130956	0.240885	0.0167771	0.125379
y	0.0101296	0.943523	0.036369	0.00362753	0.00635086
a	0.0257612	0.930617	0.0303601	0.00103952	0.0122221
á	0.186222	0.225246	0.415326	0.000912032	0.172294
p	0.255846	0.368003	0.28157	0.0370444	0.0575364
á	0.0208938	0.369947	0.116532	0.438415	0.0542116
b	0.0171968	0.71877	0.0649524	0.146343	0.0527381
h	0.0638952	0.132218	0.206243	0.392837	0.204806
a	0.0606122	0.07145	0.0571801	0.5568	0.253958
l	0.00888708	0.00410453	0.305058	0.344402	0.337549
a	0.00782814	0.0208426	0.327791	0.115207	0.528332
ε	0.0250037	0.00417957	0.348909	0.299841	0.322066
k	0.00589539	0.0157978	0.184609	0.731889	0.0618087
a	0.000320186	0.0133293	0.109455	0.853103	0.0237927
l	0.000614634	0.00690997	0.0689451	0.862893	0.0606375
á	0.00121419	0.0356064	0.130903	0.603717	0.228559
a	0.118845	0.0346012	0.209848	0.161319	0.475388
</S>	0.0210754	0.0223466	0.527789	0.0578925	0.370897
