 	j'	ai	une	plaie	à	l'	épaule	</S>
n	0.837642	0.0397203	0.0156395	0.0963871	0.007991	0.00197501	0.000583278	6.19712e-05
g	0.96241	0.0288724	0.00549365	0.000714274	0.00203589	0.000447167	5.39035e-06	2.10944e-05
í	0.780485	0.194836	0.0208819	0.000950689	0.00173098	0.00109457	2.22792e-06	1.83822e-05
d	0.105152	0.329605	0.326372	0.0783377	0.0467332	0.0349628	0.00412257	0.0747153
í	0.0195566	0.375308	0.232436	0.0452086	0.059888	0.0324957	0.00920671	0.2259
l	0.495932	0.0727306	0.106442	0.045447	0.0163291	0.0115253	0.00879357	0.242801
a	0.404486	0.255443	0.141606	0.0738841	0.0296663	0.0170791	0.000739653	0.0770963
p	0.0737998	0.0614669	0.165981	0.642173	0.0210707	0.0108841	0.00331667	0.0213083
ó	0.000537065	0.00467078	0.0618412	0.841819	0.00277718	0.00206775	0.0771436	0.0091431
r	0.000179723	0.00788064	0.100742	0.877787	0.00506482	0.00157478	0.00430627	0.00246454
á	9.7624e-05	0.00456673	0.0547953	0.856546	0.048105	0.0120275	0.00315436	0.0207077
m	0.0016989	0.0201368	0.0477349	0.279532	0.514568	0.119695	0.00746368	0.00917056
é	0.00107276	0.0078664	0.0151359	0.0736792	0.480107	0.24635	0.0344057	0.141382
t	0.000822844	0.0143492	0.0320673	0.18211	0.338421	0.221144	0.133432	0.0776537
ú	0.000100363	0.00038178	0.00574465	0.106513	0.026721	0.0347998	0.805972	0.0197671
s	2.0629e-05	8.41607e-05	0.00307508	0.101773	0.0284052	0.0413759	0.797196	0.0280698
u	0.00234555	0.00144728	0.0196397	0.387174	0.0822486	0.0728638	0.347188	0.087093
</S>	0.000406661	0.00258019	0.0105003	0.00729644	0.127831	0.290686	0.0893969	0.471303
