 	il	n	'	y	en	a	pas	assez	pour	moi	</S>
b	0.180337	0.242531	0.191489	0.198941	0.0491074	0.0244015	0.0167878	0.0445587	0.036762	0.00983746	0.005247
á	0.0734009	0.203209	0.479709	0.16796	0.0297007	0.00860441	0.00429023	0.00537358	0.0121162	0.0115577	0.00407894
n	0.126026	0.420411	0.270077	0.0697124	0.0167236	0.00894108	0.00775504	0.00875801	0.0210342	0.0285679	0.0219949
g	0.235656	0.519516	0.103697	0.00293295	0.00458132	0.00195056	0.00137588	0.00155597	0.0134882	0.0847454	0.0305009
á	0.108058	0.658889	0.122495	0.00185365	0.00396757	0.00157039	0.000691972	0.000964478	0.00457686	0.0760367	0.0208972
í	0.233881	0.0544749	0.270647	0.144671	0.0956109	0.0392293	0.0160819	0.02144	0.0621815	0.0366269	0.0251559
s	0.0188707	0.0321601	0.167212	0.0893156	0.118312	0.0816895	0.0312468	0.0508277	0.0311644	0.0534677	0.325733
á	0.0120896	0.0112135	0.1059	0.0314258	0.139679	0.142139	0.040524	0.0204795	0.0268118	0.0627457	0.406992
a	0.062217	0.00954575	0.0561806	0.0436202	0.132637	0.173505	0.113712	0.0489976	0.0824106	0.164438	0.112735
o	0.00276344	0.00290579	0.019475	0.018295	0.099298	0.188543	0.122628	0.0901278	0.0808912	0.242244	0.132829
k	0.000621888	0.000676691	0.0043505	0.0163939	0.0905005	0.101255	0.177126	0.171608	0.149928	0.119591	0.167948
o	0.00105858	0.00067649	0.00481433	0.0488745	0.0467265	0.03916	0.147617	0.25301	0.17961	0.0563701	0.222082
a	0.000236822	0.000196332	0.0029258	0.0459078	0.0565933	0.0411754	0.157433	0.254166	0.189339	0.0768259	0.175201
k	0.00198377	0.000193202	0.00527632	0.00460652	0.0197233	0.0609709	0.144063	0.246951	0.267251	0.101107	0.147873
a	0.00296591	0.00274495	0.00440107	0.0226316	0.0118182	0.0252084	0.142228	0.26582	0.244675	0.0358902	0.241616
á	0.000494244	0.00085704	0.00307012	0.00787519	0.0106396	0.0293655	0.0640009	0.113458	0.0642479	0.0527617	0.653229
</S>	0.0104139	0.00185259	0.0112709	0.0060295	0.0181219	0.0383837	0.0397053	0.0772856	0.125755	0.147063	0.524119
