 	ses	parents	ne	le	fréquentent	plus	parce	qu'	il	pratique	la	sorcellerie	</S>
i	0.593315	0.281458	0.0890373	0.0161855	0.00185516	0.0068271	0.00390975	0.00449405	0.0013033	0.000772316	0.000748198	7.08135e-05	2.41376e-05
b	0.116006	0.614315	0.15795	0.0242864	0.0484275	0.0085245	0.017396	0.00279604	0.00101571	0.00300762	0.00317328	0.00208832	0.00101334
ó	0.155101	0.602308	0.15147	0.0211968	0.0286111	0.0151176	0.00661275	0.00681513	0.00519006	0.0021533	0.00121904	0.00131181	0.00289429
r	0.0608609	0.807201	0.0724906	0.021327	0.00608224	0.00476103	0.00231201	0.00309025	0.00340625	0.00352439	0.000906096	0.00101645	0.0130217
o	0.0943201	0.187226	0.0961508	0.0706267	0.0807929	0.0555204	0.0467237	0.076901	0.0745074	0.0636708	0.0270163	0.0267696	0.0997739
á	0.286973	0.434075	0.213934	0.0285851	0.00275334	0.00913839	0.0040555	0.00567807	0.0037117	0.00245099	0.00392073	0.000451327	0.00427257
b	0.246436	0.141883	0.291602	0.201214	0.0094574	0.02145	0.0146911	0.011725	0.00987451	0.0171515	0.016642	0.00297811	0.0148964
h	0.147875	0.0980571	0.3011	0.299158	0.0210445	0.0278262	0.00945215	0.0143418	0.0180211	0.0272646	0.0187772	0.00320856	0.0138742
i	0.219518	0.121449	0.237614	0.170104	0.0121605	0.0559832	0.0207863	0.0370065	0.0399032	0.0380364	0.0150379	0.00214332	0.0302574
á	0.127675	0.0639648	0.320625	0.248362	0.0402002	0.0313656	0.0248493	0.0217475	0.0228864	0.0163974	0.0148286	0.00861521	0.058483
m	0.0564134	0.0197127	0.205788	0.547963	0.0513791	0.0261919	0.0123806	0.0153924	0.0112632	0.0110312	0.0167228	0.00794721	0.0178141
b	0.0336869	0.0188628	0.141973	0.651114	0.0841854	0.0106325	0.0114503	0.0101415	0.0146427	0.00304213	0.00476762	0.00128492	0.0142158
v	0.0113572	0.0670192	0.15548	0.60882	0.106055	0.0156805	0.00332572	0.00597004	0.00752129	0.00628246	0.00275349	0.00156842	0.00816748
á	0.0175528	0.130196	0.208082	0.330721	0.0977135	0.0507061	0.00649938	0.0168734	0.0219574	0.0263759	0.00890554	0.00525797	0.0791601
a	0.0638489	0.0184691	0.172834	0.241767	0.0960324	0.0613774	0.0219376	0.0162902	0.0500716	0.0346191	0.00466694	0.00576296	0.212323
w	0.0115558	0.00453581	0.0975833	0.317197	0.270002	0.111218	0.0492952	0.0304537	0.0305582	0.0233065	0.011448	0.00478588	0.038061
a	0.0202309	0.0093156	0.11209	0.118119	0.108779	0.212596	0.0915196	0.0937036	0.131449	0.0595401	0.0148939	0.00399013	0.0237739
o	0.00365743	0.00293149	0.0664018	0.193595	0.160969	0.280811	0.103217	0.0691431	0.0436782	0.0210858	0.0264584	0.00537857	0.0226729
p	0.00168274	0.00243802	0.0173664	0.0630361	0.810791	0.03598	0.051813	0.00444821	0.0027605	0.00325016	0.00179372	0.00188733	0.00275246
f	7.62792e-05	0.000534239	0.00233124	0.00927495	0.942092	0.0225934	0.0105337	0.00116907	0.000951732	0.00419274	0.00078106	0.00284921	0.00262073
a	0.000272433	0.000834101	0.00363581	0.0201804	0.839572	0.047862	0.0291476	0.00583267	0.00325118	0.020888	0.00600809	0.0133524	0.00916291
k	0.00144619	0.000550712	0.00651731	0.0325342	0.47668	0.203358	0.110489	0.0450936	0.0178492	0.0258974	0.0136764	0.019375	0.0465341
a	0.00262471	0.00159077	0.00654137	0.0115694	0.263227	0.533317	0.0628575	0.013409	0.0183837	0.0538332	0.00252894	0.00915954	0.020958
á	0.00270684	0.00128486	0.00748072	0.00944717	0.145247	0.431194	0.113629	0.0268607	0.0824452	0.0636883	0.00404456	0.00748669	0.104484
t	0.00295667	0.00037596	0.0106594	0.0214177	0.00396233	0.111896	0.257952	0.285629	0.219537	0.0396428	0.02215	0.00189659	0.0219255
s	0.00435307	0.00186665	0.00825807	0.00750275	0.0338182	0.173205	0.150786	0.105914	0.178515	0.21312	0.0371727	0.0384937	0.0469955
í	0.000719177	0.00124571	0.00204132	0.0120369	0.0154974	0.174962	0.170522	0.148484	0.1423	0.203851	0.0229403	0.0198967	0.0855033
n	0.00307285	0.00381897	0.00559538	0.0514724	0.0152854	0.239138	0.138399	0.184497	0.0925306	0.173725	0.0210558	0.0204925	0.0509167
a	0.0064183	0.0117729	0.0061802	0.0191397	0.00342821	0.100594	0.109672	0.108552	0.170081	0.119753	0.0148316	0.0109715	0.318607
w	0.00169893	0.00152004	0.00343162	0.00599876	0.00223967	0.110709	0.156732	0.254917	0.193168	0.156938	0.0792222	0.00567651	0.0277495
a	0.012986	0.0174585	0.0182797	0.0146305	0.0063198	0.157399	0.129136	0.193478	0.174796	0.123956	0.0476649	0.00828358	0.0956125
a	0.00381215	0.00353831	0.0030605	0.00506169	0.00331989	0.0475957	0.0909749	0.179942	0.204992	0.173363	0.150092	0.0214449	0.112803
d	0.00447102	0.00256811	0.0186389	0.0260903	0.00420776	0.0214605	0.061281	0.0379721	0.0580356	0.222772	0.407899	0.0176288	0.116975
í	0.00186521	0.0014062	0.00475106	0.0249948	0.00563018	0.00961219	0.105232	0.0386953	0.0414754	0.0856475	0.196276	0.0227851	0.461629
l	0.000733964	0.000412989	0.000984142	0.00487317	0.00210966	0.0211082	0.0539204	0.0945659	0.0497702	0.149081	0.364885	0.0967461	0.160809
i	0.00391484	0.000437972	0.00371176	0.00864657	0.00313134	0.00707829	0.0238034	0.027789	0.036486	0.0885019	0.14569	0.127532	0.523277
l	0.000435313	0.000639533	0.000866148	0.00268398	0.00531315	0.0033734	0.00966966	0.0180006	0.0167842	0.0777439	0.114201	0.580229	0.17006
ω	0.00290901	0.000932561	0.00307963	0.0175672	0.00447105	0.00380543	0.00942229	0.0114756	0.0102104	0.057409	0.128767	0.607106	0.142844
í	0.000506243	0.000284132	0.000443031	0.00229139	0.00230618	0.00358907	0.00333195	0.00648361	0.00461506	0.0294978	0.086132	0.806046	0.0544734
</S>	0.000485978	9.70117e-05	0.000923486	0.00267084	0.00200639	0.00174562	0.00769125	0.016423	0.0123245	0.0306535	0.176577	0.319881	0.42852
