 	ses	yeux	se	sont	enflés	à	cause	de	ses	pleurs	</S>
w	0.593733	0.0765269	0.0114634	0.00960988	0.0879713	0.140608	0.052295	0.0167825	0.010827	0.000100792	8.26441e-05
a	0.479748	0.143424	0.0472122	0.0878576	0.108703	0.0446075	0.0394391	0.0246525	0.0239751	5.81201e-05	0.000322924
m	0.141485	0.150196	0.114772	0.0762256	0.0592697	0.0721393	0.160665	0.138005	0.0705119	0.00299372	0.0137379
í	0.190754	0.209099	0.152714	0.0418152	0.0441944	0.110084	0.132487	0.0720242	0.0276788	0.000266923	0.0188825
s	0.140644	0.302227	0.150346	0.0942564	0.0390464	0.0405177	0.0465748	0.0486005	0.0406851	0.00316223	0.0939402
i	0.133815	0.303779	0.0725243	0.0748058	0.0781195	0.0695099	0.0287505	0.0608528	0.0395495	0.00179096	0.136503
á	0.183026	0.173856	0.104997	0.0894565	0.113275	0.0683238	0.0204285	0.0317818	0.0272369	0.00205762	0.185561
b	0.0164601	0.145845	0.35637	0.148489	0.056335	0.0133959	0.0396603	0.0587985	0.0509359	0.0175703	0.0961405
h	0.0184911	0.0330127	0.47447	0.137334	0.029431	0.02643	0.0899085	0.102068	0.0523358	0.0023058	0.0342139
i	0.0462275	0.0560139	0.296879	0.175583	0.177484	0.0667683	0.0711691	0.0546668	0.0255393	0.00171297	0.0279564
t	0.0189119	0.020641	0.192612	0.148109	0.372668	0.116088	0.046953	0.0224401	0.0136897	0.00606998	0.0418179
ú	0.0239899	0.00377236	0.0559015	0.0507498	0.580611	0.131362	0.050801	0.0328635	0.0177467	0.00695739	0.0452449
ú	0.00102188	0.00402975	0.0877722	0.174574	0.287662	0.225	0.102743	0.0410337	0.0201832	0.00551872	0.0504606
g	0.000813676	0.000799849	0.0349495	0.151158	0.124852	0.40772	0.205517	0.0445882	0.0106213	0.0044933	0.0144873
h	0.000846799	0.000357467	0.00889466	0.0341341	0.245248	0.427721	0.168236	0.0658002	0.00765	0.00118113	0.0399306
ú	0.000934403	0.000622668	0.00677164	0.0322027	0.572137	0.30496	0.0444667	0.02679	0.00219724	0.000328782	0.00858879
t	0.00039047	0.000267165	0.007503	0.0642643	0.404183	0.29697	0.109978	0.0685556	0.00810428	0.00392262	0.0358609
ú	0.0095358	0.000247337	0.00462635	0.0165322	0.205308	0.295829	0.313539	0.0604291	0.0117614	0.0418476	0.0403441
ú	0.00127853	0.00043975	0.0102055	0.0505443	0.0797202	0.271713	0.32619	0.179009	0.0286314	0.0234433	0.0288252
g	0.000805173	0.000317681	0.0109678	0.0457131	0.00640829	0.157961	0.29523	0.353307	0.0866463	0.0110887	0.0315545
h	0.00283466	0.000588509	0.00670008	0.0391	0.0302865	0.246485	0.187477	0.275198	0.0584963	0.00458804	0.148245
ú	0.0013883	0.00170442	0.0072916	0.0372849	0.070398	0.269323	0.127511	0.402732	0.0440881	0.00241999	0.0358587
e	0.000197671	0.00024842	0.00579135	0.0266646	0.00851927	0.076576	0.167059	0.449779	0.157358	0.0248787	0.0829272
k	0.000650953	0.000456	0.0140052	0.0369416	0.00310746	0.03642	0.0980668	0.314591	0.317781	0.101828	0.0761523
í	0.000164412	8.23312e-05	0.00280472	0.00946908	0.00647762	0.0116275	0.126566	0.200546	0.0807986	0.460309	0.101155
i	0.000265019	0.000221082	0.00155606	0.00260484	0.000685244	0.00740295	0.0871334	0.13151	0.117259	0.342123	0.30924
d	0.00101248	0.000389445	0.0053479	0.00915245	0.0023259	0.0200878	0.0419862	0.147239	0.468407	0.109895	0.194157
z	0.000128906	0.000228506	0.00425276	0.016972	0.00129537	0.00715258	0.0181683	0.135477	0.142952	0.14742	0.525953
a	0.000384597	0.00264978	0.0126415	0.0292899	0.00862484	0.0150568	0.0230386	0.158723	0.143661	0.213357	0.392573
a	0.000582637	0.000640208	0.00254212	0.00784161	0.0017597	0.0106998	0.0195375	0.0910272	0.200917	0.247202	0.417251
i	0.000556677	0.00034466	0.00700263	0.0125674	0.00120686	0.0214284	0.0198012	0.0806171	0.396689	0.0867742	0.373012
w	0.00104386	0.00421005	0.0252702	0.040361	0.00415272	0.0064571	0.0147326	0.0282817	0.0734644	0.606407	0.19562
é	0.00189874	0.00128071	0.00412453	0.00768362	0.00578224	0.00706091	0.0290393	0.0923927	0.147502	0.457354	0.245881
l	9.32105e-05	5.56353e-05	0.00082348	0.00215112	0.00116057	0.0035291	0.0120544	0.0345441	0.0575483	0.527529	0.360511
é	0.000971947	0.000218812	0.00380479	0.00957663	0.00315823	0.00902193	0.0154019	0.0399506	0.076984	0.417457	0.423454
</S>	0.000566811	0.000300623	0.00217587	0.00771331	0.00306199	0.014779	0.0145068	0.0471283	0.140422	0.1361	0.633245
