 	le	bâtiment	de	l'	hôpital	est	au	milieu	des	touffes	d'	herbes	</S>
n	0.455118	0.499832	0.0251935	0.00982066	3.84288e-05	0.00127781	0.00138326	0.00428003	0.00100453	4.51324e-05	0.0016925	0.000278911	3.49237e-05
d	0.0400177	0.958894	0.00068058	0.000328294	3.3377e-07	3.83566e-06	6.80117e-06	3.35993e-05	7.34445e-06	1.17459e-06	1.6912e-05	7.64795e-06	1.44262e-06
é	0.0050515	0.994575	9.57319e-05	0.000133837	1.79674e-05	2.70311e-06	1.14138e-05	2.51624e-05	8.76776e-06	1.06448e-05	5.5091e-06	5.46975e-05	7.20271e-06
e	0.0826792	0.878666	0.0186578	0.0111113	0.000607115	0.000190439	0.000304361	0.00129412	0.000381274	9.83741e-05	0.000252621	0.000464778	0.00529247
y	0.145594	0.069262	0.588474	0.145771	0.00562915	0.0217433	0.00682336	0.00424158	0.00445507	0.0007851	0.00162622	0.000262505	0.00533312
ó	0.397667	0.0683827	0.304733	0.0971759	0.0163509	0.0211843	0.0154791	0.0222776	0.0177946	0.00479391	0.00555584	0.0016031	0.0270022
p	0.557189	0.0404122	0.214768	0.13366	0.0190544	0.00378126	0.00439731	0.0126551	0.0039521	0.000600002	0.0010202	0.000786134	0.00772423
i	0.00408388	0.00155355	0.0270331	0.0237633	0.924319	0.0040065	0.00287907	0.00333862	0.00156916	0.00125921	0.000169793	0.0040268	0.00199799
t	0.0193339	0.00141208	0.13532	0.154085	0.618964	0.0346005	0.0105112	0.00865447	0.00552157	0.00208451	0.000431823	0.00144246	0.00763843
á	0.00960758	0.00295539	0.041171	0.039659	0.865251	0.0124963	0.00509291	0.0105319	0.00444622	0.000742564	0.000671899	0.00286048	0.00451333
á	0.0127267	0.00436153	0.145179	0.206283	0.32549	0.058233	0.0543141	0.0437068	0.0476138	0.010156	0.00944986	0.0136506	0.0688352
l	0.0211486	0.00546192	0.0792732	0.157292	0.0220674	0.30394	0.176328	0.14306	0.0434657	0.0163704	0.0150294	0.00395499	0.0126095
e	0.00527714	0.000206977	0.0882919	0.105148	0.0284687	0.283999	0.187844	0.139664	0.0928858	0.0178706	0.00833566	0.00264666	0.0393619
é	0.0104091	0.000159892	0.0344574	0.03879	0.0346811	0.198256	0.272871	0.234701	0.106632	0.0330824	0.00819041	0.00423601	0.0235333
d	0.00227516	0.000177433	0.00963726	0.0171948	0.0573996	0.274451	0.324461	0.156678	0.0697992	0.0757957	0.00429074	0.00352104	0.00431861
i	0.00114967	6.07303e-05	0.00339949	0.00615568	0.00699259	0.0936976	0.33856	0.0985466	0.0629394	0.35486	0.00759798	0.00801743	0.0180231
s	0.000831448	3.32621e-05	0.00465569	0.0057298	0.00357735	0.0861738	0.412836	0.11949	0.0626557	0.258128	0.0250078	0.0102048	0.0106755
í	0.0026806	4.54672e-05	0.00426517	0.00695995	0.0093318	0.048713	0.294748	0.259387	0.123263	0.138695	0.0194718	0.020732	0.0717069
f	0.000558407	5.67262e-05	0.00475213	0.00489873	0.000590324	0.0273516	0.119795	0.19357	0.210102	0.291937	0.0956582	0.0265572	0.0241726
u	0.00104918	0.000119067	0.00528404	0.00434118	0.0480832	0.0258041	0.142788	0.24276	0.253532	0.11522	0.00955618	0.107521	0.0439416
ú	9.05987e-05	1.03356e-06	0.000343547	0.000261213	0.00064508	0.00406939	0.030886	0.041271	0.145121	0.641868	0.020548	0.0914849	0.0234101
</S>	0.000327015	3.79711e-06	0.0012676	0.000524231	0.00010103	0.00545955	0.051391	0.0497577	0.215044	0.24457	0.223609	0.0596319	0.148314
