 	ibara	avait	l'	orgueil	de	ne	pas	manger	des	aliments	préparés	par	un	inconnu	</S>
i	0.859478	0.107413	0.00974548	0.000473568	0.00243432	0.00295852	0.0109455	0.000441896	0.00142822	0.00426876	7.08631e-05	0.000139178	0.000187154	5.8873e-06	9.90384e-06
b	0.88804	0.0827913	0.00243788	0.0019555	0.0013261	0.00275686	0.00394447	0.00726325	0.00202061	0.000557883	0.00145317	0.00105251	0.000902804	0.000304172	0.00319367
a	0.675727	0.295693	0.00543851	0.00163241	0.00305758	0.00314295	0.00250887	0.00371617	0.00349579	0.00106495	0.000385977	0.000607137	0.00105604	2.83951e-05	0.00244603
r	0.597151	0.319572	0.0283749	0.00430245	0.00960923	0.00347808	0.00392248	0.0096995	0.0121129	0.00495151	0.00197032	0.00132191	0.000601665	6.69388e-05	0.00286572
a	0.68772	0.10828	0.0270952	0.0369429	0.0302813	0.0123947	0.00883342	0.0143284	0.0375667	0.0126086	0.00261098	0.00633613	0.00401056	0.000513139	0.0104782
á	0.159728	0.416426	0.225494	0.0380778	0.026078	0.0205265	0.0361336	0.0135453	0.0173799	0.0102841	0.00429232	0.0119817	0.00721098	0.00133863	0.0115026
d	0.0575111	0.207585	0.222869	0.172319	0.0224069	0.0153628	0.0220896	0.0448331	0.0142461	0.00437774	0.133047	0.0324715	0.0139755	0.0117509	0.0251546
z	0.0434582	0.160331	0.364958	0.184774	0.0251674	0.0158989	0.00722782	0.0538038	0.0100516	0.00129419	0.0316462	0.0257309	0.00798935	0.00528053	0.0623889
á	0.0353199	0.0279729	0.214001	0.532284	0.0488547	0.0156212	0.0158833	0.040654	0.0131967	0.00336397	0.0155482	0.0130269	0.00554697	0.0102258	0.00850097
l	0.00376113	0.0606715	0.297551	0.214999	0.108144	0.0448617	0.035943	0.0148105	0.0308753	0.0573304	0.00603507	0.020768	0.0203514	0.0153864	0.0685116
e	0.0024577	0.0164733	0.169105	0.208018	0.0591447	0.037893	0.0175903	0.0318295	0.0265218	0.00576187	0.0327163	0.0534301	0.0456948	0.00881562	0.284547
s	0.0194437	0.0498978	0.153148	0.236962	0.179848	0.0756128	0.0247546	0.0577605	0.0386972	0.00339697	0.0339284	0.0274878	0.0226042	0.0094764	0.0669819
ε	0.0106937	0.0121801	0.111925	0.455829	0.143915	0.0384306	0.0122802	0.074393	0.0113015	0.00121774	0.0423946	0.0160971	0.0104357	0.0154578	0.0434493
r	0.00133981	0.00715602	0.0922453	0.223479	0.192171	0.0663943	0.0191245	0.0628987	0.0349031	0.0017648	0.0175907	0.0497749	0.046759	0.0175065	0.166893
í	0.0145831	0.0101027	0.0617312	0.38767	0.267544	0.0810958	0.0334506	0.011614	0.0349273	0.0089836	0.00304953	0.0286478	0.0301623	0.0032962	0.0231415
w	0.000518309	0.00406237	0.101062	0.159393	0.336289	0.192341	0.0916586	0.0235474	0.0232708	0.0277272	0.00941762	0.00813622	0.00480649	0.00450636	0.0132635
á	0.00112507	0.0121146	0.144729	0.233886	0.159618	0.0696121	0.112649	0.0178687	0.0768387	0.0904274	0.00962416	0.0339815	0.0207087	0.00165588	0.0151608
r	0.000531241	0.0048147	0.0422194	0.0516292	0.18868	0.176441	0.126833	0.033574	0.112683	0.146784	0.0197439	0.0202717	0.00941964	0.0102512	0.056124
e	0.00238877	0.0103175	0.102411	0.126773	0.347245	0.147842	0.0665816	0.0215668	0.0419129	0.0102912	0.0600028	0.0180376	0.0122554	0.000757665	0.0316173
w	0.000198991	0.00125247	0.0447483	0.0716818	0.201284	0.257016	0.216343	0.09283	0.0588241	0.00682707	0.0287094	0.0104438	0.00296309	0.00092787	0.00594998
á	0.00131149	0.00950848	0.0592737	0.101207	0.203137	0.127735	0.141331	0.0471449	0.154681	0.0976836	0.0077312	0.0234975	0.0122097	0.00045583	0.0130933
b	0.00144532	0.00298032	0.0115798	0.00907795	0.0393976	0.0967656	0.191983	0.11742	0.230769	0.155973	0.0577188	0.0142697	0.00858403	0.0172417	0.0447932
e	0.00490047	0.0133782	0.0103154	0.00553421	0.0438783	0.169996	0.186088	0.169196	0.189172	0.164079	0.0183778	0.0106528	0.00350234	0.00179593	0.00913344
a	0.00109185	0.00241495	0.00793457	0.00386607	0.0452425	0.0988499	0.136539	0.0730415	0.254235	0.254067	0.0224701	0.0182028	0.00575429	0.00369381	0.0725965
b	0.000112025	0.00078146	0.00999878	0.00576452	0.0239434	0.07243	0.14848	0.119078	0.204831	0.173152	0.157167	0.0540322	0.0124268	0.00119777	0.0166045
í	0.00150708	0.00950427	0.031334	0.00831058	0.0436102	0.0923911	0.126871	0.0903103	0.201605	0.129898	0.0708866	0.144167	0.0200683	0.000424401	0.0291125
í	0.000678255	0.00254902	0.0156674	0.00349667	0.0246035	0.0672307	0.143652	0.0354598	0.16224	0.333488	0.0739229	0.0615094	0.0158092	0.00433866	0.0553535
l	0.000399792	0.000702744	0.00666391	0.00780162	0.00609518	0.0148772	0.0282844	0.0712473	0.0496049	0.0167527	0.625889	0.118683	0.0196224	0.00518463	0.0281913
á	0.000505011	0.00128488	0.00668014	0.00733881	0.00754184	0.0164931	0.0213465	0.0962645	0.0533978	0.00712821	0.588773	0.108261	0.0221737	0.00333753	0.0594739
m	9.84413e-05	0.000249846	0.00214366	0.00111126	0.0045473	0.0145776	0.0569094	0.0794777	0.0857493	0.00618759	0.551424	0.0762389	0.0590243	0.0345878	0.0276729
b	0.000741897	0.00110709	0.00247448	0.00715568	0.0132152	0.0302775	0.0319541	0.150561	0.217363	0.0203691	0.166936	0.173675	0.0939825	0.0389963	0.0511918
á	0.000547254	0.000853993	0.00348835	0.00523283	0.0245901	0.0331853	0.0218922	0.0234219	0.332508	0.112706	0.0476902	0.162917	0.0847003	0.00283009	0.143437
m	0.000155881	0.000529261	0.00387463	0.00407341	0.0127585	0.0199442	0.0414231	0.0146762	0.176981	0.209865	0.0373009	0.225298	0.171274	0.0313519	0.0504945
o	0.00389516	0.0026916	0.00279827	0.00952966	0.019737	0.0254627	0.0106297	0.0738864	0.275742	0.0532406	0.00704058	0.174327	0.112411	0.0209101	0.207698
r	0.000738726	0.000428541	0.00173495	0.00843028	0.00827753	0.0282124	0.0307006	0.17029	0.144986	0.00825431	0.0116958	0.196608	0.310503	0.0290751	0.0500649
o	0.00688148	0.0016429	0.0087344	0.0126078	0.0250242	0.0243233	0.0155908	0.0778121	0.255686	0.00499796	0.0982051	0.210967	0.110162	0.0519055	0.0954602
o	0.000594678	0.000247675	0.00291669	0.00441737	0.00996755	0.0143389	0.0218644	0.035862	0.0951133	0.00835375	0.0938035	0.213802	0.10725	0.063357	0.328111
t	0.000254806	0.000408568	0.00314872	0.00488245	0.00354768	0.00631796	0.00628932	0.0408378	0.0132605	0.000522787	0.0594421	0.261246	0.211046	0.284324	0.104472
s	0.000165439	0.000516565	0.00171718	0.00197496	0.00254192	0.0101173	0.0263982	0.0440073	0.0477103	0.0022619	0.0623192	0.139327	0.18384	0.187877	0.289226
á	0.000946038	0.000707288	0.00286871	0.00549734	0.00914933	0.016713	0.0286267	0.0413498	0.282901	0.0364959	0.14372	0.106368	0.120535	0.0838636	0.120257
o	0.00085878	0.000514234	0.00233715	0.00168423	0.00494131	0.00598343	0.0149155	0.00904497	0.057801	0.101424	0.0200615	0.0942831	0.111803	0.316488	0.257859
d	0.000225842	0.000394457	0.0018264	0.00287472	0.0030677	0.00486908	0.00331915	0.0123424	0.012948	0.00102786	0.0415679	0.220516	0.201893	0.0930745	0.400052
z	0.000138274	9.20719e-05	0.0010101	0.00132182	0.00123422	0.00170793	0.00126806	0.0127506	0.00367793	0.000141379	0.0174647	0.0520462	0.0732142	0.7036	0.130333
á	0.000587901	0.000514814	0.00362543	0.0185481	0.0098838	0.0094221	0.0106661	0.0737624	0.06147	0.00631037	0.0142294	0.0939677	0.122442	0.508056	0.0665136
á	9.05627e-05	5.78465e-05	0.000438575	0.000744788	0.00126588	0.00253945	0.00557654	0.008149	0.0294339	0.0415138	0.00585259	0.0369117	0.0701767	0.539985	0.257263
k	0.000741313	0.00120342	0.0119089	0.00881059	0.0161523	0.010412	0.0105856	0.00772759	0.019458	0.0321006	0.0267211	0.157601	0.116701	0.305745	0.274132
a	0.000177828	0.00181919	0.00701869	0.000647936	0.00519285	0.0114427	0.0283361	0.00432326	0.0228222	0.0148367	0.0116591	0.122068	0.223821	0.344055	0.201779
á	0.000522531	0.000303744	0.00123897	0.000232976	0.00157243	0.00199328	0.00659973	0.00191952	0.022378	0.0169453	0.00743377	0.0491394	0.0417588	0.239111	0.608851
</S>	0.000185586	0.000585418	0.00449339	0.00416428	0.00792749	0.00782997	0.00497016	0.00885072	0.0222865	0.0176907	0.0124543	0.150164	0.0994464	0.14082	0.518131
