 	les	hommes	aiment	boire	le	vin	</S>
a	0.720712	0.275767	0.00126704	0.000244712	0.00198769	1.86962e-05	2.9735e-06
b	0.197069	0.783722	0.0160569	0.00105975	0.000863772	0.000861178	0.000367721
a	0.130642	0.84106	0.0174491	0.00141623	0.00208187	0.00519663	0.00215462
a	0.206913	0.748972	0.0215302	0.00278722	0.00459756	0.00174595	0.0134545
á	0.289162	0.411242	0.132435	0.0112411	0.0466367	0.00295116	0.106333
d	0.0592655	0.160477	0.684706	0.0451748	0.0253547	0.00409558	0.0209269
í	0.0465708	0.12944	0.524772	0.118373	0.020991	0.00570113	0.154151
l	0.0473008	0.0607691	0.557379	0.0501189	0.0783374	0.00716342	0.198932
a	0.0434964	0.0122932	0.538538	0.15894	0.0301585	0.00818543	0.208389
p	0.026657	0.0185946	0.576589	0.247038	0.0272699	0.0285457	0.0753062
ó	0.00675019	0.0155429	0.893563	0.0420679	0.00780439	0.00861003	0.025662
s	0.00186052	0.000601253	0.813287	0.0328111	0.0184248	0.0100912	0.122924
á	0.00986753	0.00393012	0.868573	0.0317194	0.0273618	0.00279259	0.055756
o	0.0319011	0.0157672	0.233181	0.346904	0.273207	0.0388393	0.0602002
n	0.00488874	0.0133309	0.380985	0.239345	0.0808936	0.274739	0.00581831
y	0.00334419	0.000543874	0.02333	0.891397	0.0570668	0.0139824	0.0103361
w	0.0148956	0.00481035	0.0192396	0.858945	0.0723414	0.00975422	0.0200138
á	0.00376064	0.000624995	0.089258	0.555494	0.1054	0.0205388	0.224923
a	0.00264498	0.000525309	0.0319264	0.066569	0.332681	0.0698601	0.495794
l	0.00326658	0.00242325	0.0195051	0.0265246	0.452438	0.343535	0.152307
ω	0.0040002	0.00168177	0.0901	0.00992548	0.134009	0.631246	0.129038
i	0.00166913	0.000859149	0.0128449	0.00638351	0.234963	0.609033	0.134248
</S>	0.0121601	0.00369725	0.0152101	0.0203555	0.364337	0.265925	0.318316
