 	la	tempête	a	fait	couler	notre	pirogue	à	pic	</S>
e	0.813423	0.140931	0.0317503	0.0040419	0.00596801	0.0015799	0.00167373	0.000601944	1.52559e-05	1.47491e-05
p	0.0254571	0.960459	0.00412461	0.0021112	0.00525982	0.000122606	0.000793286	0.00026099	0.000726489	0.000685041
f	0.00301371	0.975649	0.00656766	0.00572916	0.00720901	0.000275023	0.000128275	0.000140418	0.000623238	0.000664397
u	0.0120912	0.920123	0.00951533	0.0150833	0.0374877	0.00133045	0.00302426	0.000809979	0.000328923	0.000205526
b	0.0410224	0.815168	0.0553363	0.025892	0.0247114	0.00415199	0.00103837	0.00319841	0.00415739	0.0253233
h	0.12716	0.678084	0.0288634	0.0370926	0.0328748	0.0182261	0.0127114	0.00617403	0.00276366	0.0560504
á	0.188386	0.452086	0.0284413	0.0509063	0.0505252	0.0376048	0.068685	0.00710692	0.00235751	0.113901
é	0.101427	0.0221543	0.699811	0.0921802	0.020446	0.0365523	0.00589046	0.0126317	0.000694907	0.00821225
l	0.0145182	0.0077186	0.122385	0.395826	0.338106	0.0308613	0.0501891	0.0307674	0.00376035	0.00586817
ω	0.00922692	0.00646891	0.107133	0.311279	0.376717	0.0503999	0.0425162	0.0258765	0.0141382	0.0562441
b	0.0124514	0.037781	0.0983975	0.173836	0.434966	0.0582234	0.0233841	0.0414344	0.0233848	0.096142
h	0.00720695	0.0206825	0.0469341	0.278439	0.405612	0.156416	0.0353417	0.0385406	0.00308966	0.00773713
i	0.0186352	0.0855781	0.0464474	0.146852	0.523906	0.0498649	0.0673048	0.00984962	0.00177476	0.0497875
s	0.00749356	0.00133061	0.0563482	0.085098	0.0652941	0.694721	0.0556253	0.0288398	0.000325447	0.00492384
i	0.010516	0.0111677	0.00921479	0.0762822	0.604568	0.220069	0.0284748	0.0205479	0.00256474	0.0165946
b	0.00426568	0.000882225	0.0392685	0.0342093	0.0439077	0.756091	0.0588296	0.052907	0.00331992	0.00631924
v	0.0102377	0.000781352	0.0104177	0.0196868	0.0271638	0.591388	0.330723	0.0049785	0.00411337	0.000510211
á	0.000450166	0.000134358	0.000403424	0.00576168	0.0104668	0.114493	0.859486	0.00431752	0.00320824	0.00127871
r	0.001404	0.00012567	0.00197154	0.0117871	0.00960789	0.342531	0.616807	0.00713539	0.00508089	0.00354917
e	0.00162715	0.00652112	0.00658536	0.0647758	0.104251	0.497416	0.234807	0.0312732	0.00849938	0.0442443
b	0.00130799	0.00130712	0.0297869	0.0428748	0.0275095	0.282071	0.20026	0.306701	0.0196982	0.0884833
á	0.0406266	0.0140977	0.0511941	0.0782376	0.0343998	0.422452	0.121308	0.0821615	0.0791306	0.0763924
b	0.0355199	0.00330463	0.0199372	0.0128388	0.0133363	0.260453	0.0912211	0.260521	0.156078	0.146789
í	0.00430018	0.00152389	0.00893168	0.0220253	0.0126302	0.0987803	0.234645	0.100181	0.496724	0.0202582
s	0.00307653	0.00177515	0.00754551	0.0212882	0.013824	0.133278	0.225185	0.146917	0.292298	0.154812
í	0.000806435	0.000744603	0.00153529	0.0105548	0.00953644	0.123785	0.447641	0.161507	0.122441	0.121447
</S>	0.0022802	0.00120382	0.00912108	0.0130282	0.0043582	0.0578296	0.104516	0.188327	0.146898	0.472438
