 	voici	une	belle	femme	</S>
t	0.791725	0.167965	0.0392903	0.000775344	0.000244123
á	0.7478	0.160413	0.0429081	0.0367314	0.0121474
a	0.570395	0.313467	0.0275732	0.0105635	0.0780021
o	0.201388	0.197174	0.541568	0.0200263	0.039844
y	0.00499809	0.12906	0.176457	0.662289	0.0271959
ú	0.00271832	0.0845027	0.329063	0.534762	0.0489534
r	0.0112261	0.254509	0.491586	0.0190744	0.223604
u	0.0316364	0.517295	0.406006	0.0124558	0.0326069
y	0.0285915	0.120048	0.494867	0.00390532	0.352589
é	0.0171398	0.333581	0.418872	0.00931812	0.221089
é	0.0130368	0.0498329	0.866652	0.00266049	0.0678176
p	0.00820256	0.0694132	0.645874	0.0231879	0.253322
é	0.0144104	0.145985	0.223044	0.00707477	0.609486
n	0.0205417	0.153257	0.449675	0.00110243	0.375423
d	0.0132499	0.154249	0.137685	0.000872907	0.693943
í	0.0130984	0.132849	0.101393	0.00412152	0.748538
m	0.0160067	0.0597767	0.303661	0.00107766	0.619478
o	0.0048001	0.0369589	0.0752105	0.0586353	0.824395
p	0.0116566	0.0560871	0.256711	0.0101246	0.66542
f	0.134957	0.1242	0.465149	0.00116091	0.274533
u	0.0324702	0.133668	0.232944	0.000372589	0.600545
a	0.00361372	0.046323	0.55952	0.000315222	0.390229
</S>	0.0186545	0.102842	0.0743719	0.000174545	0.803957
