 	écoute	le	bruit	de	pas	de	cet	homme	qui	arrive	</S>
b	0.623641	0.308976	0.0279866	0.00932645	0.007179	0.013054	0.00327603	0.000995536	0.00498978	0.000270585	0.000304956
ó	0.459145	0.434811	0.0738258	0.00771107	0.00571048	0.00623136	0.0068018	0.000702559	0.00354513	0.000659294	0.000856636
n	0.433714	0.191631	0.253342	0.0218412	0.00969127	0.0182019	0.0130499	0.00595961	0.00446226	0.00866503	0.0394409
d	0.274324	0.402438	0.17412	0.0331792	0.0173892	0.0240486	0.0126004	0.00310496	0.0109135	0.0105756	0.037307
á	0.389531	0.309053	0.179025	0.0193454	0.00926025	0.00835014	0.00555364	0.000599634	0.00263649	0.00382278	0.0728235
i	0.11715	0.371533	0.231694	0.123637	0.0249394	0.0279576	0.0303717	0.00806192	0.0330829	0.00600334	0.0255691
b	0.251971	0.140546	0.351985	0.0872081	0.0350327	0.0288668	0.0112981	0.0109429	0.00978617	0.0297414	0.0426209
έ	0.0935763	0.0835929	0.36881	0.138161	0.0811221	0.0319457	0.0262409	0.157517	0.00386576	0.0103217	0.00484618
n	0.105858	0.0830348	0.261484	0.237676	0.10739	0.0417655	0.0245891	0.0511515	0.010108	0.0141926	0.0627505
d	0.464089	0.330082	0.116692	0.0270678	0.0114815	0.018324	0.0100669	0.000966947	0.00422732	0.00373717	0.0132649
z	0.434523	0.231312	0.227912	0.0369687	0.010328	0.0156702	0.0122479	0.000979553	0.00309677	0.00400891	0.0229536
i	0.226073	0.15046	0.286379	0.117659	0.0651327	0.0482862	0.0259425	0.00333506	0.00553212	0.00725958	0.0639406
m	0.0178036	0.0376732	0.0558886	0.300451	0.244668	0.156543	0.0926483	0.0304021	0.0480341	0.00819009	0.0076981
á	0.00775991	0.0161638	0.00773048	0.0394805	0.071865	0.129215	0.388654	0.17181	0.0524358	0.0123142	0.102571
m	0.0136364	0.0144717	0.0214733	0.051886	0.164628	0.169406	0.157727	0.309572	0.0310689	0.0475839	0.0185459
o	0.000416931	0.00136843	0.00320952	0.00894167	0.0440431	0.0790186	0.24421	0.474173	0.045891	0.0379038	0.0608242
r	0.00751554	0.0058716	0.0270688	0.0393328	0.0839099	0.206735	0.278341	0.163645	0.0804699	0.0590177	0.0480921
o	0.0139735	0.0202873	0.0326015	0.0429539	0.0788473	0.205643	0.412653	0.0586864	0.0475467	0.0508401	0.0359677
y	0.00116579	0.00244097	0.00350812	0.0210153	0.0441215	0.15878	0.330689	0.0269963	0.217193	0.0611414	0.132948
e	0.0223248	0.0579185	0.0210096	0.0438259	0.0877111	0.210606	0.36627	0.0437759	0.0909059	0.0356878	0.0199639
é	0.00277156	0.0068204	0.00473623	0.010551	0.0302003	0.165982	0.290275	0.0133489	0.276452	0.131581	0.0672818
y	0.0118156	0.0153151	0.0268542	0.0219893	0.0346647	0.0837243	0.0370906	0.0444448	0.262428	0.338853	0.12282
a	0.00179061	0.00530115	0.00491754	0.00700817	0.0248462	0.0773658	0.061736	0.0116037	0.155067	0.227169	0.423195
a	0.000473751	0.000782466	0.00157363	0.00536397	0.0163401	0.0660169	0.0685207	0.0380814	0.0951774	0.119805	0.587864
w	0.000353226	0.00105393	0.00120153	0.00599501	0.0103243	0.0355183	0.0233337	0.00676196	0.355068	0.19804	0.36235
ó	0.00316665	0.00950325	0.0242118	0.0485251	0.0621448	0.140342	0.111236	0.0530691	0.238321	0.208732	0.100748
</S>	0.000368614	0.000508326	0.00493699	0.011341	0.00830426	0.0427059	0.0872716	0.0131478	0.18145	0.216789	0.433177
