 	cet	homme	est	en	train	de	se	raser	la	barbe	</S>
i	0.557822	0.36496	0.0362417	0.0271141	0.00229411	0.00448214	0.00281547	0.0015802	0.00217175	0.000307557	0.000210988
b	0.145314	0.834077	0.0133229	0.00115078	0.000828762	0.000373695	0.000651267	0.00217995	0.00149313	0.000232154	0.000376607
a	0.00708401	0.979874	0.0032265	0.00374653	0.00422244	7.83109e-05	0.000528005	0.00104917	5.86593e-05	5.70012e-05	7.51711e-05
a	0.0207936	0.91125	0.023869	0.0202485	0.00761375	0.000946538	0.00181639	0.00741616	0.000460259	0.00143379	0.00415197
d	0.652516	0.120072	0.106167	0.0140797	0.00284272	0.0312298	0.00933745	0.00230239	0.00283119	5.17371e-05	0.0585702
í	0.120632	0.0580289	0.200624	0.0233674	0.00313588	0.0324316	0.00332515	0.00292721	0.0209142	0.0165204	0.518094
b	0.0611072	0.0861244	0.391346	0.290065	0.0325989	0.0568335	0.00990879	0.00326614	0.00763085	0.00291671	0.0582028
ó	0.0322523	0.107427	0.095535	0.333586	0.344908	0.0232405	0.0154107	0.0150262	0.00780548	0.00576717	0.0190411
l	0.0232953	0.0263595	0.0723687	0.305264	0.529556	0.014836	0.0213099	0.002119	0.00277976	0.000116656	0.00199545
í	0.09743	0.0282203	0.274362	0.0653277	0.0265084	0.122716	0.0430222	0.0149945	0.0459476	0.00479604	0.276675
i	0.270781	0.0406428	0.261476	0.128244	0.0548062	0.124884	0.0580993	0.0208396	0.0180872	0.0083875	0.0137525
b	0.0125281	0.0228796	0.0616336	0.0133152	0.00802179	0.068306	0.254419	0.527961	0.00575485	0.00553484	0.0196453
h	0.00407605	0.0201522	0.0303827	0.0145739	0.00563842	0.0295461	0.578615	0.310378	0.00195692	0.000332686	0.00434828
ε	0.00192737	0.00531996	0.0089804	0.00241328	0.00123783	0.00832413	0.158842	0.80461	0.00174714	0.00078551	0.00581232
n	0.00600465	0.00322919	0.0343835	0.0179435	0.00549992	0.027423	0.241266	0.611754	0.0263151	0.00699151	0.0191902
g	0.192148	0.014614	0.0813814	0.0741429	0.000885797	0.084405	0.0837549	0.345438	0.0776996	0.0162806	0.0292502
έ	0.266538	0.0173854	0.0710291	0.340199	0.00337899	0.0445188	0.029779	0.0746303	0.0892516	0.0411901	0.0220995
n	0.00834188	0.000707617	0.00798944	0.00918096	6.83365e-05	0.1098	0.0539671	0.162431	0.478455	0.153099	0.0159606
d	0.0295167	0.00195747	0.0121706	0.0131042	0.000205913	0.0324956	0.00611098	0.0364342	0.118792	0.69819	0.0510218
ε	0.00463807	0.000446537	0.00350416	0.00216247	0.00010205	0.0197348	0.00241896	0.0519856	0.0568357	0.818241	0.0399305
l	0.00432184	0.000834894	0.0104505	0.00330917	0.000115638	0.0329208	0.00416424	0.0378099	0.330147	0.503559	0.0723676
i	0.00529773	0.00187138	0.00810983	0.00214695	3.77072e-05	0.0399728	0.029729	0.362207	0.282399	0.11993	0.148298
</S>	0.00356651	0.000817526	0.0075454	0.000942041	2.35025e-05	0.0482079	0.0170592	0.0625299	0.547611	0.103843	0.207854
