 	la	lampe	s'	est	déjà	éteinte	</S>
m	0.630148	0.360094	0.00921045	0.000343366	7.73582e-05	0.000104566	2.15579e-05
ú	0.0331517	0.912087	0.0398214	0.0099511	0.00116216	0.000707553	0.00311863
n	0.264233	0.711817	0.0158536	0.00181576	0.00320485	0.00164466	0.00143077
d	0.20267	0.190911	0.413977	0.0222388	0.00622408	0.0221215	0.141857
a	0.522453	0.438743	0.0318175	0.00235259	0.00142759	0.000952473	0.00225374
ó	0.177032	0.0256894	0.656147	0.0837303	0.0128561	0.00221421	0.0423309
m	0.127011	0.0101167	0.409423	0.31513	0.128931	0.00331597	0.00607223
i	0.0238341	0.00696444	0.106417	0.395347	0.422769	0.0198197	0.0248495
s	0.00140458	0.000705174	0.0152987	0.168917	0.784994	0.018256	0.0104244
á	0.00219085	0.00076908	0.00900156	0.136389	0.79272	0.0385496	0.0203797
á	0.00556639	0.000759219	0.058238	0.406659	0.252835	0.05453	0.221412
o	0.0132009	0.00574228	0.0347376	0.288494	0.432066	0.203437	0.0223225
d	0.00310172	0.000802949	0.00222144	0.0225812	0.239839	0.718544	0.0129104
í	0.00198976	0.00012704	0.000583273	0.00575357	0.105051	0.847279	0.0392155
m	0.00231678	0.000118704	0.00302469	0.0284675	0.145047	0.493749	0.327277
a	0.00164683	0.000304042	0.00280232	0.0334282	0.109948	0.500066	0.351805
</S>	0.018321	0.000622949	0.00738417	0.0469514	0.0334072	0.175848	0.717465
