 	tsimba	vient	de	s'	initier	à	la	divina	tion	au	pays	ngaé	</S>
t	0.988353	0.00368582	0.00205395	0.000443424	7.52448e-05	0.00128794	0.000600697	0.00324024	6.41808e-05	0.000176366	3.28866e-06	4.21302e-06	1.12368e-05
s	0.959294	0.037878	0.000771271	2.13205e-05	1.80747e-05	0.000253416	0.000273131	0.00113411	0.000232822	8.55027e-05	1.08227e-05	1.64125e-05	1.15281e-05
i	0.893961	0.0035307	0.00460341	0.000124428	0.000504831	0.00633285	0.00735976	0.0757873	0.00177939	0.00201133	0.00016556	0.0015827	0.00225693
m	0.845956	0.0276825	0.0215212	0.003818	0.0076088	0.00896838	0.00439874	0.0107202	0.000883869	0.0022865	0.000409379	0.000276174	0.0654704
b	0.539301	0.0667254	0.235022	0.0533337	0.0134307	0.0440039	0.0166853	0.0126295	0.00798845	0.00578789	0.000179301	0.000339943	0.00457359
a	0.378205	0.0626443	0.211631	0.118082	0.0545212	0.0624318	0.0222476	0.0160603	0.00190417	0.0054908	0.000230501	0.000447222	0.0661048
á	0.00602289	0.0468657	0.81031	0.0928097	0.00728876	0.0179471	0.00259055	0.000466422	0.000584556	0.0027371	0.000569925	0.00133502	0.0104721
w	0.00103549	0.0150314	0.093948	0.303737	0.322187	0.176374	0.0458856	0.0213908	0.0034814	0.0020002	0.000615111	0.00395157	0.0103627
ú	0.00161056	0.0103758	0.0399582	0.081252	0.662667	0.110334	0.0447969	0.0291655	0.00728303	0.00160655	0.00233331	0.00220827	0.00640861
r	0.0695279	0.00978624	0.126275	0.0637677	0.281662	0.187317	0.0895001	0.0918965	0.0109303	0.0114048	0.0173763	0.00909685	0.0314594
á	0.00477276	0.00537144	0.188525	0.25869	0.215864	0.200243	0.0781618	0.0217902	0.00608183	0.00783237	0.00257469	0.00151858	0.00857454
o	0.00179273	0.00837859	0.0520967	0.0584092	0.210728	0.342119	0.196364	0.077914	0.0269798	0.00580808	0.0113889	0.00336343	0.00465752
k	0.00113225	0.000892802	0.000827482	0.00721193	0.161532	0.0913583	0.213443	0.44936	0.0633028	0.0021431	0.00484737	0.00169482	0.00225357
y	0.000171057	6.85309e-05	0.000349415	0.000468027	0.0432908	0.037962	0.0905158	0.755106	0.0574798	0.00434564	0.00265911	0.000411464	0.00717257
é	0.000637788	9.95219e-05	0.000483695	0.00096108	0.0476755	0.0201804	0.0586839	0.837281	0.0188179	0.00128053	0.000489518	0.000250432	0.0131585
n	0.000928521	0.000118514	0.00257046	0.00239547	0.0360211	0.163884	0.195743	0.538644	0.0206718	0.0100679	0.00264428	0.000335389	0.0259756
á	0.0118382	0.000240077	0.00260426	0.00325376	0.0488844	0.131496	0.158147	0.584814	0.011888	0.00921443	0.000523879	0.00023228	0.0368639
e	0.00672557	0.000331898	0.00990852	0.00486571	0.00372819	0.251139	0.312629	0.315847	0.0415418	0.0388729	0.00291289	0.00196927	0.00952784
m	0.000902971	0.000322338	0.000329615	0.000256857	0.00184485	0.00595854	0.0804267	0.603489	0.214383	0.0204553	0.0383327	0.0123292	0.0209689
y	0.000539348	0.00207261	0.00389354	0.00355361	0.00324614	0.0136777	0.10302	0.126252	0.494286	0.102467	0.023666	0.00734489	0.115981
o	0.00046395	0.000637739	0.000113206	7.69094e-05	0.00228651	0.000814495	0.0116298	0.0316332	0.915574	0.00719567	0.00772265	0.00889454	0.0129574
ó	0.00645	0.003085	0.00140535	0.000418557	0.00317097	0.0148325	0.0643778	0.138323	0.611422	0.0125701	0.0204417	0.0645468	0.058957
n	8.77357e-05	9.08076e-05	0.00532559	0.00276241	0.00052535	0.0190841	0.0645223	0.0908049	0.0766228	0.250935	0.0310463	0.184116	0.274077
g	0.00259395	0.000124561	0.000692134	0.000216317	0.00201116	0.0030785	0.0140867	0.058888	0.154776	0.153235	0.0385488	0.182033	0.389716
a	0.000197708	1.47274e-05	0.000122132	3.57138e-05	0.000164778	0.00034301	0.00152624	0.00626874	0.0601575	0.0117788	0.0146208	0.863379	0.0413912
é	4.80156e-05	7.17561e-06	0.000202029	3.43159e-05	0.000179023	0.000555934	0.00204928	0.00548438	0.058257	0.0386844	0.100903	0.571723	0.221872
</S>	0.000402604	0.000159853	0.00438404	0.00174182	0.000520089	0.00767241	0.0110961	0.0122791	0.0176365	0.257523	0.0208146	0.289591	0.376179
