 	c'	est	une	assiette	en	terre	</S>
d	0.39905	0.264458	0.262428	0.0554189	0.0133032	0.00307958	0.00226189
í	0.101397	0.0844497	0.038887	0.650543	0.0313591	0.0382182	0.0551459
s	0.0239346	0.192793	0.595233	0.131555	0.0103444	0.0404241	0.00571613
a	0.0132461	0.0401429	0.0910564	0.822288	0.00232106	0.0180759	0.0128696
á	0.0973766	0.0947952	0.123243	0.289414	0.0475368	0.0190712	0.328563
n	0.00387772	0.0146187	0.109829	0.73443	0.11984	0.00420502	0.0132005
i	0.00499852	0.0120386	0.0744299	0.836682	0.0300385	0.0167905	0.0250216
l	0.0100096	0.0539912	0.113768	0.107425	0.612232	0.0435387	0.0590363
á	0.0277619	0.050923	0.154906	0.0610534	0.214228	0.0905062	0.400622
t	0.00988102	0.00742637	0.144817	0.0477695	0.166897	0.553807	0.0694017
s	0.000638302	0.00233688	0.00767198	0.00263538	0.00936582	0.94509	0.0322619
ε	0.000241406	0.000668676	0.00964314	0.00127539	0.00653281	0.974916	0.00672304
n	0.00173234	0.00394198	0.0191084	0.00329786	0.0615761	0.657659	0.252684
g	0.00179098	0.00617805	0.0163257	0.0163708	0.209914	0.433768	0.315653
ε	0.0019151	0.00169668	0.0033407	0.000530154	0.0129684	0.895732	0.0838173
</S>	0.00435525	0.00349294	0.0166133	0.00358355	0.267032	0.052347	0.652576
