 	en	ville	il	y	a	de	belles	filles	</S>
o	0.529307	0.317285	0.0823138	0.0333512	0.0172095	0.0185136	0.00131878	0.0003176	0.000383354
n	0.0792873	0.647525	0.163245	0.0272019	0.0252683	0.0136109	0.0225713	0.0107436	0.0105461
g	0.00611518	0.945375	0.0180573	0.00688411	0.0107006	0.00808847	0.000972004	0.00188642	0.00192078
á	0.00492342	0.986644	0.00512304	0.000828344	0.000779078	0.000528902	0.000125198	7.97581e-05	0.000967868
l	0.149696	0.137075	0.438662	0.112505	0.0292578	0.0320378	0.00526199	0.00667803	0.0888261
á	0.156176	0.327768	0.246167	0.0987753	0.0782965	0.03331	0.00646945	0.00642169	0.0466162
ó	0.130855	0.198421	0.288192	0.208505	0.0772302	0.0517742	0.0150041	0.00589292	0.0241257
d	0.00923653	0.0092887	0.0763358	0.260346	0.488016	0.111481	0.0257827	0.00454409	0.0149687
i	0.00499208	0.00231744	0.0265651	0.0807504	0.482894	0.123706	0.0374862	0.0310763	0.210212
l	0.0165217	0.00392841	0.0430919	0.12494	0.300854	0.219846	0.188738	0.0264379	0.0756424
i	0.00502199	0.00133422	0.0925885	0.159924	0.323547	0.286194	0.0312759	0.0127531	0.087361
p	0.00413684	0.00379163	0.0540984	0.109902	0.179443	0.364177	0.161834	0.033222	0.089396
f	0.00241621	0.000459757	0.0215151	0.0655966	0.0686264	0.077733	0.716717	0.0278672	0.0190687
u	0.000254133	1.54263e-05	0.000994133	0.00770188	0.0177206	0.056432	0.888118	0.0214445	0.00731947
a	0.00106904	0.000104927	0.00119122	0.0095512	0.00990023	0.0446257	0.891089	0.0321941	0.0102748
b	0.00505054	0.000415714	0.0146859	0.0270176	0.102347	0.518049	0.173703	0.0701352	0.0885961
á	0.0183467	0.00195958	0.0599637	0.117154	0.127612	0.115916	0.206738	0.111074	0.241236
y	0.00314293	0.00229863	0.011187	0.0106984	0.018573	0.0700261	0.289933	0.327712	0.266429
ú	0.0110183	0.00426421	0.0179151	0.0305896	0.0535572	0.0596926	0.109039	0.598361	0.115563
r	0.000821995	0.000623073	0.000625354	0.00177111	0.0109471	0.0312575	0.259366	0.5561	0.138488
u	0.00651198	0.00203216	0.00177754	0.00376472	0.0135838	0.154286	0.167262	0.49511	0.155673
</S>	0.00131602	9.59915e-05	0.00260701	0.0056419	0.0126801	0.0778854	0.0518964	0.253168	0.594709
