 	le	crasseux	gaspille	ses	habits	</S>
m	0.711212	0.246285	0.0207273	0.0185295	0.00286559	0.000380363
o	0.232218	0.366199	0.166544	0.080449	0.00632838	0.148263
r	0.32565	0.632851	0.0241316	0.000915626	0.00469575	0.0117565
o	0.362457	0.547703	0.0379033	0.00982281	0.00893648	0.0331774
y	0.582742	0.30454	0.0670559	0.0243485	0.00165433	0.019659
ó	0.547914	0.294495	0.0593554	0.0540517	0.00436869	0.0398148
f	0.364518	0.196527	0.287036	0.0641002	0.0156697	0.072149
ú	0.159071	0.488237	0.249396	0.0190841	0.054838	0.0293742
l	0.111398	0.527458	0.244763	0.0451512	0.0213368	0.0498935
ú	0.342706	0.380076	0.182896	0.0481318	0.0201436	0.0260469
l	0.0983452	0.0482117	0.210258	0.558395	0.0113699	0.0734201
á	0.238423	0.0634465	0.120418	0.173802	0.0119891	0.391921
a	0.126899	0.0139725	0.032463	0.623149	0.155182	0.0483342
b	0.0647981	0.0611989	0.259199	0.207	0.324961	0.0828434
ω	0.0147061	0.0476126	0.314997	0.227721	0.291222	0.103741
m	0.00682152	0.0701283	0.620812	0.0360031	0.226314	0.0399211
í	0.0284123	0.0319418	0.322937	0.178744	0.0403647	0.3976
s	0.00428928	0.00485737	0.0281105	0.374533	0.196224	0.391986
ώ	0.00299961	0.00909161	0.0367202	0.225931	0.290987	0.43427
i	0.00140032	0.00219331	0.00387795	0.138371	0.585331	0.268826
k	0.0191687	0.0240932	0.0234171	0.106214	0.719492	0.107615
á	0.00320055	0.00745782	0.0135989	0.00954802	0.955829	0.0103654
n	0.0103902	0.0087683	0.0216215	0.157253	0.687546	0.114421
d	0.00224559	0.0277859	0.00811616	0.0605157	0.590935	0.310402
á	0.00683945	0.0304438	0.0292222	0.0413871	0.329262	0.562846
</S>	0.0317149	0.0161757	0.0125022	0.212211	0.0863826	0.641014
