 	cet	homme	enroule	la	terre	pour	ériger	les	murs	de	la	maison	</S>
i	0.867652	0.124455	0.00213237	0.00265864	0.0011059	0.000755708	0.000220909	0.000548998	9.08525e-05	8.70184e-05	0.000275246	6.13667e-06	1.10139e-05
b	0.123831	0.86283	0.00642332	0.00217139	0.000759279	0.000660562	0.00144649	0.000207592	0.000197584	0.000228902	0.000171113	2.28667e-05	0.00104966
a	0.0238923	0.95297	0.0210998	0.000514575	0.000505128	0.000186802	0.000550152	7.1909e-05	1.09562e-05	5.97573e-05	7.57998e-05	4.36232e-06	5.86918e-05
a	0.0584006	0.90922	0.0218897	0.0033497	0.00204204	0.00110197	0.000933386	0.000434066	0.000349402	0.000482514	0.000267439	0.000108572	0.00142118
d	0.576438	0.298268	0.0188771	0.0432584	0.00850721	0.0193168	0.00203058	0.00602086	0.00200994	0.00690813	0.00190716	0.000175121	0.0162824
í	0.0944693	0.095487	0.0441433	0.0784697	0.0183703	0.103165	0.00666667	0.0609966	0.0417667	0.0603473	0.0243855	0.00469213	0.367041
l	0.0989275	0.177851	0.208848	0.185651	0.047488	0.0793361	0.00994399	0.0347669	0.015775	0.0349967	0.0120002	0.00573051	0.0886848
í	0.065595	0.0199845	0.103151	0.0685331	0.0379363	0.0996939	0.0113959	0.0582786	0.0537775	0.0712743	0.0232266	0.018618	0.368535
i	0.168734	0.0411363	0.325342	0.149498	0.0734142	0.0577307	0.00663226	0.0382375	0.0220892	0.0314274	0.0271569	0.0131151	0.0454859
b	0.00628343	0.0628836	0.814767	0.0629496	0.0113659	0.0116654	0.00929445	0.00207403	0.00196095	0.00351573	0.00129859	0.000493118	0.0114485
ó	0.00136558	0.0356082	0.92481	0.0297014	0.00247365	0.00375432	0.000591316	0.000178902	4.8153e-05	0.000565321	0.000125359	3.48569e-06	0.000774343
r	0.00207869	0.0622722	0.878108	0.0446124	0.00450196	0.00343236	0.00165002	0.000348473	0.000229101	0.000650954	0.000179116	5.69454e-05	0.00187965
á	0.0425064	0.0283733	0.393241	0.335653	0.0394082	0.0530649	0.0148586	0.0146183	0.0128876	0.0185481	0.00539583	0.00242239	0.0390221
á	0.0200571	0.0083535	0.430085	0.418409	0.0986842	0.015383	0.00345033	0.00195527	0.000450879	0.00116485	0.000258241	7.28171e-05	0.00167583
t	0.00163385	0.00182511	0.0301488	0.554435	0.266048	0.111472	0.00649503	0.00712977	0.00301338	0.00579494	0.00500001	0.00335282	0.00365124
s	0.000234003	0.00235641	0.0261959	0.105508	0.706228	0.040352	0.0910932	0.00687161	0.00637719	0.00902455	0.00105183	0.000230031	0.00447702
ε	7.95786e-05	0.00105015	0.0290125	0.151617	0.687321	0.0373142	0.0407978	0.0133819	0.00506945	0.0179613	0.00551742	0.00041041	0.0104669
n	0.000828185	0.002006	0.0563008	0.351574	0.308847	0.163498	0.0240748	0.0232135	0.00678292	0.0189944	0.00838576	0.0018639	0.0336313
g	0.001878	0.00208323	0.0298542	0.131836	0.128261	0.134352	0.0666108	0.0620609	0.05222	0.0612913	0.0366351	0.0489432	0.243975
ε	0.00713485	0.000703172	0.0526039	0.0519257	0.400973	0.0323091	0.0277748	0.0240496	0.0912518	0.0143023	0.0231467	0.204997	0.0688281
m	0.00089318	0.000506627	0.00343592	0.106166	0.125718	0.576938	0.0967216	0.058649	0.00751294	0.00910699	0.0030886	0.000266325	0.0109966
í	0.0141637	0.00556779	0.00853102	0.0327178	0.01053	0.23483	0.0323762	0.33774	0.0211014	0.121601	0.0468792	0.000774893	0.133188
k	0.00144618	0.000834811	0.00406456	0.019748	0.0259857	0.159724	0.552876	0.148565	0.0367799	0.0311333	0.00843168	0.000989002	0.00942254
a	6.94543e-05	0.00022216	0.000362177	0.00254138	0.00731799	0.0207104	0.914894	0.0178547	0.022458	0.00994449	0.00103357	0.00018463	0.0024068
n	0.000193665	0.000439628	0.00265562	0.0128647	0.0259319	0.0426796	0.763068	0.0502737	0.0400597	0.0391277	0.00344609	0.000249559	0.0190097
a	0.000283912	0.000780888	0.00259689	0.00875471	0.0248731	0.0595079	0.591996	0.0943906	0.0681111	0.0395629	0.00894767	0.0036171	0.0965776
a	0.000426427	0.000321997	0.00273251	0.0195772	0.0187664	0.121246	0.220285	0.372215	0.089404	0.102763	0.0200408	0.00188417	0.0303374
l	0.000309974	0.000225668	0.00254439	0.0182582	0.00261182	0.075868	0.0540181	0.206778	0.0931238	0.316508	0.118088	0.0102278	0.101438
á	0.000827197	0.000500004	0.00445671	0.0107031	0.00448545	0.038089	0.0804203	0.0703569	0.0912325	0.250039	0.136206	0.0196654	0.293018
n	0.000284831	0.000134246	0.00133445	0.00640146	0.00554818	0.023962	0.067148	0.13313	0.153526	0.208558	0.264465	0.0929536	0.042554
d	0.000191564	2.60802e-05	0.000573173	0.00102352	0.00183603	0.00633576	0.0102949	0.028822	0.17186	0.0465148	0.128787	0.591977	0.0117582
é	6.76589e-05	7.34358e-06	4.76195e-05	8.07648e-05	0.000200462	0.000504005	0.00512906	0.00902213	0.209255	0.0146065	0.0297319	0.720523	0.010825
e	4.53931e-06	7.56263e-06	0.000148011	0.000255875	0.000756933	0.0037448	0.0259328	0.0296109	0.322654	0.0732268	0.0975654	0.321902	0.12419
</S>	0.000152841	0.000140497	0.00064247	0.00181069	0.000492223	0.0107919	0.0116479	0.0822569	0.0452194	0.27209	0.161372	0.0346983	0.378684
