 	ce	manguier	produit	de	bons	fruits	</S>
o	0.62597	0.166932	0.126892	0.031083	0.0304432	0.0150982	0.00358084
t	0.347801	0.462158	0.102786	0.0411415	0.00838821	0.0157264	0.0219996
s	0.1154	0.0203457	0.444763	0.149837	0.0823077	0.082531	0.104815
í	0.0510913	0.0107371	0.57587	0.177439	0.118648	0.0436549	0.0225593
n	0.423079	0.239984	0.0882982	0.0372287	0.0305671	0.0275697	0.153273
a	0.13168	0.121047	0.0789742	0.0568197	0.0885071	0.0551746	0.467798
m	0.311542	0.142734	0.312204	0.118593	0.0229027	0.0250449	0.0669801
á	0.794197	0.161361	0.0115221	0.0199296	0.00368282	0.00265788	0.00664909
m	0.340088	0.434072	0.110251	0.0380745	0.0162471	0.0108729	0.0503946
b	0.170576	0.777181	0.0148582	0.02374	0.00129343	0.00348182	0.00887025
á	0.0338577	0.734382	0.0554362	0.0666452	0.014615	0.0144746	0.0805895
n	0.0835482	0.864057	0.0164817	0.0122393	0.00173859	0.0026846	0.0192505
g	0.288763	0.656039	0.0263765	0.00749259	0.00472356	0.00345261	0.0131529
é	0.191789	0.467376	0.240977	0.0666057	0.0131769	0.0102582	0.00981669
m	0.141998	0.0603227	0.288152	0.331703	0.0913937	0.049705	0.0367266
ú	0.491547	0.201722	0.0328965	0.180983	0.0149152	0.0307891	0.0471476
m	0.0427354	0.129403	0.0652377	0.497891	0.0562779	0.0596238	0.148832
ó	0.164109	0.0171284	0.363688	0.240123	0.0500694	0.13163	0.0332529
o	0.0669191	0.015382	0.170332	0.285549	0.0675686	0.165114	0.229136
b	0.0343527	0.0149399	0.0946309	0.38659	0.0536464	0.113209	0.302631
ó	0.00360378	0.0201571	0.222693	0.353368	0.0447434	0.219428	0.136007
r	0.00585057	0.00462862	0.213654	0.180027	0.0253753	0.123283	0.44718
á	0.0129577	0.00288059	0.162704	0.294211	0.0354964	0.129521	0.362229
i	0.0168216	0.00749485	0.0251866	0.174473	0.320894	0.163497	0.291632
b	0.00644992	0.0063343	0.018111	0.126855	0.136138	0.248821	0.457291
v	0.00113484	0.0102893	0.0204294	0.080313	0.0806158	0.768485	0.0387325
u	0.00139648	0.00124433	0.0123114	0.0963579	0.173156	0.690421	0.0251134
m	0.0250591	0.00218946	0.0302482	0.0973075	0.482023	0.139822	0.223351
á	0.0443911	0.00668193	0.0124627	0.16186	0.245708	0.351805	0.177091
b	0.00717065	0.00156984	0.00767648	0.0514907	0.443015	0.127607	0.36147
i	0.0011632	0.00103343	0.0379139	0.0405796	0.462428	0.35933	0.0975524
b	0.000892269	0.0010014	0.00906579	0.0246074	0.293381	0.222467	0.448585
v	0.00130155	0.00104	0.0122459	0.0385578	0.394926	0.327957	0.223972
έ	0.00148976	0.000636319	0.00319941	0.0376412	0.482723	0.370432	0.103878
i	0.00867751	0.000836776	0.0258271	0.117949	0.339061	0.199158	0.308491
b	0.0194682	0.00321781	0.0187871	0.0914014	0.267317	0.113969	0.48584
v	0.00248111	0.00319945	0.0314867	0.0434216	0.575881	0.245711	0.0978188
έ	0.0117506	0.00120127	0.00872975	0.0288246	0.604629	0.261173	0.0836926
</S>	0.00518552	0.00076907	0.00518126	0.0320355	0.224578	0.0501385	0.682113
