 	on	prend	du	thé	le	matin	</S>
t	0.876537	0.0635031	0.0426649	0.00229293	0.013652	0.000689705	0.000660491
í	0.29264	0.53378	0.0866382	0.0260996	0.0476175	0.00981158	0.003413
i	0.0416878	0.861763	0.0393576	0.0108921	0.00465362	0.002256	0.0393898
l	0.432846	0.15761	0.201403	0.0176666	0.0444773	0.00172167	0.144276
é	0.1724	0.148914	0.286343	0.158522	0.0448674	0.000742361	0.188211
e	0.147905	0.037012	0.479394	0.0576961	0.0611801	0.0176305	0.199183
n	0.00762556	0.415464	0.271512	0.213404	0.0228996	0.01505	0.0540441
y	0.00785607	0.0619817	0.249761	0.626201	0.0168964	0.00380256	0.0335017
w	0.0121206	0.0199118	0.0843623	0.859845	0.0123051	0.00595142	0.00550421
á	0.00958161	0.0161144	0.111851	0.790392	0.0329769	0.00627214	0.0328114
l	0.0301132	0.0302662	0.314281	0.234333	0.127458	0.0132601	0.250289
o	0.0221891	0.0289017	0.174689	0.399933	0.150916	0.0383702	0.185001
y	0.00105265	0.0018151	0.0689225	0.0888065	0.0972069	0.609452	0.132744
ó	0.000187298	0.00194605	0.0250239	0.0955578	0.0474909	0.781184	0.0486097
l	0.000653532	0.00112632	0.0224779	0.0207456	0.0369124	0.782041	0.136043
o	0.000637587	0.00794628	0.0410705	0.0775448	0.102521	0.628979	0.141301
</S>	0.00109964	0.00132828	0.0503506	0.0399107	0.094095	0.235712	0.577504
