 	la	salive	s'	est	accumulée	dans	sa	bouche	</S>
w	0.911082	0.0815085	0.00325108	0.00033861	3.25632e-05	0.00112553	0.00192569	0.000571624	0.000164762
a	0.650428	0.194534	0.0704157	0.00480729	1.39863e-05	0.0131421	0.0536356	0.0115131	0.00151016
a	0.060047	0.800639	0.0804878	0.0223731	0.000686245	0.0146382	0.00774883	0.00457154	0.00880804
t	0.0161943	0.665513	0.153499	0.107569	0.0193065	0.0134862	0.00377579	0.00177833	0.0188776
í	0.00294097	0.709849	0.0880684	0.0780459	0.00428693	0.0166207	0.00333478	0.00142149	0.0954314
ε	0.00387299	0.595224	0.12547	0.0449637	0.0116297	0.029401	0.00399694	0.00378957	0.181652
á	0.030302	0.114187	0.565661	0.243335	0.0163131	0.0107391	0.00460497	0.00351452	0.0113434
m	0.00107655	0.00906781	0.0721911	0.350731	0.480733	0.0636005	0.00895762	0.00227663	0.0113658
i	0.00336768	0.00811307	0.119661	0.472454	0.15365	0.0985039	0.0292423	0.024924	0.0900833
y	0.000211559	0.00130067	0.0191482	0.212329	0.694275	0.0435282	0.00399274	0.00224782	0.0229667
e	5.68186e-05	0.00011266	0.00206634	0.0151961	0.95314	0.0128608	0.00264219	0.00326907	0.0106565
e	0.000262944	0.000471598	0.0184018	0.108345	0.626335	0.0887467	0.00971486	0.00833891	0.139383
n	0.00425586	0.00214544	0.0906201	0.130925	0.0658112	0.490265	0.0545913	0.0379406	0.123446
g	0.0115668	0.00122416	0.0202713	0.00822242	0.0144005	0.227002	0.172995	0.465327	0.0789917
á	0.0108534	0.00347152	0.0679813	0.0187959	0.0323813	0.150914	0.144907	0.478819	0.0918772
s	0.00336962	0.000443576	0.0129068	0.00684677	0.00423478	0.199701	0.453786	0.260012	0.0586998
ó	0.0019777	0.00030274	0.00225439	0.00152501	0.00598338	0.169521	0.265019	0.42899	0.124426
n	0.00492992	0.000932535	0.0149848	0.00627069	0.0155434	0.112958	0.190256	0.383807	0.270318
ω	0.000210567	4.26829e-05	0.00037763	0.000257127	0.00428867	0.0354761	0.100273	0.812922	0.0461522
ω	8.32021e-05	0.000684676	0.00780123	0.00591189	0.00102965	0.0817968	0.0929802	0.273118	0.536594
</S>	0.00098005	0.000160396	0.00951285	0.0111543	0.00747503	0.233114	0.218508	0.15126	0.367835
