 	le	guérisseur	est	en	train	de	délivrer	alwémbé	d'	un	mauvais	esprit	</S>
n	0.368955	0.590729	0.0214342	0.00471738	0.00655095	0.00481319	0.000755208	0.000164991	0.000456916	0.000394184	0.000939992	5.49559e-05	3.37965e-05
g	0.552137	0.442046	0.00529594	0.000306658	4.7657e-06	0.000158684	6.75602e-07	4.19031e-06	1.0788e-05	1.34469e-05	1.60054e-05	1.08938e-06	4.79682e-06
a	0.0226798	0.974486	0.00204868	0.000386994	0.000120749	0.000168919	2.3095e-05	1.5634e-05	1.34367e-05	2.46172e-05	1.21358e-05	1.77145e-05	1.79997e-06
n	0.338436	0.60771	0.0194604	0.018301	0.0098367	0.00374307	0.000518607	0.000340918	0.000102695	0.000126462	0.000132787	0.000349642	0.000941888
g	0.330407	0.374772	0.128471	0.0917645	0.00944789	0.0352669	0.00216585	0.000578403	0.00367197	0.00182607	0.00201663	0.00153691	0.0180748
a	0.280424	0.345461	0.156857	0.145621	0.0178952	0.0379402	0.002309	0.00102174	0.00212698	0.00130325	0.000899367	0.000770441	0.00737186
b	0.026175	0.00830298	0.247179	0.217974	0.0199822	0.322776	0.132143	0.00278617	0.00581503	0.00255221	0.00460194	0.00226729	0.00744622
ó	0.195121	0.0471959	0.151952	0.215277	0.0951855	0.15835	0.0529599	0.00105001	0.021262	0.0198659	0.0190854	0.0105088	0.0121857
l	0.0169994	0.0209243	0.205799	0.230366	0.102517	0.311986	0.0898027	0.00243833	0.00508294	0.00375193	0.0031377	0.00286328	0.00433112
á	0.0893515	0.0160306	0.0845385	0.0289442	0.00755158	0.232577	0.0724245	0.0130581	0.0717612	0.0743848	0.0433833	0.0165634	0.249432
a	0.266673	0.029317	0.219642	0.0623324	0.00568455	0.217368	0.137537	0.0130267	0.0167741	0.00723228	0.00350783	0.00353826	0.0173667
p	0.00978656	0.000469075	0.00661317	0.00554878	0.000187717	0.0271513	0.531964	0.39098	0.00723339	0.00321958	0.000711294	0.0111177	0.00501746
f	0.000617722	2.26835e-05	0.00388041	0.00722457	4.57574e-05	0.00718568	0.219541	0.728257	0.00537186	0.00292484	0.00044976	0.00689945	0.0175799
u	0.000838207	4.8896e-06	0.000558976	0.00146962	1.03492e-05	0.00145669	0.102989	0.876379	0.00695156	0.00230076	0.000125754	0.00212055	0.00479482
b	0.00453975	0.000247106	0.00524305	0.00474299	0.000483641	0.0208217	0.0768911	0.856427	0.0204153	0.00672096	0.000577212	0.000662819	0.00222733
h	0.0940429	0.00219114	0.00951036	0.00844609	0.000227008	0.0111027	0.0367827	0.559153	0.138281	0.0896039	0.0114011	0.00243188	0.0368262
á	0.0309908	0.00124298	0.0110539	0.0162782	0.00117515	0.0148507	0.019201	0.249605	0.230316	0.129462	0.0410905	0.0127394	0.241994
á	0.00166567	8.42648e-05	0.00196891	0.00195569	7.19795e-05	0.00329335	0.00531337	0.129479	0.654709	0.125335	0.0552214	0.0108797	0.0100227
a	0.00716495	0.000317203	0.00385694	0.00194296	7.98998e-05	0.00358551	0.002281	0.0182705	0.469712	0.329072	0.126749	0.0265001	0.0104675
l	0.00386495	0.000144967	0.00475399	0.00659963	0.000193299	0.00264742	0.00475601	0.18591	0.0386447	0.210752	0.016475	0.500227	0.0250313
w	0.00116091	1.51359e-05	0.00137466	0.00511637	2.20956e-05	0.000740108	0.000627223	0.0219975	0.0422983	0.223961	0.05209	0.551045	0.0995513
é	0.000460573	1.54627e-05	9.20885e-05	0.000450572	2.35009e-05	0.000185321	0.00144705	0.107344	0.066177	0.162166	0.053018	0.557465	0.0511543
m	8.62967e-05	3.40626e-06	0.000212316	0.00108088	1.20195e-05	0.000316459	0.00143235	0.0634937	0.107566	0.292469	0.167144	0.203519	0.162664
b	0.00858856	3.42348e-05	0.00218763	0.000719256	4.57416e-06	0.00161897	0.00311339	0.00846133	0.0706237	0.256669	0.119184	0.373458	0.155338
é	0.121306	0.00026287	0.00291144	0.011002	0.000394459	0.00120957	0.000380336	0.0108018	0.0895401	0.167095	0.124644	0.202844	0.267609
</S>	0.00124074	1.95967e-05	0.000903108	0.00320926	0.000104854	0.00106063	0.00110983	0.00733953	0.0273744	0.0825172	0.151728	0.160494	0.562899
