 	cette	manière	de	s'	habiller	est	celle	des	enfants	</S>
e	0.10731	0.143745	0.300498	0.428138	0.00915364	0.00533574	0.00191253	0.00333812	0.000177414	0.000392185
l	0.000505959	0.000247911	0.00302874	0.0754878	0.888335	0.0149729	0.0148793	0.00242297	9.36032e-05	2.5318e-05
á	0.000343416	0.000664772	0.00217598	0.00280061	0.988187	0.00216028	0.00151835	5.99041e-05	9.82049e-05	0.0019915
r	0.000445198	0.00725271	0.0383798	0.0543482	0.83593	0.0402896	0.0189605	0.0028046	0.000514227	0.00107534
í	0.00728091	0.02902	0.121191	0.222816	0.495587	0.0621919	0.0466282	0.00853168	0.00335519	0.00339882
r	0.0256697	0.0142328	0.0379241	0.0777193	0.0852952	0.352375	0.248207	0.0584051	0.00762318	0.0925485
í	0.0613977	0.0146002	0.0141211	0.0772705	0.231173	0.204636	0.25291	0.0422828	0.000474327	0.101134
y	0.428258	0.0969044	0.188667	0.0274727	0.0621813	0.0745588	0.0636048	0.0193349	0.00124093	0.0377777
i	0.140633	0.0531088	0.0804468	0.162223	0.205248	0.0490815	0.0372891	0.0211512	0.000341819	0.250478
k	0.0333035	0.00978453	0.0369878	0.11308	0.441266	0.106622	0.082026	0.0280975	0.0015834	0.14725
á	0.0385314	0.000821357	0.00660226	0.0777323	0.626834	0.0736773	0.0554397	0.0232538	0.0139067	0.0832012
n	0.00780648	0.00370733	0.0464225	0.106043	0.191409	0.0601549	0.0366344	0.0194725	0.267986	0.260364
d	0.0101608	0.00420639	0.0143244	0.0210351	0.0429781	0.0905661	0.150849	0.130728	0.232669	0.302483
á	0.0506004	0.0503704	0.0515118	0.0700952	0.280801	0.116469	0.259693	0.0347604	0.00486117	0.0808369
y	0.0202047	0.0046006	0.0151339	0.085803	0.12838	0.329759	0.247968	0.144895	0.00283847	0.0204165
é	0.377996	0.0493851	0.044213	0.0357903	0.0514317	0.14531	0.189311	0.0786091	0.00087312	0.0270807
y	0.140902	0.0120635	0.0233721	0.0550836	0.0575202	0.182508	0.255334	0.215611	0.0118533	0.0457516
á	0.0413905	0.0220858	0.0192557	0.0258198	0.145065	0.137914	0.433782	0.13217	0.00225225	0.0402647
a	0.0121018	0.00335958	0.0150965	0.04084	0.0110787	0.176441	0.337617	0.352929	0.0266351	0.0239008
n	0.00400128	0.000987249	0.00428448	0.0140797	0.047596	0.13629	0.372315	0.185654	0.0348203	0.199973
d	0.0232894	0.00924951	0.0100006	0.0216815	0.0253414	0.0544075	0.503621	0.273634	0.00580135	0.072974
z	0.00113622	0.00122414	0.00129711	0.00328402	0.0290539	0.0655118	0.507964	0.201857	0.0185033	0.170169
é	0.00400177	0.000326723	0.000317749	0.00169403	0.0317557	0.070871	0.573315	0.248985	0.0134937	0.0552394
s	0.00183377	0.000992454	0.0045689	0.0131794	0.119983	0.0847669	0.19282	0.19515	0.00441622	0.382289
i	0.0311933	0.00187043	0.00129826	0.00322581	0.0456906	0.108627	0.396059	0.230522	0.00861014	0.172903
</S>	0.00652367	0.00224645	0.00536204	0.012555	0.00779413	0.0747355	0.10662	0.153184	0.00997718	0.621002
