 	ce	jeune	garçon	a	une	infirmité	au	pied	</S>
m	0.758516	0.183103	0.0437342	0.0041985	0.00128041	0.0068139	0.00173167	0.000261933	0.000360203
w	0.0214407	0.402601	0.569257	0.00371173	0.000347893	0.00015195	0.000392493	3.75824e-05	0.00205939
á	0.0678391	0.313839	0.617046	0.000704122	0.000284403	4.225e-05	4.07286e-05	3.49053e-05	0.000169292
n	0.0297882	0.90839	0.0604733	0.000489875	6.64628e-05	3.18944e-05	6.59086e-05	1.33569e-05	0.000681251
a	0.0288884	0.623228	0.271675	0.0487172	0.00928847	0.000848852	0.000600393	0.000183388	0.016571
i	0.672166	0.234346	0.0341438	0.0299581	0.0111507	0.00438777	0.00766465	0.00140466	0.0047789
b	0.105768	0.0944649	0.30244	0.268007	0.163048	0.0234956	0.0115268	0.0127823	0.018466
a	0.0537271	0.0311305	0.322738	0.160181	0.0840702	0.29163	0.0158155	0.00286572	0.0378423
a	0.201478	0.113882	0.18651	0.186675	0.0625275	0.132961	0.0122098	0.00198212	0.101774
w	0.0265866	0.205581	0.280151	0.371605	0.0611225	0.0234055	0.0181107	0.000331805	0.0131066
ó	0.0748713	0.124336	0.111111	0.36834	0.159332	0.0233361	0.0474869	0.0036823	0.0875039
a	0.0320417	0.0143428	0.056924	0.686625	0.138326	0.00854229	0.0225556	0.0017192	0.0389234
d	0.0035529	0.00109428	0.00520433	0.450931	0.396689	0.0845445	0.0296796	0.00125229	0.0270524
í	0.00500017	0.0013642	0.0034385	0.496657	0.380418	0.0345668	0.0185289	0.000936578	0.0590894
l	0.00779786	0.0174452	0.0095593	0.144912	0.330073	0.258973	0.0719488	0.0842317	0.0750596
e	0.00797415	0.00228993	0.0242398	0.0975121	0.230328	0.20423	0.13562	0.0174157	0.28039
l	0.0198551	0.00559975	0.00523764	0.0570838	0.24601	0.262746	0.0655932	0.26294	0.0749347
έ	0.00840344	0.000584692	0.00296739	0.030539	0.277476	0.474651	0.0392721	0.127882	0.0382243
m	0.000961819	0.00014484	0.00135199	0.0271935	0.195667	0.300393	0.186463	0.0605519	0.227274
ε	0.00761385	0.0330042	0.0195673	0.0817454	0.107706	0.108677	0.326393	0.0136502	0.301644
m	0.00303783	0.0037754	0.0020593	0.0173221	0.0314606	0.150343	0.47077	0.0935217	0.22771
é	0.0111509	0.00466034	0.00921271	0.025316	0.0332162	0.033351	0.243348	0.0353073	0.604437
k	0.030064	0.00178491	0.00133982	0.0178425	0.0273252	0.0356136	0.324294	0.489552	0.0721844
o	0.00173507	7.28853e-06	1.03027e-05	0.000578432	0.00662345	0.0145336	0.0140508	0.928829	0.0336318
o	0.00122341	1.4757e-05	3.12457e-05	0.00135023	0.00994379	0.0286818	0.0141542	0.912537	0.0320639
</S>	0.00599687	0.000190026	0.000172596	0.00942472	0.0156714	0.0274759	0.201327	0.194469	0.545272
