 	les	bananes	sont	pleines	</S>
a	0.536364	0.448311	0.0127796	0.00247258	7.28536e-05
k	0.0456482	0.881833	0.010877	0.0600581	0.00158346
ω	0.0162644	0.948018	0.00742975	0.0235862	0.00470174
á	0.0473088	0.838056	0.0685513	0.0275283	0.0185559
s	0.0944715	0.0323387	0.823484	0.0132936	0.0364126
á	0.184842	0.01074	0.624531	0.00523684	0.17465
a	0.470096	0.0316197	0.35922	0.0298215	0.109243
a	0.183732	0.0140063	0.25589	0.205538	0.340833
b	0.0142937	0.0158862	0.42727	0.356593	0.185958
o	0.00740642	0.0151401	0.0646089	0.750272	0.162572
s	0.00405079	0.00616642	0.0553304	0.824716	0.109737
i	0.0424295	0.0101044	0.0973636	0.493095	0.357008
</S>	0.0375461	0.00273792	0.174542	0.0928596	0.692315
