 	comment	appelle-t-on	cet	animal	</S>
b	0.363852	0.623197	0.0111407	0.00166714	0.000142869
á	0.121676	0.848291	0.0209962	0.00743647	0.00160057
a	0.039005	0.932436	0.00824128	0.00119729	0.0191204
b	0.266156	0.425392	0.27273	0.00113012	0.034591
é	0.0323177	0.631949	0.230255	0.00381071	0.101668
á	0.116858	0.221115	0.323691	0.0167949	0.32154
n	0.0358301	0.02626	0.805992	0.0139234	0.117995
y	0.0932266	0.0027495	0.25808	0.482443	0.163501
a	0.11428	0.0808565	0.358699	0.409394	0.0367707
m	0.0605032	0.00690212	0.630171	0.151471	0.150953
a	0.0210964	0.00289434	0.380834	0.409165	0.186011
w	0.0132118	0.00355695	0.437588	0.10345	0.442193
ó	0.0602043	0.103951	0.555524	0.141419	0.138902
n	0.00486895	0.00394371	0.499396	0.0549961	0.436795
d	0.0366918	0.00332123	0.216614	0.216879	0.526494
e	0.0051847	0.000429576	0.0393693	0.221064	0.733952
</S>	0.003852	0.00188634	0.117782	0.0574181	0.819061
