 	qui	est	celui	qui	a	enlèvé	la	feuille	que	j'	avais	affichée	</S>
o	0.572317	0.169773	0.0888213	0.0219001	0.032824	0.0304864	0.046206	0.0216312	0.00581299	0.00317667	0.00579909	0.00073511	0.000517544
n	0.0113091	0.093241	0.046414	0.0292555	0.0419267	0.507413	0.0243771	0.0219232	0.0103018	0.0336913	0.0305568	0.137073	0.0125178
a	0.00621171	0.0803518	0.0228785	0.0438409	0.0330499	0.329119	0.020245	0.0562012	0.0157585	0.293736	0.0278974	0.0376571	0.0330536
r	0.00752796	0.0820124	0.0465494	0.0897721	0.0659884	0.623978	0.00736327	0.0154929	0.00682571	0.0137894	0.0105347	0.00234048	0.0278256
i	0.0860315	0.109204	0.121753	0.13434	0.135529	0.172593	0.0451437	0.0422179	0.0127052	0.00402943	0.00886045	0.0103015	0.117291
l	0.0688397	0.0381119	0.0657631	0.119567	0.0823241	0.0324827	0.181322	0.160954	0.126685	0.0424664	0.0594126	0.0080593	0.014012
e	0.0540251	0.0291453	0.0931209	0.112188	0.0617362	0.0219036	0.115968	0.0840762	0.0745545	0.0495702	0.0776472	0.0153481	0.210716
k	0.020391	0.00964984	0.0251244	0.0409515	0.0410336	0.0195762	0.251196	0.270555	0.207768	0.0553508	0.0196918	0.00357489	0.0351377
á	0.00640627	0.00612809	0.00896313	0.00573204	0.0139774	0.112506	0.168131	0.483515	0.100085	0.021086	0.0393163	0.0215521	0.0126007
s	0.00876316	0.00841452	0.0162895	0.00395564	0.0186034	0.0565789	0.104638	0.527571	0.16299	0.0307222	0.0220874	0.0145071	0.0248799
í	0.00572801	0.00175159	0.00233932	0.00192604	0.0056334	0.00847906	0.210962	0.150953	0.333942	0.155755	0.0793673	0.00232911	0.0408343
l	0.00540317	0.00332884	0.0122198	0.0491594	0.0592476	0.00891493	0.107263	0.125758	0.250494	0.195619	0.162949	0.00987448	0.00976721
í	0.00461036	0.002612	0.00451586	0.0101836	0.0190812	0.00798952	0.0388679	0.0277291	0.152067	0.353462	0.225756	0.004893	0.148232
í	0.0226966	0.0017813	0.00684257	0.025447	0.0297062	0.00564357	0.0784533	0.0813832	0.280778	0.259337	0.169305	0.0124731	0.0261542
k	0.00324072	0.0041251	0.0049522	0.0111442	0.0131754	0.00849039	0.0055126	0.00546524	0.0305192	0.166968	0.636988	0.0803237	0.0290956
a	0.000541516	0.00250146	0.00478816	0.00887812	0.0239511	0.0567701	0.0094613	0.0207131	0.012543	0.0305728	0.352347	0.364731	0.112202
n	0.000477825	0.00134972	0.00885289	0.0179999	0.0419254	0.0684697	0.0241841	0.0684303	0.0329305	0.04175	0.189695	0.245015	0.25892
í	0.00332857	0.00327375	0.00825467	0.0184992	0.0502791	0.0363595	0.0664248	0.0587058	0.123275	0.198731	0.195997	0.116495	0.120376
n	0.00454954	0.00179768	0.00413735	0.0139333	0.0312033	0.00323135	0.0520148	0.0615164	0.220778	0.295461	0.176386	0.066866	0.0681254
g	0.0030284	0.000747145	0.000353836	0.00148817	0.00341485	0.00281564	0.0211339	0.00329698	0.122602	0.681946	0.0445728	0.00756737	0.107033
á	0.000593478	0.000346	0.000282224	0.00111813	0.00267711	0.00151455	0.00738242	0.00330674	0.0732504	0.770206	0.0318009	0.00531305	0.102209
á	0.00342358	0.00111061	0.00410431	0.00583983	0.00870626	0.0014975	0.0755463	0.0458318	0.169047	0.0596802	0.226204	0.300794	0.0982142
d	0.00414913	0.00527334	0.00626533	0.0114052	0.00903474	0.00458156	0.00475566	0.00858061	0.0200888	0.0664488	0.408069	0.236	0.215349
z	0.00333663	0.00249347	0.00355676	0.00933646	0.0101304	0.00300624	0.00259719	0.0038718	0.0094056	0.024132	0.104728	0.138478	0.684928
e	0.0110471	0.00295007	0.00984862	0.0254401	0.0349307	0.00111785	0.0296797	0.00543471	0.076301	0.0410648	0.0646955	0.12095	0.57654
n	0.00303749	0.00125777	0.00519931	0.027127	0.03696	0.00623796	0.0322986	0.0304128	0.0594701	0.0342413	0.1209	0.185862	0.456996
d	0.000783618	0.00161813	0.00156081	0.00488494	0.00715763	0.00844415	0.00855868	0.00283029	0.0249602	0.0737805	0.0411346	0.0320651	0.792221
a	0.000597536	0.000403871	0.000412743	0.00190965	0.00144701	0.000732487	0.00329052	0.000799203	0.0161799	0.157242	0.0112966	0.0103291	0.795359
</S>	0.000100938	0.000151651	0.000272019	0.000980984	0.000871057	0.000230777	0.00771656	0.00215383	0.025704	0.0193122	0.029465	0.00670915	0.906332
