 	il	a	mis	un	appât	sur	le	piège	pour	attraper	les	rats	</S>
w	0.729173	0.241178	0.00946309	0.00444309	0.00308498	0.00247623	0.00241322	0.00293115	0.00386797	0.000373913	0.000498183	4.87528e-05	4.82954e-05
a	0.50768	0.358736	0.00421315	0.0225614	0.0022955	0.0114233	0.0423103	0.0321529	0.0156161	0.000119697	0.00181074	0.00103643	4.49471e-05
a	0.198475	0.699972	0.0527619	0.0225212	0.00505624	0.00366234	0.00583132	0.00372274	0.00493788	0.000270299	0.00175046	0.000350416	0.000688535
m	0.0665132	0.523522	0.271967	0.0418706	0.0137333	0.00928412	0.00708581	0.00503871	0.00916824	0.0175225	0.0187508	0.00383791	0.0117058
i	0.0311736	0.193267	0.379412	0.182165	0.064842	0.0451789	0.0279567	0.0228603	0.0199074	0.00771425	0.0106803	0.0010797	0.0137627
k	0.010845	0.0232807	0.735203	0.137422	0.0490405	0.0103689	0.00555579	0.00155129	0.00302254	0.00260157	0.00258277	0.00068861	0.0178379
a	0.00173192	0.00525166	0.702547	0.148806	0.0932114	0.0137274	0.00603969	0.00316785	0.00292734	0.00886278	0.00218449	0.0014027	0.01014
n	0.00250226	0.020299	0.534166	0.266774	0.148303	0.00791035	0.00334946	0.00127595	0.00121311	0.0104287	0.00111327	0.000542746	0.00212129
á	0.0451279	0.0533481	0.608133	0.203247	0.0450837	0.00989539	0.00930074	0.00455558	0.00482722	0.0032503	0.0023994	0.000685739	0.0101463
e	0.00812982	0.0330171	0.0508985	0.276536	0.354093	0.115804	0.0551961	0.0473363	0.029333	0.0127136	0.00655853	0.00644706	0.00393709
d	0.00389848	0.00211088	0.0224722	0.311395	0.407362	0.0974411	0.0419989	0.0446723	0.0307333	0.018996	0.00323132	0.00828267	0.00740623
z	8.69929e-05	0.000347098	0.00181923	0.0962155	0.693711	0.110088	0.0268427	0.0439377	0.00553015	0.0101649	0.00153107	0.00181825	0.00790725
é	0.000348307	0.000287406	0.00137235	0.0493796	0.914897	0.0180869	0.00506268	0.00248549	0.00113529	0.00181838	0.000487061	0.000164198	0.00447523
s	0.00108172	0.00184789	0.00660879	0.10362	0.422504	0.152497	0.0715207	0.0466253	0.0163419	0.0202775	0.00997718	0.0169963	0.130103
á	0.000478067	0.000479464	0.00524819	0.0786107	0.509227	0.110973	0.0936498	0.104354	0.0265799	0.0236396	0.0045376	0.00447278	0.0377498
m	0.00590963	0.00334322	0.00737139	0.107087	0.164305	0.222654	0.149141	0.209309	0.104369	0.0121981	0.00622383	0.00362685	0.0044626
ó	0.0027182	0.000394411	0.000946039	0.0263263	0.160857	0.140737	0.164232	0.236658	0.194973	0.0104168	0.0171385	0.0016366	0.0429669
b	0.00107169	0.0009047	0.00154596	0.0255793	0.0885824	0.121617	0.117236	0.219252	0.233951	0.160686	0.0166528	0.00928244	0.00363793
ó	0.000999806	0.000505784	0.00274341	0.0104002	0.0609967	0.116871	0.116663	0.195865	0.197479	0.251499	0.0122513	0.0263222	0.00740322
y	0.000340537	0.000344532	0.0011701	0.0100125	0.0771054	0.0716829	0.0594854	0.339185	0.155708	0.204459	0.0136391	0.0490705	0.0177965
a	0.000564106	0.000598062	0.00365161	0.0320445	0.12223	0.106806	0.143723	0.12834	0.167337	0.233896	0.0253442	0.00990897	0.0255565
m	0.000900067	0.000891725	0.00151776	0.0113175	0.00741572	0.0668047	0.136666	0.140407	0.312335	0.129465	0.136046	0.0225429	0.0336912
i	0.00192069	0.000467911	0.000861761	0.0211818	0.0386074	0.0728379	0.137735	0.0771388	0.18856	0.0418643	0.0795058	0.00616897	0.333149
p	0.00015011	0.000325018	0.000853843	0.00628716	0.00554695	0.0301948	0.05951	0.0568655	0.170826	0.454279	0.112217	0.0875453	0.0153997
i	0.000314227	0.000235716	0.000366798	0.00214588	0.030961	0.00961684	0.00958309	0.0104135	0.0240667	0.852423	0.0189608	0.0242503	0.0166619
a	8.3487e-05	0.000104623	0.000628102	0.00242535	0.0214135	0.0160706	0.0222645	0.0238722	0.051324	0.659084	0.059886	0.0710266	0.071817
l	0.000196293	0.000672428	0.00185445	0.00334533	0.00165836	0.0124647	0.0321564	0.0220642	0.078014	0.106776	0.404185	0.205048	0.131565
á	0.0007118	0.00101292	0.00891991	0.0128988	0.00963489	0.0243414	0.0389298	0.0319179	0.0520712	0.148369	0.251004	0.0791176	0.341071
a	0.00377163	0.00275097	0.00166727	0.00721644	0.00273601	0.00772823	0.0229557	0.0206972	0.0451808	0.0353309	0.306845	0.380637	0.162483
b	0.00027189	0.000885962	0.00558665	0.00774557	0.00811149	0.00955637	0.00855857	0.00954618	0.011645	0.0531093	0.174462	0.636041	0.07448
v	7.6035e-05	0.000726593	0.00678173	0.00645583	0.00327766	0.0064176	0.00906772	0.0103178	0.00543648	0.0728983	0.048027	0.810185	0.0203322
u	8.98864e-05	0.000113438	0.00180934	0.00297403	0.00387626	0.00844219	0.0113747	0.0200146	0.0129613	0.0683876	0.0723523	0.762122	0.0354825
a	0.00014008	0.000135473	0.000242904	0.00435834	0.00120462	0.0104516	0.0441827	0.0131033	0.0126519	0.04787	0.13086	0.330272	0.404528
</S>	0.000436108	0.000353255	0.00307812	0.0182928	0.0036568	0.0234225	0.0337257	0.00935965	0.0251192	0.00888066	0.291407	0.385643	0.196626
