 	on	a	augmenté	la	paie	des	trvailleurs	</S>
á	0.891575	0.0893012	0.00834915	0.00421654	0.00235804	0.0040092	1.57765e-05	0.000175015
m	0.0223636	0.169192	0.165282	0.343697	0.29382	0.00495986	0.000139237	0.000546174
i	0.00925014	0.0836063	0.496767	0.12234	0.0916333	0.0104253	0.00512986	0.180848
n	0.0108066	0.0968956	0.75641	0.0523964	0.028222	0.00652926	0.0021372	0.0466027
y	0.00464544	0.0772322	0.751256	0.077724	0.0104722	0.00356039	0.0590016	0.0161084
á	0.00579699	0.119536	0.454131	0.37548	0.0172477	0.00477143	0.00231925	0.0207175
á	0.0534979	0.142337	0.189684	0.476432	0.0254327	0.0399681	0.0185315	0.0541165
s	0.038111	0.106462	0.140781	0.571182	0.0543276	0.0795076	0.00545426	0.00417518
á	0.00242171	0.0231534	0.0631411	0.652314	0.147891	0.0443814	0.0255471	0.0411501
a	0.0693086	0.0478746	0.0589084	0.504334	0.124253	0.0829066	0.105532	0.00688339
s	0.000374815	0.00305577	0.0232536	0.106275	0.841016	0.0139176	0.00800006	0.0041075
á	3.26271e-05	0.00256439	0.0155788	0.112392	0.821211	0.0144206	0.00967276	0.0241274
l	0.000338938	0.00270516	0.00997218	0.0861792	0.617478	0.0855751	0.0299881	0.167763
i	0.00457398	0.0144589	0.0513162	0.175003	0.427622	0.163256	0.0136624	0.150109
m	0.000666973	0.00606462	0.0208466	0.0915231	0.217414	0.407205	0.0883921	0.167887
b	0.00245984	0.00276603	0.0035701	0.0201019	0.0125661	0.338857	0.449783	0.169897
ώ	2.09521e-05	4.51849e-05	0.000429918	0.001044	0.00194076	0.00491507	0.982264	0.0093396
n	6.44311e-05	0.000514347	0.00415741	0.00878018	0.00640176	0.0162401	0.914336	0.049506
g	0.00043526	0.000611984	0.00579111	0.0191403	0.0782897	0.0954715	0.350984	0.449276
ω	0.00135764	0.00136506	0.00729698	0.0164314	0.00489164	0.0801705	0.692734	0.195752
</S>	0.00164309	0.0053102	0.00655532	0.0219821	0.015386	0.314112	0.0443265	0.590685
