 	la	tête	de	l'	abcès	est	partie	</S>
i	0.568557	0.255545	0.127042	0.018103	0.0167076	0.0137769	1.16421e-05	0.000256966
p	0.0619941	0.911911	0.00654339	0.00142383	0.0164425	0.000929806	0.000118895	0.000636666
i	0.0267753	0.824286	0.0401803	0.0120905	0.0881257	0.000729031	0.00465012	0.00316265
a	0.128204	0.751081	0.0546715	0.0137275	0.0362412	0.00240125	0.00240386	0.0112698
i	0.350909	0.0339399	0.471678	0.0850163	0.00727171	0.0183665	0.0013489	0.0314697
m	0.146748	0.0157332	0.291117	0.158578	0.031433	0.0403101	0.0311807	0.2849
i	0.0594004	0.018209	0.206109	0.344244	0.174239	0.0501163	0.0392842	0.108398
t	0.0665749	0.0148005	0.205964	0.263779	0.279388	0.0388554	0.0223327	0.108305
ú	0.0320094	0.005908	0.0868506	0.198068	0.424825	0.0370103	0.156617	0.0587105
n	0.00746341	0.00176274	0.0451652	0.14038	0.691047	0.0139914	0.0507083	0.0494828
g	0.0663561	0.00583427	0.133834	0.456746	0.234748	0.0221966	0.0205437	0.0597417
a	0.0541432	0.00663432	0.226432	0.514741	0.106575	0.0378222	0.0101624	0.0434893
</S>	0.012343	0.000733291	0.0925311	0.182403	0.0305548	0.604184	0.019757	0.057494
