 	cet	arbuste	que	tu	as	coupé	s'	appelle	okyekyeli	</S>
i	0.307036	0.539102	0.109021	0.0241071	0.00716017	0.00192733	0.0061061	0.00180013	0.00162409	0.00211614
b	0.11597	0.350056	0.0132994	0.00773838	0.00763897	0.198311	0.0762971	0.125574	0.0989767	0.00613848
v	0.0294558	0.417767	0.039657	0.0165112	0.00816116	0.314872	0.0499853	0.0540771	0.0443147	0.025198
ú	0.0768771	0.311371	0.0721612	0.0108527	0.0048739	0.190876	0.210991	0.0563398	0.0336365	0.0320214
a	0.274208	0.462168	0.180381	0.0175051	0.00608996	0.0144918	0.00901727	0.00808588	0.0148158	0.0132376
l	0.269364	0.0655582	0.293343	0.0648235	0.0330457	0.0704329	0.0637319	0.0124122	0.00353455	0.123753
í	0.110704	0.0143413	0.103703	0.0733	0.0672378	0.0789189	0.0527781	0.0175468	0.00783425	0.473636
í	0.0999186	0.0434611	0.424433	0.164759	0.0886597	0.0213689	0.0442664	0.0126974	0.00660797	0.0938275
k	0.0119258	0.00676232	0.0211188	0.0599392	0.0389785	0.477957	0.18504	0.0945803	0.00503483	0.0986633
w	0.00204256	0.00214544	0.00572554	0.00646823	0.00416813	0.746109	0.14162	0.0625274	0.0102948	0.0188993
e	0.00204332	0.00134645	0.0137188	0.0779192	0.0402795	0.583262	0.150302	0.0503295	0.0150735	0.065726
r	0.00654449	0.0151873	0.060091	0.0356195	0.0263359	0.411126	0.131706	0.0602286	0.116693	0.136469
í	0.0391757	0.017715	0.0458271	0.0580277	0.0575169	0.421346	0.131983	0.0636493	0.0559256	0.108834
n	0.0170133	0.0086955	0.116508	0.25274	0.303647	0.0272988	0.182923	0.0483604	0.0147014	0.0281122
ω	0.0163909	0.0101567	0.0316959	0.18111	0.405016	0.0543787	0.143886	0.0477144	0.0480872	0.0615646
d	0.00293809	0.0034083	0.0232276	0.0255985	0.0320932	0.0619209	0.44249	0.253785	0.0772349	0.0773029
í	0.00800548	0.00374369	0.00191966	0.000502697	0.00318104	0.0905956	0.0918555	0.279707	0.338197	0.182293
í	0.00519847	0.00401922	0.0105222	0.00468611	0.0162581	0.0324003	0.139691	0.235997	0.239128	0.3121
d	0.00287107	0.00252024	0.0139907	0.0086331	0.0370665	0.0186232	0.30798	0.203094	0.108598	0.296623
í	0.00312728	0.00146333	0.000808093	0.000169381	0.00143709	0.00657536	0.0443929	0.0840598	0.0768171	0.78115
o	0.011178	0.00205835	0.00595389	0.00281501	0.0313821	0.00766247	0.110742	0.11748	0.23676	0.473968
k	0.00101555	0.00320372	0.000650977	8.27163e-05	0.00046152	0.0228254	0.0384484	0.138372	0.646047	0.148893
y	0.000162613	0.000481212	0.000125216	1.87345e-05	4.26512e-05	0.0250176	0.0115388	0.0343053	0.883747	0.0445612
ε	0.00319321	0.00218693	0.00178296	0.000517622	0.00307077	0.0382175	0.0510348	0.121333	0.696073	0.0825904
k	0.000920496	0.000618672	0.000764617	0.000242027	0.00107961	0.0186848	0.0736942	0.129491	0.629547	0.144957
y	0.00299114	0.00214808	0.00343259	0.00129804	0.00437091	0.00575457	0.0471409	0.0468849	0.544207	0.341772
ε	0.000767126	0.000305981	0.000803762	0.000271018	0.0012322	0.00889062	0.0326445	0.0597872	0.784572	0.110726
l	0.00302303	0.00186825	0.00262267	0.000890036	0.00392031	0.00329162	0.0536555	0.0528455	0.112135	0.765749
i	0.00291222	0.00447222	0.0137438	0.0127336	0.0473446	0.0141662	0.126361	0.0677873	0.276552	0.433927
</S>	0.00306547	0.00235582	0.0112892	0.00569451	0.00825694	0.00423009	0.0394852	0.0328575	0.0266137	0.866152
