 	il	a	atteint	la	vieillesse	sans	jamais	être	malade	</S>
w	0.547936	0.238691	0.0552407	0.0342728	0.00855041	0.045498	0.0316653	0.0311642	0.00657971	0.00040179
a	0.55915	0.164865	0.0246915	0.0376878	0.00805872	0.108273	0.0271784	0.0518862	0.018027	0.000182322
á	0.107242	0.42998	0.352653	0.0761147	0.012539	0.00907147	0.00248608	0.00418601	0.00138194	0.00434618
p	0.0169544	0.202956	0.595854	0.144612	0.0157499	0.00730777	0.0023413	0.00502	0.00147182	0.0077334
f	0.0106264	0.0849961	0.470699	0.160646	0.139504	0.034691	0.0116511	0.00511279	0.00609347	0.0759799
e	0.00660816	0.109014	0.423763	0.166301	0.264946	0.0198529	0.00639744	0.00067665	0.000838253	0.00160364
e	0.0129934	0.0777199	0.175579	0.232283	0.393761	0.0657146	0.025739	0.00374767	0.00512986	0.00733273
d	0.0117137	0.0287205	0.0660695	0.296968	0.300627	0.185849	0.05927	0.0281684	0.0105169	0.0120973
u	4.7674e-05	0.00132583	0.0234046	0.105588	0.814694	0.0337546	0.00916349	0.00145597	8.61408e-05	0.0104795
n	0.000311436	0.0019189	0.0150377	0.0728321	0.351945	0.403703	0.0832729	0.045109	0.00176067	0.0241092
ú	0.000714939	0.00313581	0.0270511	0.0976424	0.12189	0.578532	0.0925603	0.061336	0.00118787	0.0159499
i	0.000513315	0.00124451	0.00555012	0.0323986	0.032855	0.533663	0.220973	0.140905	0.0182875	0.0136098
k	0.00204509	0.00482118	0.0099161	0.0336949	0.0843775	0.0979266	0.304581	0.120649	0.191309	0.150679
ω	5.50661e-05	0.000286435	0.000424543	0.00111727	0.00756462	0.017216	0.302775	0.0076903	0.644207	0.0186639
n	1.07169e-05	5.12249e-05	0.000151222	0.000490212	0.00107448	0.00432128	0.0707082	0.00267551	0.916416	0.00410094
í	0.000742792	0.00130302	0.0016703	0.00226392	0.0127354	0.0387461	0.437866	0.0253339	0.427327	0.0520116
k	0.00173508	0.00164686	0.00320383	0.0104205	0.00927981	0.115143	0.0581498	0.426009	0.0431482	0.331264
a	0.00282203	0.00429288	0.0050573	0.00938526	0.0118029	0.194995	0.225405	0.231671	0.182457	0.132111
á	0.000432171	0.000619718	0.000901849	0.00157767	0.012131	0.041628	0.12308	0.029875	0.327644	0.462111
</S>	0.00208651	0.00195746	0.00362977	0.010083	0.00425592	0.0142427	0.0147259	0.138411	0.021124	0.789484
