 	il	ne	faut	pas	lui	servir	le	repas	dans	une	même	assiette	que	les	autres	car	il	prend	plus	que	sa	part	de	nourriture	</S>
o	0.390859	0.222169	0.0937574	0.0774322	0.021531	0.0163731	0.0408059	0.0266396	0.0333653	0.0178558	0.0203234	0.00595877	0.0130941	0.0073344	0.00189078	0.00142952	0.00249262	0.000155708	0.00120968	0.000835262	0.000864222	0.0010854	0.00227244	0.00020893	5.59313e-05
k	0.137246	0.234072	0.0892781	0.0434946	0.0192123	0.0290185	0.0240276	0.00875459	0.0265325	0.0783127	0.0319573	0.057511	0.0349694	0.032458	0.00686396	0.00798016	0.0138335	0.0191151	0.0225112	0.0106866	0.0122944	0.0235244	0.0156476	0.00327075	0.0174279
a	0.0124891	0.0335507	0.0272558	0.0500068	0.0136432	0.00588396	0.0483964	0.00634373	0.0292461	0.198593	0.0421492	0.0101932	0.087646	0.0730431	0.0347147	0.0439207	0.0152478	0.140988	0.0478761	0.0210032	0.015899	0.00956647	0.0115631	0.0138307	0.00694915
b	0.023369	0.107154	0.0334867	0.0657151	0.0264352	0.0115363	0.0749371	0.0254588	0.0432764	0.064266	0.0291282	0.0183498	0.0628426	0.0456768	0.0342356	0.0243136	0.0158136	0.0817002	0.0423648	0.0289016	0.0229419	0.0220454	0.0233742	0.0250282	0.0476484
h	0.176133	0.139635	0.173362	0.118788	0.0417146	0.02469	0.0602723	0.0287944	0.0405888	0.0188486	0.0177734	0.0100914	0.0297312	0.0107176	0.0103987	0.00685304	0.00743771	0.00671231	0.0149265	0.0113555	0.012011	0.0102685	0.00869555	0.00893012	0.0112711
á	0.192526	0.0800495	0.0284108	0.0349828	0.0330247	0.0285512	0.0458555	0.0452392	0.0303386	0.0240984	0.0184756	0.0134653	0.0406352	0.0226199	0.00934601	0.0220896	0.0238265	0.0160694	0.0368951	0.0356098	0.0319923	0.0221144	0.0184319	0.0109892	0.134363
w	0.204803	0.13162	0.0982926	0.16388	0.101592	0.0347177	0.043457	0.058401	0.032377	0.0126783	0.0154935	0.00671298	0.0111994	0.00831961	0.00994638	0.00986612	0.0118856	0.00343839	0.00335314	0.00375084	0.00268664	0.003239	0.00163378	0.00180274	0.0248528
á	0.0655186	0.0625561	0.103096	0.0540389	0.0266119	0.0402337	0.0309056	0.0323094	0.0213636	0.0351169	0.0230672	0.0144728	0.0340332	0.0477166	0.011819	0.052598	0.0784543	0.00784639	0.0386103	0.0474825	0.0446271	0.0224222	0.0325409	0.0187798	0.0537788
i	0.0523233	0.051951	0.187574	0.0710522	0.0543456	0.0669932	0.0374773	0.0379725	0.0241443	0.0165523	0.0174869	0.0150492	0.0291932	0.0461907	0.026814	0.0306778	0.0473175	0.00581573	0.0228251	0.0256112	0.0198627	0.0255404	0.0112268	0.0140781	0.0619248
d	0.010169	0.0384629	0.107661	0.194918	0.107535	0.0899874	0.140914	0.0487601	0.0413559	0.0395501	0.0212686	0.0115756	0.0220716	0.0109378	0.0157373	0.00946316	0.00885178	0.0374965	0.00754805	0.00436113	0.00244842	0.00256432	0.00140862	0.00298453	0.02197
z	0.0175286	0.0235963	0.0145434	0.135546	0.102214	0.0282324	0.138977	0.0705559	0.0669038	0.144004	0.0628953	0.0291933	0.030696	0.0253607	0.0144867	0.0119327	0.00470128	0.0252552	0.00483122	0.00210799	0.00202346	0.000906052	0.000665306	0.000829027	0.0420142
á	0.0340127	0.0311107	0.033289	0.130404	0.0691402	0.0372664	0.129051	0.124079	0.0454648	0.172931	0.0662486	0.0265945	0.0161203	0.0201877	0.00715822	0.00878958	0.00501954	0.0151561	0.00418261	0.00162485	0.00170388	0.000735248	0.000420746	0.000243125	0.0190671
a	0.00602458	0.0169571	0.0180322	0.138464	0.174454	0.045919	0.141755	0.113202	0.0500351	0.0414478	0.0384726	0.0083567	0.0196361	0.022637	0.0164918	0.0330372	0.0238233	0.00627221	0.0127249	0.0101411	0.00986631	0.00810005	0.00976003	0.00571464	0.0286757
l	0.00465808	0.0111564	0.0157372	0.0698893	0.120434	0.0780295	0.201455	0.164905	0.139059	0.068482	0.0423477	0.014275	0.0171623	0.00813123	0.00464153	0.00907976	0.0067433	0.00262182	0.00388095	0.00334362	0.00184385	0.00195768	0.00195025	0.00105093	0.00716417
á	0.00879539	0.0160223	0.0200085	0.0477887	0.101548	0.075871	0.0731304	0.0584522	0.0839866	0.12785	0.0767422	0.0574217	0.045912	0.0294278	0.00752703	0.0147005	0.0152512	0.00929117	0.0125896	0.0103246	0.00841471	0.00914003	0.00587823	0.00169629	0.0822305
b	0.0034838	0.00748636	0.045834	0.0378191	0.100977	0.160767	0.104598	0.125006	0.077779	0.10117	0.0505847	0.0269215	0.0305245	0.0266945	0.0110342	0.0107125	0.0104832	0.00373456	0.0104903	0.00684225	0.00851295	0.014739	0.00652107	0.00485427	0.0124296
i	0.00941167	0.0340159	0.117466	0.0588175	0.128666	0.0879443	0.10975	0.19502	0.081163	0.0344923	0.0310275	0.0120626	0.0375742	0.011896	0.0304451	0.00115472	0.00138536	0.00267725	0.00277611	0.00143837	0.00130615	0.00210444	0.000310744	0.00655232	0.000542806
a	0.00109364	0.00533891	0.0406662	0.0383182	0.0648418	0.0850422	0.172282	0.179453	0.108395	0.0366637	0.0314955	0.00244784	0.0548563	0.0158459	0.0517979	0.00360771	0.00657261	0.00240527	0.0109908	0.0123221	0.0105402	0.0229111	0.00421608	0.0234677	0.0144283
s	0.00122816	0.00345151	0.00471128	0.0164279	0.0460721	0.0410591	0.0743546	0.121845	0.283702	0.130598	0.144853	0.039635	0.0349232	0.00942858	0.00608946	0.00822116	0.00574156	0.00105947	0.00332914	0.00353941	0.00233233	0.00406754	0.00306026	0.00164939	0.00862023
a	0.00193442	0.00358156	0.00133419	0.00519822	0.0179294	0.0246424	0.0217131	0.0541116	0.0901619	0.116717	0.107725	0.492589	0.0285212	0.0158291	0.00304449	0.00301839	0.00181348	0.000803315	0.000785812	0.000495282	0.000507079	0.00105964	0.000498293	0.000248984	0.00573738
á	0.00104248	0.00243766	0.00305727	0.0116181	0.0243601	0.0174998	0.039384	0.0528391	0.14233	0.299023	0.211754	0.0869611	0.0555665	0.0201883	0.00736312	0.007327	0.00216105	0.00243526	0.00195799	0.000910346	0.00104246	0.00156609	0.00109919	0.000630399	0.00544554
n	0.0018329	0.0027825	0.00267102	0.00774849	0.01162	0.00955883	0.0191803	0.0358676	0.127818	0.142413	0.156088	0.259441	0.127145	0.0281564	0.0130404	0.0156834	0.00654828	0.0103192	0.00428869	0.00255468	0.00208598	0.00201262	0.00218567	0.00131793	0.00764052
i	0.000372045	0.0011532	0.0020615	0.000861381	0.00299082	0.0315537	0.00180716	0.00433974	0.00990729	0.0178993	0.0226289	0.874111	0.0169287	0.00536968	0.00110442	0.000561432	0.000517395	0.000166775	0.00060293	0.000425046	0.000492722	0.00199233	0.00036306	0.000128113	0.00166095
i	9.20725e-05	0.000752009	0.00192654	0.00455464	0.0107702	0.0192396	0.0278587	0.016806	0.110942	0.177896	0.184671	0.183762	0.166987	0.0380626	0.0203059	0.0110559	0.00403918	0.00595	0.00247316	0.00117698	0.000809788	0.00244839	0.00106169	0.0001832	0.00617468
p	0.00582882	0.00662654	0.00204472	0.007622	0.0100378	0.00458314	0.0150247	0.0165841	0.0854776	0.201568	0.127902	0.0475352	0.220209	0.0569829	0.0326219	0.0646441	0.0154285	0.0399129	0.00865702	0.00578919	0.00324723	0.0015053	0.00302098	0.00204882	0.0150972
ω	0.000659535	0.0027732	0.00205239	0.0077516	0.007612	0.00265532	0.0188829	0.0151154	0.0477961	0.184587	0.072928	0.00994805	0.221317	0.044042	0.0566624	0.0791176	0.0171536	0.0980854	0.0420089	0.0198954	0.0116894	0.00273703	0.00491655	0.00794409	0.0216689
ώ	7.49945e-05	0.000407927	0.00216863	0.00706835	0.00899461	0.0117837	0.0456946	0.0172453	0.0532574	0.166522	0.0687942	0.0159804	0.193628	0.055226	0.0397585	0.0649111	0.0149986	0.0555912	0.0445391	0.0250155	0.0207185	0.0126971	0.0129921	0.00653192	0.0553997
k	0.000718764	0.0014714	0.00106487	0.0044924	0.00959675	0.00590116	0.0115836	0.0322942	0.0802183	0.0561116	0.120802	0.188416	0.194328	0.107837	0.0379797	0.0889784	0.0330714	0.00200849	0.00363707	0.00414911	0.00289663	0.00356892	0.00376147	0.00199233	0.00311879
a	0.00124051	0.00459766	0.00614191	0.00648865	0.00784103	0.00350293	0.00831038	0.0120741	0.0249531	0.0561274	0.0480645	0.0412337	0.374992	0.0583318	0.0714077	0.0478608	0.0166844	0.112094	0.0436154	0.0121901	0.00912083	0.00372104	0.00221139	0.00959154	0.0176035
á	9.77739e-05	0.000355264	0.000874493	0.00226827	0.0033443	0.00319515	0.0174396	0.023271	0.0393777	0.0385876	0.0396371	0.0424817	0.221294	0.0788763	0.247417	0.0627039	0.0224922	0.0584957	0.0248744	0.0136526	0.00847049	0.00954764	0.00378765	0.00893475	0.028523
t	0.000306028	0.000585759	0.00117115	0.00312041	0.00465298	0.00251109	0.00574636	0.00595632	0.0269329	0.0191102	0.0338893	0.098147	0.165873	0.187561	0.0992182	0.201017	0.0842668	0.0118492	0.00871628	0.00899255	0.00555157	0.00442553	0.00556726	0.00284157	0.0119901
s	0.0011838	0.00201043	0.00323638	0.00524496	0.00765231	0.00466541	0.00794784	0.0075836	0.0179047	0.0369149	0.0230423	0.0121736	0.128911	0.0643769	0.0695731	0.227792	0.0947794	0.0536559	0.0565068	0.0446741	0.0298653	0.00883388	0.0187201	0.0302552	0.0424958
í	9.65128e-05	0.000337657	0.000830008	0.00169476	0.00375073	0.00199971	0.00542774	0.00570393	0.018715	0.0263357	0.0297851	0.0404146	0.207891	0.114381	0.065056	0.1111	0.0613767	0.0221517	0.064893	0.0385798	0.0440342	0.0319297	0.0190406	0.0281046	0.0563711
n	0.000660094	0.00207939	0.00347263	0.00209703	0.00612692	0.00737351	0.00457049	0.00917774	0.020089	0.014049	0.027685	0.412311	0.150359	0.0937767	0.0926454	0.0505467	0.0257788	0.0121868	0.0128938	0.0072431	0.00424998	0.00776411	0.00252361	0.00378929	0.0265517
