 	c'	est	une	femme	d'	une	grande	beauté	</S>
a	0.69071	0.152953	0.0637836	0.00386323	0.0326198	0.0265455	0.0249527	0.00261027	0.00196191
d	0.230065	0.681242	0.0307315	0.0276457	0.00569269	0.0158626	0.0029798	0.0049251	0.000855111
í	0.0992561	0.667721	0.154766	0.048832	0.00628693	0.00936863	0.00113444	0.00173354	0.010901
o	0.0874166	0.299147	0.340196	0.101011	0.0266586	0.0220571	0.0199163	0.017414	0.0861826
y	0.0270149	0.205398	0.107412	0.347361	0.0769756	0.0999535	0.0301942	0.0663813	0.0393098
ú	0.00467163	0.0602618	0.0549895	0.762924	0.00978541	0.0294165	0.00553465	0.00718204	0.0652348
l	0.0376221	0.0551521	0.116105	0.21529	0.0304972	0.0692869	0.013155	0.0153631	0.447529
u	0.0299534	0.108803	0.499703	0.00980215	0.0850445	0.171434	0.0301983	0.0127296	0.0523318
o	0.0546849	0.128561	0.276588	0.0426322	0.162709	0.106128	0.159488	0.0182648	0.0509459
p	0.0141104	0.0775352	0.122922	0.0698914	0.115324	0.323746	0.138175	0.112662	0.0256351
f	0.000728869	0.0217874	0.0129266	0.000717694	0.114088	0.510378	0.0486356	0.179154	0.111583
u	0.00453806	0.0316073	0.089359	0.0015877	0.105706	0.336968	0.0358745	0.0813238	0.313036
a	0.00423949	0.00812008	0.215515	0.0061877	0.141167	0.280674	0.121126	0.114072	0.108899
m	0.00549143	0.00761975	0.0647199	0.000986164	0.0644191	0.0874924	0.532593	0.13355	0.103129
á	0.0318954	0.0175977	0.150685	0.0133546	0.0959933	0.0515934	0.269422	0.122616	0.246843
m	0.0123349	0.00861787	0.164458	0.0053599	0.0178925	0.0302192	0.21492	0.464484	0.0817139
b	0.00530012	0.00767727	0.0199483	0.0146847	0.0382068	0.0234294	0.273506	0.264087	0.353161
v	0.000305755	0.000877966	0.00268763	0.0010156	0.0114987	0.0148323	0.0459916	0.835902	0.0868882
a	0.000871183	0.00389919	0.00443264	0.00351001	0.0282574	0.0330229	0.0504978	0.543283	0.332226
m	0.00074091	0.00202317	0.0217205	0.000123497	0.0223041	0.0386301	0.112091	0.223497	0.57887
b	0.00467656	0.0051684	0.0216097	0.00092769	0.0415796	0.0378798	0.187394	0.310788	0.389977
v	0.00397711	0.00755139	0.0166181	0.000490046	0.0431051	0.0570189	0.047996	0.218153	0.605091
a	0.00229162	0.0047389	0.0114752	0.00141461	0.0146637	0.0297717	0.0179013	0.112462	0.805281
</S>	0.000385939	0.000876217	0.00243975	7.02951e-05	0.0071501	0.0173798	0.0199105	0.0645124	0.887275
