 	la	mère	cajole	son	enfant	pour	qu'	il	se	lave	</S>
n	0.9331	0.0149629	0.0041848	0.0183854	0.0101048	0.00620275	0.00860241	0.00219306	0.00179719	0.000281442	0.000185646
g	0.315629	0.680627	0.000123674	0.000814605	0.00114679	0.000482577	0.00037551	0.00060304	0.000167034	2.71983e-05	3.4851e-06
ó	0.128586	0.868206	0.000386128	0.000929687	0.00110505	0.000228881	0.000163259	0.000316124	6.92101e-05	7.17729e-06	3.1743e-06
o	0.169013	0.700189	0.0240739	0.050713	0.0312846	0.0054446	0.00216162	0.00691923	0.00332353	0.000229292	0.0066479
l	0.0911738	0.0512912	0.246161	0.120643	0.0342589	0.0938723	0.0821674	0.11141	0.084184	0.00663156	0.0782062
á	0.0510691	0.0306933	0.0825337	0.0226032	0.0132893	0.076643	0.0660112	0.0905976	0.0741791	0.00815305	0.484227
a	0.2605	0.00326152	0.062544	0.396013	0.124174	0.0477631	0.0317257	0.0294709	0.0218649	0.00154608	0.0211368
k	0.001777	0.00300902	0.955544	0.0214565	0.0033165	0.00468704	0.00143868	0.00155096	0.00204704	0.00283163	0.00234163
w	0.000427833	0.000263447	0.964908	0.0135275	0.000599402	0.00952959	0.0030011	0.00153311	0.00104768	0.000707679	0.00445434
ω	0.0019832	0.000125963	0.804507	0.0552249	0.0147602	0.0588851	0.0367013	0.0105297	0.00427039	0.00202431	0.0109878
s	0.000330425	4.5262e-05	0.230476	0.41276	0.059051	0.182865	0.0572587	0.0286153	0.0149514	0.00121104	0.012436
ώ	0.00219953	4.73634e-05	0.331747	0.233243	0.0101284	0.210653	0.155575	0.023979	0.0091622	0.00140482	0.021861
m	0.000400833	1.70024e-05	0.0212689	0.432266	0.234417	0.160005	0.0806274	0.0521658	0.0111733	0.00127389	0.00638489
w	0.000101416	2.66393e-07	0.0011156	0.0370174	0.721807	0.088517	0.0280141	0.0828801	0.018043	0.000114657	0.0223897
á	7.36255e-05	2.40643e-07	0.000176814	0.00291838	0.987024	0.00399446	0.00159286	0.00359336	9.59124e-05	5.43076e-05	0.000476377
n	0.000174734	8.13263e-07	0.000143168	0.00573319	0.981187	0.00613391	0.0022671	0.0031189	0.000189828	1.40346e-05	0.00103698
a	0.000415959	7.94537e-06	0.00154228	0.0301454	0.879699	0.0458673	0.0141246	0.0162256	0.00119014	3.49506e-05	0.0107465
m	0.00384706	0.000282533	0.0407915	0.08565	0.0232377	0.226465	0.294156	0.202116	0.106179	0.00723796	0.010038
í	0.000650927	4.16542e-06	0.00180034	0.0357692	0.063096	0.183075	0.129215	0.215955	0.152446	0.00372482	0.214263
p	0.000236783	9.70099e-05	0.00584172	0.0149787	0.0119616	0.142588	0.167184	0.240184	0.190268	0.193311	0.033348
f	0.000214876	4.23272e-05	0.00296246	0.0019419	0.000452518	0.0294671	0.0932594	0.0379641	0.0403665	0.768917	0.0244117
ú	0.000289075	4.78251e-05	0.00659395	0.00228722	0.000455168	0.0267572	0.0681159	0.0187368	0.014564	0.838048	0.0241053
b	0.000263641	1.06788e-05	0.00328588	0.00571865	0.000665338	0.0110486	0.0192176	0.0101238	0.0179504	0.878216	0.0534992
h	0.000931384	8.02229e-06	0.0110643	0.0226128	0.00480146	0.093082	0.288822	0.0465887	0.0612297	0.237978	0.232883
a	0.0015294	2.85488e-05	0.0121564	0.0408057	0.015552	0.169049	0.187219	0.112573	0.0701158	0.168678	0.222293
</S>	0.00159997	5.79409e-05	0.00772869	0.0123209	0.00248442	0.0285328	0.0579601	0.0633752	0.215063	0.142484	0.468393
