 	je	demande	pardon	à	dieu	pour	toutes	mes	transgressions	</S>
n	0.965893	0.0278454	0.000191365	0.00154676	0.00130108	0.00113372	0.000414934	0.00142128	0.000238405	1.35509e-05
g	0.937895	0.0512733	4.23044e-05	0.00138995	0.00780345	0.000239865	5.08417e-05	0.00122668	7.5453e-05	2.76328e-06
á	0.765902	0.189656	0.0045049	0.00039575	0.037558	0.000363583	0.000219708	0.000835326	0.000542437	2.18555e-05
l	0.0988567	0.287224	0.0211476	0.035063	0.00481474	0.0390506	0.0260915	0.190976	0.0492573	0.247519
í	0.339706	0.349915	0.0992276	0.0224819	0.00787071	0.029476	0.0214952	0.0383154	0.0202765	0.0712365
i	0.0230194	0.029323	0.469428	0.0288747	0.0491912	0.073178	0.0538269	0.0663053	0.0719651	0.134888
l	0.00108193	0.0209469	0.91789	0.0057537	0.00023785	0.00376643	0.0155269	0.00262587	0.00556176	0.0266085
á	0.00019892	0.00288138	0.981296	0.000494105	7.47923e-05	0.000797686	0.00583718	0.000166136	0.003729	0.00452469
n	0.0144458	0.0517519	0.753114	0.0271787	0.0352128	0.0132254	0.0321378	0.0313588	0.0105216	0.0310528
g	0.0760066	0.0993396	0.145356	0.319572	0.183351	0.0596299	0.0135696	0.0861095	0.00326775	0.0137976
á	0.100219	0.123779	0.288434	0.0781	0.38065	0.00590103	0.000382578	0.0112083	0.00310554	0.00822063
e	0.00173229	0.0128621	0.00728383	0.593558	0.163575	0.135701	0.025811	0.0431295	0.00517342	0.0111729
t	0.000434876	0.00164103	0.125945	0.124693	0.494723	0.0982807	0.0753745	0.00859566	0.0463146	0.0239976
ú	0.000347189	0.000332071	0.237746	0.0228535	0.156196	0.0876274	0.111151	0.00441536	0.281228	0.098103
l	0.000847751	0.00114778	0.252637	0.172474	0.245071	0.0442948	0.0348605	0.0182444	0.0784775	0.151946
á	0.000385355	0.000923131	0.0921076	0.260351	0.329464	0.116911	0.0535059	0.0358	0.0292994	0.0812524
n	0.000771544	0.00598014	0.00594041	0.272601	0.112284	0.462527	0.0803668	0.0352838	0.00967286	0.0145724
z	0.000874671	0.000505135	0.00219611	0.0150224	0.947141	0.0214877	0.0010934	0.00493747	0.00156936	0.00517235
a	0.00409447	0.00142679	0.00111567	0.0249659	0.92357	0.0115135	0.00206623	0.0209315	0.00457605	0.00574009
m	7.60433e-05	0.00166297	0.00717377	0.0576121	0.0934117	0.297513	0.191168	0.0945909	0.0979368	0.158854
b	0.00166315	0.000322846	0.00059242	0.0527679	0.0145395	0.496599	0.115969	0.0331995	0.080348	0.203998
é	0.00108453	0.000190692	0.00401184	0.0816263	0.265799	0.295726	0.0649377	0.0616518	0.121473	0.103499
m	7.57394e-05	0.000355252	0.00102535	0.0290543	0.0101811	0.285323	0.46058	0.0408406	0.059599	0.112966
o	3.71472e-05	0.000148315	0.000224924	0.0435928	0.00171791	0.158485	0.176924	0.129037	0.339313	0.15052
y	7.07283e-06	0.000100611	0.000949923	0.00592386	0.00849812	0.17781	0.477767	0.110826	0.117388	0.100729
á	5.09061e-05	0.00073678	0.00380852	0.0392771	0.0154336	0.0822111	0.156302	0.145271	0.489938	0.0669708
m	0.000865702	0.00336506	0.000548262	0.039579	0.00567431	0.0954974	0.181791	0.27035	0.0900333	0.312296
b	5.3848e-06	1.91671e-05	0.00022073	0.00505055	0.000207429	0.0266553	0.156333	0.0823395	0.574025	0.155144
é	0.000113592	1.08191e-05	0.00024897	0.00596261	0.00294565	0.0800982	0.0520525	0.0580431	0.69595	0.104574
m	1.26374e-05	6.60527e-05	0.000467434	0.00356806	0.000717592	0.0579322	0.227591	0.0421386	0.238816	0.42869
b	2.37101e-05	2.58974e-05	5.029e-05	0.00775651	0.000291204	0.0256062	0.0289852	0.0658031	0.8165	0.0549576
é	5.125e-05	3.9187e-05	0.000404906	0.0059406	0.000693693	0.0240216	0.0197701	0.038024	0.834142	0.0769126
y	6.56116e-06	6.64907e-05	0.00077902	0.00251394	0.000866906	0.0352296	0.105301	0.0471487	0.32595	0.482138
á	0.000807572	0.0011894	0.00268308	0.0185265	0.00740814	0.0455297	0.0528514	0.233522	0.55136	0.0861221
á	0.00110971	0.00113231	0.000326924	0.018387	0.00192114	0.040423	0.053529	0.623995	0.0512268	0.207949
k	0.000300516	0.00148443	0.00837304	0.0115929	0.00172098	0.0423959	0.192708	0.172188	0.0764602	0.492776
y	2.25661e-05	5.55207e-05	0.00052425	0.00197101	0.000222675	0.0224794	0.459209	0.0685282	0.292964	0.154024
a	3.5117e-05	3.80225e-05	0.00116267	0.00225938	0.000859224	0.017404	0.328944	0.0590077	0.415746	0.174544
n	0.000685323	0.000948643	0.000443491	0.00670947	0.00116452	0.0194456	0.127271	0.107143	0.114538	0.621652
g	0.000366319	0.00016522	0.00351678	0.00507693	0.0125279	0.0181267	0.02584	0.242125	0.198607	0.493648
á	0.000232635	0.000423345	0.00181678	0.0167321	0.0268077	0.0406585	0.0164368	0.393578	0.240806	0.262507
</S>	6.96998e-05	0.000247024	0.000144393	0.0116922	0.00218196	0.0416123	0.0538391	0.56275	0.0869419	0.240521
