 	je	suis	venu	ici	pour	m'	entretenir	avec	toi	concernant	ce	qui	s'	était	passé	entre	nos	deus	femmes	</S>
n	0.653225	0.251671	0.0353051	0.0158607	0.0163105	0.00192514	0.000200528	0.000911949	0.00209947	0.0044926	0.00294313	0.00186016	0.00252917	0.00077722	0.00105608	0.00366294	0.00175667	0.0033231	2.3083e-05	6.70151e-05
g	0.935776	0.0512729	0.00538225	0.000345408	0.000185294	0.00199601	7.98035e-06	7.88454e-05	0.00176363	0.00144608	0.000255548	0.00010075	0.000166691	7.435e-05	0.000169588	0.000419873	0.000296386	0.000247486	1.15977e-05	3.12425e-06
á	0.955254	0.0203134	0.0217838	0.000437684	6.48695e-05	0.000416078	4.19285e-05	2.53383e-05	0.000600635	0.000240555	5.71814e-05	8.09234e-05	0.000151852	0.000146766	0.000124278	0.000177112	3.18616e-05	3.25746e-05	1.85604e-05	9.21021e-07
í	0.0562906	0.392311	0.227562	0.0341893	0.00522456	0.00956498	0.00905823	0.00745583	0.0193501	0.033476	0.00784219	0.00611676	0.013581	0.0106378	0.0118785	0.0113997	0.0125255	0.0303775	0.0109947	0.0901642
y	0.00330107	0.03324	0.806606	0.114995	0.00134321	0.00100413	0.00346745	0.000779024	0.000490787	0.000759128	0.00121104	0.00212536	0.00376252	0.0108746	0.00617068	0.00102114	0.000658461	0.000555249	0.00172696	0.00590753
ε	0.00796195	0.100422	0.705093	0.0706967	0.00202447	0.00282719	0.00371817	0.00344262	0.00245302	0.00149828	0.00435866	0.00624686	0.00661684	0.028291	0.0155757	0.00702193	0.00615796	0.000435156	0.00891945	0.0162389
i	0.0107423	0.231418	0.153639	0.113884	0.00614888	0.00486158	0.00400233	0.0157373	0.02986	0.0287921	0.0271141	0.0239067	0.0408794	0.10388	0.0434903	0.0327132	0.0468206	0.0107748	0.00529326	0.0660415
b	0.00951231	0.114396	0.0862481	0.30021	0.16417	0.0810563	0.00573691	0.0101571	0.0100608	0.0174798	0.0134879	0.00849423	0.0133421	0.00724661	0.0101957	0.01846	0.0323379	0.0428019	0.0121108	0.042495
h	0.00545835	0.0603958	0.0587928	0.482602	0.126108	0.0677724	0.0200069	0.00240099	0.00174435	0.00757874	0.0177847	0.0142162	0.00994725	0.00256645	0.003647	0.0221575	0.0155581	0.0650847	0.0137695	0.00240793
á	0.00176687	0.0422718	0.00665005	0.477997	0.153072	0.0233484	0.0146335	0.00666187	0.00234752	0.0155614	0.0208916	0.026864	0.0198182	0.00665143	0.00905285	0.0210388	0.0170325	0.0981478	0.0068508	0.0293418
