 	ma	pirogue	est	large	regarde-la	</S>
b	0.477753	0.476256	0.031458	0.0060748	0.00684668	0.0016111
v	0.209853	0.554599	0.0326907	0.00918673	0.190333	0.00333774
á	0.0170668	0.938582	0.0041457	0.00108178	0.0379652	0.00115805
r	0.0400658	0.750343	0.00810161	0.00134009	0.121876	0.0782733
e	0.539027	0.236993	0.0138778	0.00434744	0.0189444	0.186811
á	0.273981	0.0929392	0.421958	0.0743802	0.0171112	0.11963
n	0.232278	0.109069	0.342833	0.184048	0.01471	0.117061
g	0.730556	0.122832	0.0345009	0.0370556	0.0112957	0.0637602
á	0.607825	0.182622	0.0800465	0.0800332	0.0260785	0.0233946
ó	0.0389801	0.0413646	0.54779	0.175216	0.0163876	0.180263
d	0.00287803	0.0253771	0.435404	0.466601	0.0119109	0.0578294
í	0.00536662	0.0127466	0.168612	0.222425	0.00757716	0.583273
o	0.0673882	0.0420658	0.185973	0.300086	0.0846243	0.319863
n	0.00429847	0.0200881	0.183038	0.375906	0.285602	0.131068
έ	0.0119314	0.0741817	0.153901	0.318521	0.158261	0.283204
m	0.00446383	0.0111685	0.168272	0.466936	0.0959724	0.253188
ó	0.00602113	0.00498336	0.19384	0.287601	0.135897	0.371657
t	0.0204192	0.00983309	0.0725067	0.145128	0.218881	0.533232
á	0.0167612	0.00714331	0.10661	0.282464	0.251208	0.335814
á	0.012442	0.00431995	0.0202744	0.020473	0.250671	0.69182
b	0.0158043	0.012179	0.0312886	0.0840656	0.598273	0.258389
v	0.00607802	0.0133895	0.0396575	0.0448082	0.798414	0.0976532
ú	0.00615462	0.00928047	0.00772633	0.00976858	0.904077	0.0629931
a	0.00244483	0.00284741	0.0499789	0.345326	0.190114	0.409288
</S>	0.0126957	0.00446231	0.0564341	0.162571	0.250886	0.512951
