 	j'	ai	entendu	l'	écho	d'	un	fusil	</S>
n	0.878013	0.103916	0.00806914	0.00515424	0.00242444	0.00141208	0.000851053	8.59473e-05	7.45529e-05
g	0.865053	0.133114	0.000725592	0.000558016	1.29961e-05	0.000204402	0.000314953	5.16797e-06	1.19431e-05
á	0.854349	0.142946	0.00115306	0.000309408	0.000170707	0.000332817	0.000611285	6.88668e-05	5.94542e-05
í	0.243456	0.527979	0.0359013	0.0588519	0.00432498	0.0239686	0.0241524	0.00537963	0.0759857
b	0.00895497	0.0893792	0.868986	0.0174714	0.00686879	0.00289972	0.00104066	0.000851404	0.00354767
ó	0.0022712	0.0608509	0.883542	0.0284487	0.0174971	0.00256226	0.000972458	0.0010585	0.00279676
n	0.00501826	0.203185	0.478492	0.124122	0.121558	0.0341534	0.0136302	0.0075833	0.012258
d	0.0164108	0.0462642	0.139905	0.305068	0.347697	0.0641126	0.00856386	0.00635838	0.065621
i	0.00173645	0.0381704	0.0683971	0.272858	0.410987	0.0942794	0.0192505	0.0162303	0.0780907
e	0.00565472	0.0304958	0.00164618	0.743908	0.0305186	0.111355	0.0637672	0.00295769	0.00969648
k	0.0016716	0.00376123	0.00402718	0.191444	0.516949	0.171576	0.0581816	0.0269674	0.0254219
í	1.21424e-05	0.000330079	0.000561022	0.0434332	0.9024	0.0390723	0.00316598	0.00878855	0.0022363
n	0.00102312	0.00394527	0.00544469	0.0562804	0.691123	0.150874	0.0149584	0.0177911	0.0585606
d	8.15919e-05	0.00111005	0.00247946	0.0663584	0.737698	0.125763	0.0334742	0.00667588	0.02636
i	6.90872e-05	0.00231139	0.00407609	0.0349536	0.427519	0.263649	0.0743808	0.0290586	0.163982
y	0.000104194	0.00114629	0.000333861	0.0430133	0.0528742	0.429967	0.324944	0.0456981	0.10192
ó	0.00101425	0.00725926	0.000274512	0.0187859	0.018767	0.0469653	0.244018	0.589871	0.0730442
t	0.00132219	0.00186699	0.000312327	0.00436541	0.00754982	0.0142845	0.0919331	0.858359	0.0200066
á	6.67302e-05	0.000188243	0.00016237	0.00117007	0.0224578	0.00689034	0.0169839	0.942625	0.00945568
</S>	0.000203592	0.000800136	0.000662703	0.00191654	0.00969589	0.00811905	0.0170598	0.919456	0.042086
