 	si	tu	accomplis	des	actes	justes	devant	dieu	tu	auras	une	longue	vie	</S>
w	0.903816	0.0898226	0.00123199	0.00296393	0.000112656	0.000105574	0.000631119	0.000409626	0.000299833	8.92842e-05	0.00032478	0.000174493	1.59249e-05	2.31605e-06
á	0.768207	0.221565	0.000579508	0.00404535	0.000167391	7.5742e-05	0.0023863	0.000393606	0.00103865	0.000423046	0.000445808	0.000347391	0.000301617	2.34613e-05
á	0.547665	0.148086	0.0866954	0.0177152	0.031517	0.00741508	0.0079303	0.0162948	0.0438065	0.0213365	0.0201912	0.0187353	0.0157953	0.0168164
n	0.321356	0.499005	0.0248699	0.0139235	0.0105658	0.00290118	0.0171086	0.0112674	0.00938806	0.00426145	0.00813424	0.0361376	0.00711834	0.0339631
ω	0.0833743	0.830803	0.000369475	0.00202886	0.000377173	0.000110865	0.004505	0.0299393	0.0244409	0.00305719	0.00355511	0.00744306	0.0010739	0.00892167
l	0.05392	0.801102	0.016153	0.0169012	0.00627946	0.000281872	0.0130073	0.0143033	0.0228356	0.00618714	0.00727388	0.0176327	0.00509829	0.0190244
ó	0.0539563	0.176976	0.187359	0.0578758	0.0407014	0.0219066	0.0235631	0.0190697	0.0399168	0.0602616	0.0598995	0.0432705	0.0344449	0.180799
o	0.0609202	0.11055	0.358235	0.0689151	0.046438	0.016942	0.0179424	0.0199085	0.0530983	0.0558251	0.0542878	0.0430001	0.0251814	0.0687563
k	0.00134644	0.00736854	0.944529	0.0146209	0.016959	0.00294649	0.00105765	0.000301898	0.000187498	0.000970011	0.000518018	0.000521407	0.00274876	0.00592478
y	0.000334128	0.000971387	0.96219	0.0177997	0.00792954	0.00269281	0.00112005	0.000388763	0.000354895	0.0010844	0.00142018	0.00135346	0.000786717	0.00157378
a	0.00522459	0.00619796	0.921192	0.0398489	0.014175	0.00800783	0.00101291	0.000687467	0.000144893	0.000674551	0.000492521	0.000558537	0.000609175	0.00117406
p	0.00296254	0.0416574	0.443804	0.309985	0.0496332	0.0358498	0.0118367	0.0135421	0.00427199	0.00981889	0.0150603	0.00847001	0.00288796	0.0502205
ώ	0.00465943	0.00557056	0.294705	0.117204	0.0646718	0.403721	0.00656926	0.0159066	0.00648016	0.0251077	0.0118494	0.00188208	0.00602109	0.0356525
ω	0.00184904	0.0050313	0.0830534	0.459493	0.0652857	0.080292	0.0516689	0.0204993	0.0339073	0.0438434	0.0451974	0.0298116	0.0101906	0.0698772
y	0.000516416	0.00294095	0.0554324	0.47956	0.303007	0.10043	0.0262619	0.00374955	0.00116704	0.00575136	0.00473118	0.00318014	0.00214013	0.0111319
é	0.000387248	0.0048297	0.0803287	0.221615	0.494508	0.059706	0.0379184	0.0199959	0.0077121	0.0107128	0.014527	0.0137563	0.0137582	0.0202444
é	0.000834489	0.00623328	0.0111436	0.316812	0.402201	0.0440015	0.0809543	0.0268626	0.00704007	0.0117621	0.0176072	0.0255323	0.00840941	0.0406054
d	0.000475353	0.00151898	0.0132342	0.0832762	0.593392	0.166492	0.0869208	0.0183885	0.00290988	0.00708561	0.00366072	0.00795118	0.00641306	0.00828116
í	0.000205349	0.00120388	0.00415239	0.0547207	0.548322	0.0463283	0.153727	0.0504151	0.00246564	0.0155988	0.00976106	0.00639674	0.0212651	0.0854374
t	0.000181053	0.00290672	0.00320397	0.0733616	0.288735	0.293328	0.126684	0.0808948	0.00772298	0.0190554	0.0187468	0.0131783	0.00672448	0.0652773
