 	il	est	parti	en	brousse	</S>
w	0.939745	0.0574091	0.000176099	0.00199959	0.000424992	0.000244692
a	0.958907	0.0272477	4.92779e-05	0.0110575	0.00259276	0.000145598
á	0.122971	0.819555	0.0244544	0.0291788	0.0011608	0.00267969
m	0.018554	0.595906	0.337965	0.0293535	0.00369026	0.0145311
i	0.00548698	0.218671	0.643248	0.0713788	0.00561937	0.0555953
d	0.00130595	0.0848794	0.862655	0.0329566	0.0027649	0.0154386
z	9.25366e-05	0.0145005	0.948166	0.0229326	0.00353968	0.0107687
w	0.00301237	0.0518918	0.915784	0.0246134	0.00100809	0.00369069
a	0.0274261	0.157486	0.405129	0.268351	0.00970865	0.131899
k	0.0210747	0.0205114	0.00995979	0.305158	0.496834	0.146462
ώ	0.000318589	0.00148859	0.0241326	0.0274857	0.912334	0.0342409
</S>	0.000126043	0.00227583	0.0012082	0.0205611	0.958044	0.0177845
