 	la	lignée	de	ma	mère	ne	compte	que	des	femmes	</S>
i	0.334017	0.508034	0.0900763	0.0247237	0.00313308	0.0187071	0.00193533	0.00790537	0.0106169	0.000319178	0.000531442
n	0.0638417	0.881771	0.0156442	0.00762878	0.00566367	0.00534727	0.008547	0.00585008	0.0017449	0.00278948	0.00117188
y	0.0791763	0.51126	0.121987	0.113571	0.0859185	0.0172043	0.0068499	0.0239266	0.0102015	0.00410371	0.0258008
ώ	0.110099	0.222363	0.0451117	0.457298	0.131221	0.00976835	0.000983732	0.00637121	0.0109198	0.00258897	0.00327436
ώ	0.0555134	0.639229	0.0829594	0.0436615	0.0841285	0.014424	0.00296533	0.016574	0.0109547	0.00600767	0.0435821
l	0.18842	0.0964403	0.408812	0.0392953	0.0319723	0.0550519	0.0434346	0.0415803	0.0235071	0.00308309	0.0684034
á	0.0948964	0.0630203	0.169587	0.0875919	0.0993011	0.0599108	0.0526099	0.061577	0.0312998	0.0070724	0.273134
n	0.0909188	0.00953269	0.0942295	0.692339	0.0493329	0.0267148	0.00451487	0.00868215	0.0171903	0.00227237	0.0042721
g	0.0136149	0.0160334	0.0210051	0.706791	0.232109	0.00311697	0.000341609	0.00202175	0.0027019	0.000885622	0.00137931
ó	0.0145946	0.0209195	0.0467003	0.240122	0.650554	0.00790844	0.000595217	0.00501563	0.00575382	0.00204733	0.00578968
o	0.00723454	0.0156807	0.0419322	0.130233	0.658611	0.0727746	0.00539095	0.0186602	0.0281673	0.00935397	0.0119618
y	0.00843613	0.00592114	0.143918	0.165492	0.281277	0.305538	0.0308261	0.0277579	0.0165266	0.00900977	0.00529757
a	0.0985543	0.0224924	0.112049	0.410383	0.119288	0.183337	0.022766	0.00624221	0.0104955	0.00856628	0.00582606
b	0.0160518	0.00161628	0.105984	0.597361	0.0248467	0.159468	0.0244365	0.0219427	0.0407658	0.0023686	0.00515915
í	0.0219213	0.0178869	0.19039	0.592118	0.0170392	0.0601165	0.0336768	0.0118245	0.0249114	0.0207263	0.00938948
s	0.0316139	0.0211905	0.147758	0.712147	0.0163034	0.0292167	0.0092988	0.00637305	0.0156153	0.00163945	0.00884338
í	0.0109538	0.00694881	0.1357	0.175245	0.139461	0.180841	0.0101759	0.058008	0.0401373	0.00190391	0.240625
í	0.00243699	0.00159556	0.0795082	0.032266	0.0427629	0.419464	0.145969	0.143751	0.0602675	0.0338143	0.0381639
d	0.0030101	0.0017492	0.0148146	0.0118297	0.00848739	0.0984491	0.549619	0.173	0.0353151	0.0517212	0.0520055
í	0.00167104	0.00050333	0.00256497	0.00605199	0.000882641	0.0286927	0.333047	0.140142	0.026824	0.0331332	0.426487
a	0.00209243	0.000416227	0.0132606	0.0287406	0.000658152	0.0613376	0.367607	0.230155	0.171405	0.0136515	0.110676
y	0.00268289	0.0021671	0.0052067	0.0119981	0.000669768	0.0125321	0.113227	0.299207	0.260959	0.167391	0.12396
ú	0.00244027	0.000753596	0.00336372	0.011001	0.00369663	0.0320546	0.0981767	0.246339	0.229224	0.188814	0.184136
r	0.00140943	0.00011382	0.00273827	0.00481006	0.000759802	0.0230986	0.119303	0.321331	0.376259	0.0221436	0.128033
u	0.00130173	0.000308894	0.00568613	0.00143559	0.000345573	0.0405111	0.128044	0.34474	0.383115	0.0224564	0.0720549
l	0.000336185	0.000116186	0.00717014	0.00974892	0.00117464	0.042315	0.0511876	0.235315	0.367449	0.0288296	0.256359
a	0.000352216	0.000228273	0.00262915	0.00472269	0.00027222	0.0209984	0.160674	0.334313	0.119486	0.0177781	0.338546
y	0.000593601	0.000189931	0.00484373	0.00348155	0.00035944	0.0336878	0.0603741	0.159317	0.45172	0.0715753	0.213857
u	0.00111508	0.000691483	0.00343743	0.00881532	0.00312146	0.0177391	0.0748129	0.155019	0.191133	0.220784	0.323331
r	0.00101816	9.48694e-05	0.00139986	0.00262814	0.000214014	0.0173632	0.0435552	0.105411	0.306114	0.021065	0.501137
u	0.00131803	0.000291715	0.00125283	0.00347479	0.000268821	0.0130547	0.0364382	0.275012	0.346681	0.0240973	0.29811
</S>	0.000256145	9.86726e-05	0.0028149	0.00457439	0.000321608	0.0313053	0.0310751	0.154123	0.135745	0.0118875	0.627798
