 	le	feu	de	brousse	a	une	grande	luminosité	</S>
m	0.523277	0.255506	0.0598875	0.0607182	0.0249847	0.037469	0.0328111	0.00204648	0.00329961
í	0.0186669	0.930501	0.0269373	0.00452097	0.00615264	0.00173383	0.00536304	0.000980943	0.0051429
á	0.213034	0.537648	0.0595687	0.031315	0.0299199	0.0132764	0.0255293	0.0286805	0.0610285
m	0.270452	0.316481	0.219516	0.0324116	0.0234246	0.0147727	0.0187566	0.00745367	0.0967317
í	0.0392037	0.890893	0.0364058	0.0102171	0.00937563	0.00128331	0.00265701	0.000949037	0.0090156
í	0.0835461	0.380445	0.126516	0.0827003	0.0585261	0.0340147	0.0463311	0.020766	0.167155
l	0.0474721	0.100602	0.343838	0.196677	0.125945	0.0421548	0.0373705	0.0034739	0.102466
o	0.0126394	0.0232915	0.262399	0.0711293	0.115759	0.0498562	0.072984	0.00626827	0.385673
o	0.0659123	0.0434507	0.229154	0.17421	0.14591	0.0850503	0.0729434	0.0480203	0.13535
s	0.0290616	0.0910735	0.204803	0.278224	0.232411	0.0703682	0.0324639	0.00465862	0.0569369
á	0.105814	0.00927556	0.149535	0.0633192	0.188397	0.183484	0.125863	0.0465707	0.127741
o	0.0301719	0.00923881	0.110258	0.236325	0.27194	0.167784	0.0756561	0.0212044	0.0774215
l	0.0134275	0.0335999	0.0390811	0.11693	0.315822	0.287052	0.120357	0.0419695	0.0317596
ω	0.0175141	0.00640875	0.046258	0.0492287	0.180642	0.23743	0.18779	0.044053	0.230676
n	0.00218589	0.00211424	0.0559985	0.0410967	0.143714	0.299517	0.220608	0.0858316	0.148934
g	0.00695206	0.00372599	0.110003	0.094697	0.230445	0.27493	0.151874	0.0339897	0.093383
ώ	0.0153966	0.00693656	0.166422	0.0904524	0.206937	0.194289	0.130199	0.0955078	0.0938603
í	0.00727791	0.00175696	0.0422298	0.0787259	0.144948	0.324788	0.331009	0.0248814	0.0443838
d	0.0191286	0.00853407	0.0276613	0.0333554	0.129447	0.246147	0.345914	0.0454738	0.144339
í	0.00206365	0.0020999	0.00686197	0.0025378	0.0317908	0.0921141	0.185522	0.0299033	0.647107
l	0.00624968	0.00373343	0.0190362	0.0259109	0.0847019	0.178058	0.218726	0.0382762	0.425308
a	0.000212522	0.000355106	0.0179066	0.0081815	0.0312381	0.083386	0.119176	0.072586	0.666958
l	0.00106661	0.000693692	0.00811615	0.00522799	0.0232874	0.0995379	0.139602	0.508504	0.213964
e	0.00143276	0.000771937	0.00682867	0.00250373	0.0137491	0.0459959	0.104753	0.522663	0.301302
n	7.67454e-05	6.56211e-05	0.000889405	0.000723402	0.00356171	0.0422212	0.0728315	0.607187	0.272443
g	0.00102868	0.000314784	0.00116278	0.000465835	0.00691911	0.0311711	0.101905	0.615634	0.241399
y	0.000247785	0.000228606	0.000812628	0.000402124	0.00718379	0.0172436	0.0374735	0.841509	0.0948991
ε	3.78736e-05	3.30099e-05	0.000438757	0.000193808	0.00176844	0.012747	0.0375207	0.829052	0.118208
n	0.00021274	0.000134845	0.00117019	0.000878406	0.00955131	0.0554075	0.107393	0.127794	0.697458
g	0.0024075	0.000813454	0.0030935	0.00254844	0.0121848	0.0708369	0.139199	0.514578	0.254339
y	0.0024897	0.000669956	0.00373474	0.00444309	0.020631	0.075326	0.104549	0.690487	0.0976693
ε	0.00308073	0.000283508	0.00420647	0.00238216	0.00508951	0.0289292	0.0650979	0.454507	0.436424
i	0.00249841	0.000152478	0.0047081	0.00334934	0.0132979	0.0655122	0.115936	0.0679708	0.726575
</S>	0.00722085	0.000877729	0.025925	0.0163535	0.0292333	0.0539529	0.0976633	0.0269428	0.741831
