 	nous	avons	tué	un	serpent	à	deux	têtes	dans	le	jardin	</S>
b	0.329792	0.514445	0.00615287	0.0428659	0.0101416	0.0214302	0.00889611	0.0122719	0.0109829	0.0341328	0.00576729	0.00312157
í	0.750804	0.223962	0.00864189	0.00443502	0.000688581	0.0014613	0.00442888	0.000834268	0.000395047	0.0041725	0.000103954	7.24353e-05
s	0.960804	0.0208746	0.0168886	0.000285359	0.000170561	0.000126287	0.000469644	0.000169629	2.63433e-05	9.68116e-05	2.86462e-06	8.5809e-05
í	0.511742	0.291852	0.0343569	0.0140792	0.00875441	0.018662	0.0587576	0.00444512	0.00602065	0.0376298	0.00033817	0.0133617
l	0.0719272	0.270798	0.0612506	0.0203448	0.0197792	0.024766	0.0139525	0.0694552	0.0269576	0.0231094	0.00138423	0.396275
é	0.00363983	0.245089	0.0912839	0.0656196	0.027733	0.0259104	0.0228681	0.0175497	0.0103506	0.0189605	0.00751624	0.463479
b	0.000915241	0.271009	0.586168	0.0650261	0.043596	0.0101063	0.00158797	0.00318453	0.00092514	0.00258026	0.000916749	0.0139851
o	0.000781292	0.039674	0.88204	0.0322099	0.0262123	0.00767553	0.00301123	0.00233063	0.00181511	0.00251019	2.97766e-05	0.00171023
m	0.00182127	0.0165111	0.680978	0.125452	0.122318	0.0229781	0.00167517	0.0196695	0.00221699	0.00131632	0.000532773	0.00453036
i	0.000731685	0.00578027	0.0746564	0.344587	0.260237	0.167573	0.0383169	0.0327919	0.0438998	0.0259478	0.000483545	0.00499503
k	0.000665501	0.0106869	0.00697131	0.178211	0.224648	0.306582	0.221609	0.0149167	0.00909545	0.0067061	0.000419425	0.0194886
u	0.000154609	0.000371942	0.00797309	0.101375	0.279098	0.0990059	0.0325948	0.447529	0.0214808	0.00324301	0.000468736	0.00670396
k	8.72171e-05	0.000145289	0.000546314	0.0535984	0.189579	0.202678	0.068967	0.444259	0.0261805	0.00422013	0.000153339	0.00958647
ú	0.000386273	9.09742e-05	0.000324891	0.0312879	0.135432	0.150056	0.053361	0.538614	0.0576335	0.0138682	0.000298171	0.0186472
r	3.83904e-05	0.000104289	3.1283e-05	0.0287383	0.0573861	0.457725	0.193968	0.127335	0.0895336	0.0249267	0.000421429	0.0197916
á	7.87251e-05	0.000147384	0.000617447	0.0882239	0.184524	0.291606	0.0331506	0.228625	0.0558643	0.0362659	0.00576449	0.0751321
s	0.000454324	0.000549809	0.0002236	0.0194034	0.0361521	0.159617	0.303629	0.262408	0.129261	0.072921	0.00757555	0.0078048
á	0.00475236	0.000965613	0.00273916	0.0102426	0.036025	0.0813684	0.0643263	0.211826	0.215148	0.170332	0.139639	0.0626354
k	0.00240408	0.000381289	0.000310274	0.00182685	0.00517298	0.0197755	0.0549077	0.548631	0.149338	0.10467	0.101369	0.0112125
ú	1.09989e-05	7.99409e-06	2.32946e-05	0.000129174	0.000542552	0.00243388	0.00413085	0.960297	0.0266027	0.00364209	0.00102902	0.0011506
b	9.08404e-05	1.48217e-05	2.44326e-05	0.000370779	0.00291375	0.00726503	0.0102384	0.96499	0.0116095	0.00159916	0.000139329	0.000743817
h	0.00216638	5.52975e-05	3.69745e-05	0.000993522	0.00241932	0.00905511	0.0117583	0.868845	0.0636262	0.0104536	0.000169739	0.0304204
á	0.000116869	8.69975e-06	2.39532e-06	0.00232797	0.00645916	0.07361	0.0331608	0.447452	0.251631	0.080512	0.00174052	0.102979
</S>	5.83954e-05	0.0011206	0.000486023	0.00707857	0.00571226	0.0135457	0.0330179	0.0499151	0.301095	0.385609	0.0165964	0.185765
