 	ce	régime	de	noix	de	palme	s'	est	déjà	gâté	</S>
e	0.643837	0.179153	0.101624	0.0193282	0.0246024	0.0113828	0.00851073	0.00670658	0.00343389	0.000701695	0.000719856
t	0.00642787	0.990716	0.000690079	0.000108112	0.00028532	0.000256899	0.000121277	0.00025091	0.000439935	0.000530508	0.000173646
o	0.0017047	0.989897	0.00159149	0.000260852	0.00240155	0.00208162	0.000503746	0.000424815	0.000169589	0.000637816	0.000327279
n	0.000684332	0.993379	0.00214967	0.00017828	0.000626717	0.000816788	0.00023968	0.000372608	0.000264657	0.000665969	0.000622223
g	0.0382394	0.927378	0.00499741	0.00149037	0.00351014	0.00279415	0.00130222	0.00263507	0.000679657	0.00429632	0.0126776
o	0.21779	0.674502	0.0467997	0.0150133	0.0165319	0.00687384	0.00245327	0.00135839	0.000759982	0.00715934	0.0107581
y	0.15307	0.0598623	0.534286	0.0323609	0.105403	0.0608382	0.0222699	0.0114328	0.00478431	0.000286682	0.0154055
á	0.656889	0.0107782	0.170119	0.0259829	0.0905802	0.0238458	0.00699242	0.00351706	0.0039102	0.00141239	0.00597354
m	0.262118	0.00262489	0.340417	0.0869649	0.210985	0.0536237	0.0171699	0.00472994	0.0131354	0.00454558	0.00368608
b	0.0147181	0.00599495	0.0141703	0.882256	0.0649197	0.00988383	0.00292932	0.000563975	0.000131938	0.00167015	0.00276219
í	0.00484613	0.00495215	0.00980423	0.901049	0.0432662	0.0215397	0.00474146	0.00135476	0.000230045	0.00537053	0.00284549
a	0.0229406	0.00646173	0.0392387	0.873151	0.0369264	0.013327	0.00290762	0.00117592	0.000293923	0.00181778	0.00175944
y	0.0607015	0.000334159	0.154292	0.110909	0.225375	0.241428	0.141554	0.0392543	0.0178378	0.00205692	0.00625685
é	0.184265	0.00635522	0.133095	0.0783804	0.273346	0.148523	0.10176	0.0177411	0.0136408	0.0176657	0.0252292
é	0.0962634	0.00188229	0.131568	0.0359846	0.168235	0.223813	0.211388	0.0520573	0.0479776	0.0140237	0.0168074
m	0.0158761	0.00667039	0.0122166	0.00473001	0.0216847	0.0866561	0.170529	0.323865	0.327176	0.0125618	0.0180348
i	0.00260091	0.000171259	0.0105255	0.0263525	0.0178659	0.0269111	0.118545	0.244946	0.433917	0.0896218	0.0285427
s	0.00605092	0.00186433	0.00474128	0.00692656	0.0103022	0.0301397	0.0913196	0.381	0.21332	0.0400415	0.214294
á	0.00193184	0.00415144	0.00294517	0.00249235	0.0114217	0.0489468	0.0809159	0.263184	0.332497	0.0835423	0.167971
á	0.00225851	0.000296377	0.00542221	0.00382393	0.0129308	0.033288	0.142933	0.337151	0.21949	0.0268429	0.215564
o	0.00378702	0.000183205	0.00882071	0.00818012	0.0125209	0.0154991	0.0667851	0.216646	0.420859	0.205814	0.0409051
w	0.00170026	0.00320659	0.0012298	0.001171	0.00152731	0.0029001	0.00823739	0.0662334	0.10416	0.756044	0.05359
o	0.000596566	0.00179492	0.0016506	0.00152197	0.00200298	0.00483206	0.00693895	0.0331256	0.0248509	0.877298	0.0453871
n	0.000553904	0.00142059	0.00130292	0.000424811	0.000925444	0.00285427	0.00386916	0.0386117	0.0341676	0.751043	0.164826
g	0.0061351	0.0208616	0.0064153	0.00357072	0.00468738	0.00769055	0.0101341	0.0669777	0.0372378	0.497413	0.338877
a	0.0127334	0.0159497	0.0189583	0.0200845	0.0106392	0.00895927	0.00949632	0.0104879	0.00540891	0.616751	0.270532
</S>	0.00495472	0.00576889	0.00652989	0.0046307	0.00760466	0.00833601	0.00926385	0.0287607	0.0211263	0.360116	0.542908
