 	maman	a	préparé	les	feuilles	de	manioc	hier	</S>
m	0.402628	0.229747	0.0327136	0.173082	0.0593323	0.0766909	0.0102966	0.00561086	0.00989869
a	0.324281	0.632705	0.00835204	0.0164317	0.00154974	0.0147424	0.00101597	8.70143e-06	0.000914057
á	0.0118901	0.702129	0.0859127	0.103623	0.0201298	0.049436	0.0182592	0.000706834	0.00791326
á	0.0292056	0.380308	0.167533	0.0341835	0.022861	0.0291838	0.0150924	0.00800401	0.313629
l	0.00268078	0.0326934	0.898325	0.0224995	0.0228551	0.00326828	0.0095648	0.00231951	0.00579326
á	0.000143026	0.0303882	0.936331	0.0121713	0.00828307	0.0017271	0.00223499	0.000109847	0.00861175
m	0.000354938	0.0308482	0.834234	0.0730858	0.0469346	0.00450803	0.00147289	0.000113739	0.00844793
b	0.00373331	0.108009	0.480873	0.306382	0.0763109	0.00967106	0.00438708	0.00287352	0.00775955
i	0.000711189	0.110477	0.240953	0.32626	0.152149	0.0749812	0.00998181	0.00570357	0.0787831
a	0.000796814	0.225487	0.0694377	0.317236	0.210657	0.100412	0.022923	0.00732798	0.0457225
y	0.000262093	0.0166104	0.0874209	0.278415	0.512529	0.0589694	0.034441	0.00562569	0.00572643
a	3.3955e-05	0.0129034	0.48614	0.116498	0.306173	0.0229543	0.00913156	0.00154712	0.0446193
a	0.000130439	0.0225289	0.108275	0.18375	0.224282	0.0937503	0.0281287	0.00292709	0.336227
l	2.13313e-05	0.0135419	0.03202	0.105794	0.342807	0.276913	0.181672	0.00562011	0.0416113
a	7.66254e-05	0.00602723	0.0479309	0.074138	0.189347	0.178625	0.110745	0.0152276	0.377883
p	0.0003695	0.00868224	0.00802034	0.0820339	0.137171	0.382468	0.168462	0.0587123	0.15408
ó	9.88058e-05	0.00129738	0.00287495	0.0512701	0.178889	0.0666047	0.0384631	0.638753	0.0217489
a	9.43649e-05	0.000955054	0.0031347	0.0245694	0.0567298	0.10878	0.266714	0.383199	0.155823
</S>	1.01914e-05	0.00197813	0.00672832	0.0144442	0.0375781	0.174819	0.386555	0.110423	0.267464
