 	nous	avons	marché	dans	l'	eau	de	la	vouma	</S>
b	0.738036	0.143038	0.0458453	0.0222802	0.02464	0.0116565	0.00423427	0.0092789	0.000437892	0.000552752
í	0.883449	0.0252035	0.0118779	0.0142924	0.0166771	0.0315355	0.00689167	0.00959508	0.000347041	0.000130993
s	0.983891	0.00285637	0.00686374	0.00239601	0.00112376	0.00161038	0.000715636	0.000254696	0.000144298	0.000144583
í	0.685774	0.0598305	0.170927	0.0332608	0.0179568	0.018232	0.00593681	0.00631613	0.000298195	0.00146855
l	0.235723	0.111009	0.168275	0.050187	0.0276406	0.0104039	0.0228502	0.02795	0.00938758	0.336573
é	0.0129263	0.0339593	0.138914	0.0748768	0.054791	0.107627	0.0763186	0.0371244	0.0176375	0.445825
t	0.00606733	0.197647	0.665981	0.0726702	0.0123222	0.00884687	0.00782937	0.0104344	0.0010664	0.0171355
u	0.00312386	0.0702792	0.62825	0.215924	0.0318142	0.00478767	0.00993474	0.00377131	0.0016329	0.0304818
b	0.0103769	0.0322443	0.535164	0.313288	0.0532764	0.00397649	0.00964064	0.0146607	0.000836714	0.0265364
h	0.0281805	0.0311796	0.371212	0.291748	0.165324	0.0393929	0.0280565	0.0382219	0.00159909	0.00508479
u	0.00680968	0.0113995	0.113345	0.382529	0.253887	0.0836979	0.0561744	0.0362953	0.00436257	0.0515001
u	0.00699062	0.0255353	0.0556009	0.235157	0.413509	0.185263	0.0343144	0.0315004	0.00285582	0.00927307
m	0.000300027	0.00908943	0.0548747	0.179786	0.401735	0.264147	0.0625282	0.0109389	0.00937217	0.00722834
á	0.000172861	0.00573669	0.0069298	0.0469229	0.150174	0.6173	0.0797966	0.0209523	0.0559427	0.0160724
a	0.00061762	0.0113713	0.0173324	0.0547913	0.176111	0.507261	0.0994291	0.0272999	0.0750085	0.0307778
s	0.000466538	0.00926169	0.014039	0.042446	0.106315	0.252961	0.25933	0.110537	0.0870798	0.117564
á	0.00103356	0.023014	0.0576254	0.0790075	0.0914064	0.0907826	0.103232	0.114292	0.270125	0.169481
w	0.00680363	0.00520202	0.00624909	0.0148311	0.0412598	0.144022	0.0572511	0.128504	0.509093	0.0867854
ó	0.0139816	0.00510906	0.00605244	0.0387546	0.108754	0.123248	0.154152	0.152603	0.348302	0.0490428
m	0.000581486	0.00126769	0.00106225	0.00496707	0.0219847	0.0444055	0.0964361	0.138829	0.623286	0.0671805
á	0.000198989	0.00285614	0.00134558	0.00487661	0.0064901	0.031373	0.035092	0.141111	0.470427	0.306229
</S>	0.00108712	0.0101246	0.00502688	0.014481	0.0222004	0.0325159	0.0403028	0.170183	0.563374	0.140705
