 	a	combien	tu	as	payé	le	passage	du	fleuve	</S>
n	0.316353	0.466412	0.167599	0.0141808	0.00771147	0.0233336	0.0013778	0.00246998	0.000193528	0.000368812
ω	0.145658	0.278464	0.54642	0.0220822	0.00127039	0.00184819	0.0001883	0.000740869	0.00300167	0.000327157
ó	0.106757	0.29274	0.281205	0.190628	0.113824	0.00627909	8.33402e-05	0.00276209	0.00369356	0.00202781
f	0.0166181	0.00736125	0.00603029	0.0266033	0.892989	0.0240726	0.0052076	0.0027804	0.00483167	0.0135059
u	0.013233	0.00596064	0.00152649	0.0258279	0.674098	0.135958	0.0300818	0.0157511	0.0170832	0.0804793
r	0.000373661	0.00267675	0.000140707	0.000752654	0.885761	0.0967168	0.00797916	0.00355135	0.000736302	0.00131132
u	0.0112027	0.0123397	0.00352139	0.0153905	0.671727	0.241042	0.0116246	0.023673	0.00700059	0.00247797
m	0.0333356	0.0446989	0.135806	0.256224	0.0302082	0.254011	0.0560341	0.164266	0.0117314	0.0136849
b	0.0278529	0.00226397	0.0015732	0.00544397	0.01415	0.0559773	0.00377242	0.0828416	0.739339	0.0667857
o	0.0121914	0.0124481	0.000877471	0.00450081	0.0165441	0.390339	0.0883859	0.139979	0.298967	0.035767
o	0.00920436	0.00473001	0.000353833	0.00189535	0.140574	0.240355	0.309175	0.160965	0.0588827	0.0738653
k	0.00539488	0.00140829	0.00236553	0.0144742	0.00449805	0.107854	0.127933	0.581388	0.0920001	0.0626836
w	0.000887893	0.000797241	0.000152931	0.000405536	0.00103761	0.0226304	0.880144	0.042139	0.0102835	0.0415222
έ	0.0029265	0.00137832	0.00103197	0.00209257	0.0191877	0.0619715	0.374512	0.140712	0.261559	0.134628
ε	0.00129242	0.00180066	0.00187187	0.00469014	0.00123251	0.0354075	0.215881	0.177585	0.245509	0.31473
</S>	0.00182485	0.00125716	0.00131292	0.0123083	0.000603362	0.0300345	0.029799	0.52959	0.191077	0.202193
