 	j'	ai	gardé	cette	arachide	comme	semence	</S>
n	0.916894	0.0619888	0.00505656	0.0100025	0.000981462	0.00345887	0.00150958	0.00010858
g	0.974389	0.0231238	2.03441e-05	0.00135898	0.000883257	0.00017131	5.09206e-05	2.47826e-06
á	0.841764	0.143539	0.000526989	0.00398376	0.00884761	5.63678e-05	0.00118248	9.91021e-05
í	0.127048	0.528108	0.0455387	0.0210265	0.012779	0.0580054	0.0323315	0.175163
b	0.00973679	0.183074	0.788566	0.00913596	0.00216449	0.00143239	0.00166038	0.00422981
ó	3.59064e-05	0.00551394	0.99202	0.000642597	0.000186361	7.77971e-05	0.00110749	0.000415988
m	0.00283471	0.0970698	0.821938	0.0504827	0.00893237	0.00179107	0.0117684	0.00518344
b	0.0566792	0.0621237	0.278845	0.296435	0.0701769	0.142205	0.0443079	0.0492273
i	0.00442023	0.023975	0.417702	0.348582	0.0738268	0.0697536	0.0167446	0.0449952
n	0.00827968	0.0381398	0.00962071	0.60511	0.133261	0.181443	0.00836899	0.0157766
d	0.00205426	0.0124812	0.00138735	0.364869	0.583216	0.0256664	0.00200161	0.00832417
z	0.00184631	0.00491958	0.000290306	0.09196	0.889948	0.00582847	0.000552492	0.00465471
o	4.86943e-05	0.000433931	0.000150147	0.0263171	0.954948	0.00288258	0.00116847	0.0140512
ó	0.000660187	0.00343389	0.00371395	0.0839329	0.464241	0.055979	0.0847353	0.303304
y	0.000326238	0.0111831	0.00527728	0.11381	0.0352328	0.608517	0.0764223	0.149231
í	0.00144496	0.00413166	0.00200719	0.08245	0.0648915	0.330331	0.245654	0.26909
i	0.00679271	0.00368603	0.000273278	0.021318	0.0235791	0.459121	0.369527	0.115703
l	6.84485e-05	0.000266687	0.00074741	0.0100699	0.022559	0.0675752	0.732436	0.166277
e	4.90091e-05	0.000684511	0.00343288	0.00576015	0.00296263	0.0233313	0.721133	0.242647
m	5.67618e-06	5.62728e-05	0.00032667	0.0042637	0.00480169	0.053381	0.669702	0.267463
b	3.44126e-05	0.00014238	0.000288276	0.00312816	0.000364519	0.12035	0.54698	0.328713
ó	8.509e-05	0.000113106	0.000739462	0.00146536	0.000378934	0.0196075	0.742435	0.235175
r	2.47559e-06	3.55783e-05	0.000836367	0.00310387	0.00272688	0.038359	0.585076	0.36986
o	4.4747e-05	0.000261919	0.00065585	0.0124017	0.0263702	0.0559196	0.494798	0.409548
</S>	0.0066732	0.00275559	0.000611071	0.0135912	0.0117837	0.140624	0.297766	0.526195
