 	où	est-ce	qu'	il	habite	</S>
w	0.509418	0.343377	0.0940618	0.0463083	0.000805205	0.00602924
a	0.233095	0.671144	0.0544629	0.0379217	0.00272654	0.000649021
l	0.115581	0.653759	0.138772	0.0496658	0.00312819	0.0390935
á	0.325143	0.509791	0.0658392	0.060846	0.00533363	0.0330467
a	0.274498	0.222571	0.232069	0.186795	0.0109886	0.0730775
d	0.108271	0.345145	0.183776	0.147994	0.112924	0.10189
z	0.0137836	0.09602	0.090182	0.0884482	0.416845	0.294722
e	0.0449986	0.0922634	0.0538525	0.0790479	0.500731	0.229106
e	0.00673431	0.0304643	0.172279	0.161334	0.447222	0.181965
m	0.0224381	0.0201811	0.285634	0.425457	0.0648202	0.18147
á	0.0467261	0.0451917	0.316181	0.326141	0.0101588	0.255601
ó	0.0601344	0.0230789	0.153944	0.555299	0.0445067	0.163037
p	0.0161223	0.0201925	0.048561	0.218472	0.326412	0.37024
e	0.000957437	0.00537372	0.00574273	0.0377057	0.895744	0.0544761
</S>	0.00106543	0.00780299	0.015675	0.0551586	0.749627	0.170671
