 	ma	moto	est	encore	in	tact	</S>
o	0.511582	0.455027	0.0264873	0.00339963	0.0027154	0.000150233	0.000637535
t	0.0339253	0.944755	0.0102372	0.00641545	0.00101103	0.00241905	0.00123661
ó	0.00202864	0.982903	0.0101122	0.00327979	0.000830818	0.000206157	0.000639683
á	0.00134416	0.991236	0.00453116	0.00117301	0.000220913	0.000214183	0.00128077
n	0.515427	0.226477	0.235092	0.0107181	0.00706288	0.000451254	0.00477166
g	0.86607	0.0718996	0.0352505	0.0110748	0.00329545	0.00126419	0.0111453
á	0.856862	0.0962167	0.0239556	0.00926423	0.00284608	0.00351761	0.00733738
ó	0.11249	0.0873683	0.614939	0.0662568	0.100553	0.00183165	0.0165605
s	0.00975922	0.00965035	0.158609	0.640449	0.17234	0.00296692	0.00622607
á	0.0231402	0.00102712	0.0404674	0.798216	0.0924783	0.0124065	0.0322647
a	0.11515	0.0021699	0.0596234	0.533077	0.174545	0.00887806	0.106557
ó	0.026971	0.00635493	0.168297	0.206846	0.507268	0.047515	0.0367479
m	0.0140695	0.00568794	0.0419384	0.152022	0.678338	0.0885011	0.0194431
ú	0.000736688	0.00060494	0.0401027	0.0434983	0.20878	0.528317	0.17796
a	0.000175326	0.000569323	0.0477081	0.0478171	0.312587	0.436924	0.15422
m	0.0142919	0.00467788	0.0449916	0.0337956	0.596975	0.116628	0.188639
έ	0.000490137	0.000769366	0.0455888	0.0123632	0.129184	0.566735	0.244869
n	0.000746977	0.00184963	0.0586969	0.0113003	0.323153	0.392657	0.211596
έ	0.00413508	0.000772596	0.0127178	0.0121237	0.121589	0.38464	0.464021
</S>	0.00271757	0.0015692	0.0470202	0.0144315	0.0999372	0.0143266	0.819998
