 	tes	dents	sont	bourrées	de	tartre	</S>
m	0.52132	0.345973	0.0869267	0.00950745	0.0218591	0.0138458	0.000568271
í	0.0355689	0.908542	0.0285422	0.0157861	0.00986966	3.71228e-05	0.00165399
n	0.0300801	0.91241	0.0482137	0.00399036	0.00121808	0.000304345	0.0037838
a	0.356836	0.591262	0.0169934	0.00518753	0.00130139	0.000139182	0.0282805
m	0.125728	0.50197	0.22329	0.0161814	0.00817233	0.000553379	0.124104
á	0.0532217	0.703268	0.117227	0.0608078	0.0393937	0.000329157	0.0257531
n	0.707934	0.0762748	0.121915	0.0555193	0.0158202	0.00504039	0.0174963
ω	0.978544	0.0134583	0.0036461	0.00255881	0.00093941	1.18275e-05	0.000841825
á	0.0234309	0.0411831	0.521748	0.303347	0.0942378	0.00177701	0.0142761
d	0.0408257	0.0184681	0.147601	0.40253	0.256503	0.107966	0.0261059
í	0.00434898	0.00474834	0.0689011	0.19475	0.159661	0.00526381	0.562327
l	0.0228797	0.00452182	0.0495377	0.0570722	0.141623	0.364896	0.35947
a	0.00618941	0.00519882	0.0335078	0.180686	0.223948	0.174276	0.376193
k	0.055871	0.0223256	0.0459951	0.159282	0.124364	0.42722	0.164943
y	0.00277698	0.00135135	0.00399761	0.0126508	0.00587327	0.959506	0.0138437
ω	0.00103353	0.000141844	0.000818108	0.00652978	0.00591154	0.975259	0.0103059
</S>	0.0038219	0.00157154	0.0125708	0.0183789	0.0874904	0.594495	0.281671
