 	l'	autre	lampe	s'	est	éteinte	</S>
m	0.310778	0.574354	0.103231	0.0087741	0.00197327	0.000251291	0.000638773
ú	0.0174026	0.0805446	0.874647	0.0185787	0.00291647	0.000543279	0.0053674
n	0.0676899	0.16905	0.756642	0.00344577	0.00190282	0.000786377	0.000482815
d	0.194435	0.163243	0.313532	0.130771	0.0259526	0.0317145	0.140351
a	0.330513	0.360432	0.293265	0.00634428	0.002905	0.00213988	0.00440065
m	0.170429	0.112684	0.13324	0.367614	0.0892434	0.00272316	0.124067
u	0.387982	0.0595903	0.294258	0.183146	0.0413117	0.00675266	0.0269586
n	0.358859	0.177274	0.207605	0.197808	0.0496263	0.00153065	0.0072968
á	0.271866	0.401347	0.214073	0.0612648	0.0139975	0.00717426	0.0302777
ó	0.0256607	0.0109042	0.0346417	0.61717	0.259661	0.0111557	0.0408064
m	0.0107105	0.00842371	0.010281	0.366166	0.542466	0.0541361	0.00781614
i	0.0101123	0.0141127	0.0111639	0.186283	0.501309	0.145004	0.132015
d	0.00787007	0.00395531	0.00871264	0.152845	0.384459	0.300801	0.141357
í	0.00312365	0.0100976	0.00158356	0.0582691	0.27853	0.440879	0.207517
m	0.00572049	0.00237432	0.00273967	0.0678752	0.346033	0.203141	0.372116
a	0.00382697	0.00411008	0.0125269	0.125463	0.423939	0.226227	0.203908
</S>	0.00462193	0.00444057	0.00679102	0.0496929	0.192577	0.206767	0.53511
