 	les	boules	de	manioc	qu'	on	m'	a	envoyées	ont	moisi	</S>
i	0.249489	0.286952	0.220367	0.136786	0.0424111	0.0375843	0.0161038	0.00398623	0.0018162	0.00422745	0.000237917	3.92291e-05
n	0.0528014	0.412729	0.0610612	0.2949	0.0107548	0.00614794	0.00448295	0.0616981	0.0697499	0.00924184	0.012597	0.00383641
g	0.0166743	0.851453	0.0382109	0.0205358	0.018598	0.0122023	0.0252622	0.00306816	0.0100243	0.00161239	7.19563e-05	0.00228666
w	0.00239229	0.987212	0.00315237	0.00371147	0.000561121	0.000274104	0.00145298	0.00016363	0.000677887	9.98212e-05	5.97795e-05	0.000242208
έ	0.00934047	0.936645	0.0156604	0.0173894	0.00440734	0.00178486	0.00260744	0.00159803	0.00442878	0.000757154	0.000158574	0.00522238
l	0.125454	0.316303	0.261808	0.0671707	0.0187404	0.00822833	0.00174403	0.00311827	0.00557571	0.00397061	0.00389982	0.183988
έ	0.10332	0.264034	0.146737	0.0569209	0.0552215	0.0177724	0.00248346	0.00808291	0.0120279	0.00839716	0.00242693	0.322576
m	0.188955	0.0356791	0.451616	0.0430441	0.132582	0.048439	0.0197052	0.0317937	0.0108072	0.0125819	0.00120982	0.0235876
í	0.357745	0.0475801	0.198964	0.0254213	0.163954	0.0983747	0.055892	0.029971	0.00129832	0.0133994	0.00151123	0.00588932
í	0.18678	0.0482081	0.14662	0.104675	0.112309	0.186705	0.110418	0.0518619	0.0149397	0.0125592	0.00235391	0.022571
t	0.00873672	0.00111145	0.0231448	0.0721417	0.0302736	0.0418396	0.0542881	0.679828	0.0326847	0.0336396	0.00631895	0.0159924
í	0.00577979	0.00249721	0.00683644	0.12189	0.0285903	0.0417472	0.0143094	0.322133	0.371473	0.0311219	0.00664891	0.0469733
n	0.00861521	0.00298645	0.0159317	0.053161	0.0716446	0.163747	0.122816	0.25243	0.16019	0.0135117	0.00315547	0.131812
d	0.016301	0.00674149	0.0388938	0.0455009	0.185252	0.27507	0.132088	0.107947	0.152656	0.0102724	0.00132761	0.0279501
í	0.0676746	0.0695621	0.0956892	0.0443272	0.152176	0.114245	0.106897	0.108338	0.198659	0.0120927	0.00150756	0.0288313
b	0.0103266	0.00431897	0.0621484	0.0101355	0.154612	0.23417	0.37814	0.0719004	0.0369985	0.0300539	0.00309641	0.00409952
á	0.0230574	0.00477721	0.0242886	0.0715484	0.123703	0.423538	0.164595	0.0612396	0.0856299	0.00995115	0.00196126	0.00571063
a	0.00923637	0.00547297	0.0256124	0.0190213	0.0988549	0.356031	0.328979	0.0533986	0.0355752	0.0169031	0.00589129	0.0450237
n	0.00322334	0.000397921	0.00540795	0.00757676	0.0160119	0.0379206	0.0698653	0.462992	0.148585	0.194812	0.0227453	0.0304628
g	0.0120386	0.0216909	0.00732503	0.0018638	0.00825771	0.0111394	0.14465	0.215347	0.50563	0.0471211	0.00198076	0.0229563
á	0.000781784	0.015549	0.00418294	0.00102618	0.00324639	0.0047893	0.0890989	0.0748251	0.768416	0.0283918	0.00177765	0.00791474
í	0.0159625	0.00297477	0.0262979	0.00360382	0.0382668	0.0331494	0.0186775	0.0843012	0.279332	0.381278	0.0526234	0.0635327
m	0.0121215	0.00074762	0.00987578	0.0093817	0.0114321	0.00761969	0.00486444	0.1279	0.156831	0.570764	0.0508457	0.0376158
i	0.105758	0.0242994	0.0727647	0.00482053	0.0201879	0.00848088	0.00831532	0.102614	0.0150073	0.229702	0.150083	0.257967
b	0.00325136	0.000992625	0.00188324	0.00293275	0.00049937	0.000396821	0.000233309	0.00827313	0.0230666	0.0607178	0.804307	0.093446
ω	0.000755756	0.000153586	0.000828472	0.00328826	0.00063345	0.000643149	0.000221781	0.00165031	0.00335633	0.00217279	0.974697	0.0115992
m	0.000219857	0.000129777	0.000288385	0.000976808	0.000513225	0.00128974	0.000780825	0.00322445	0.00799549	0.0196622	0.902538	0.0623816
ω	0.00656109	0.0016022	0.00358144	0.00357849	0.00676139	0.00735986	0.00141497	0.00816432	0.0173897	0.0793762	0.191096	0.673114
</S>	0.0124314	0.00270334	0.0117307	0.00200572	0.00685841	0.00519664	0.00278066	0.00746444	0.00691366	0.103694	0.121201	0.717019
