 	ce	gateau	d'	abeille	est	plein	de	miel	</S>
e	0.589025	0.261249	0.06954	0.0594266	0.0141561	0.00255833	0.00374341	0.000179886	0.000121096
y	0.0889853	0.790591	0.044299	0.0593189	0.00524307	0.00691417	0.00152874	0.000423136	0.00269637
a	0.0164489	0.721595	0.112516	0.127791	0.00268752	0.0122277	0.0045726	0.00089917	0.00126225
n	0.0415098	0.570236	0.1131	0.210366	0.00815756	0.00935391	0.0085428	0.0116798	0.0270541
g	0.091641	0.646714	0.111553	0.12729	0.00348962	0.00281045	0.00574124	0.00275179	0.00800917
o	0.0650102	0.59474	0.089229	0.241149	0.00104738	0.000899535	0.00145552	0.00208946	0.00438006
y	0.101824	0.183332	0.563682	0.057974	0.0472036	0.00777392	0.00790977	0.000565186	0.0297356
á	0.560226	0.0335485	0.264155	0.103795	0.00709847	0.00404011	0.0097712	0.00226153	0.0151038
n	0.374446	0.0313891	0.235156	0.275668	0.0123734	0.0153387	0.0268234	0.0222768	0.00652872
d	0.0198363	0.00558266	0.165769	0.737956	0.00456684	0.000800729	0.0152306	0.0431446	0.00711291
z	0.0017125	0.0170827	0.123886	0.821634	0.0023005	0.00310069	0.00258881	0.0235142	0.00418094
ú	0.00486694	0.00958961	0.30551	0.601732	0.0125331	0.00527911	0.0210152	0.0314571	0.00801703
e	0.0130768	0.0466262	0.0913005	0.786102	0.018932	0.0206748	0.0091258	0.011397	0.00276449
y	0.0231119	0.00292347	0.122249	0.0347354	0.690027	0.0816231	0.0255219	0.000810734	0.0189973
é	0.120432	0.0178754	0.39306	0.125776	0.156914	0.0545278	0.100348	0.00827279	0.0227949
é	0.0361921	0.00492671	0.11805	0.0497097	0.437875	0.137365	0.177666	0.014163	0.0240525
d	0.0154438	0.0032175	0.0239848	0.0224262	0.450058	0.317763	0.052066	0.0175898	0.0974515
í	0.0101839	0.000574999	0.0164204	0.0186889	0.267896	0.100359	0.121657	0.0190437	0.445176
l	0.0095623	0.00018525	0.025456	0.0299606	0.192588	0.31417	0.224311	0.0234897	0.180277
a	0.0020156	0.000574903	0.0114104	0.00517506	0.0553629	0.224294	0.126468	0.0923607	0.482338
w	0.00974872	0.00181651	0.014842	0.00788435	0.0482624	0.348506	0.168526	0.182151	0.218263
ú	0.0104535	0.00356079	0.0150475	0.0140523	0.0482268	0.210883	0.0896997	0.476898	0.131178
r	0.00194861	0.000294805	0.005054	0.00726635	0.0741428	0.490019	0.198724	0.149107	0.0734435
a	0.00985596	0.00403421	0.047479	0.072063	0.0633955	0.240309	0.279788	0.138219	0.144856
</S>	0.000579694	7.70397e-05	0.00242724	0.000803619	0.0623737	0.0400227	0.224077	0.0138085	0.655831
