 	il	alla	jusqu'	aux	bornes	du	village	</S>
w	0.81188	0.0435097	0.0164466	0.0243479	0.00685001	0.0937823	0.00286887	0.000314635
a	0.910583	0.00200418	0.00262628	0.033217	0.00216971	0.0428163	0.00644321	0.000139965
a	0.0640049	0.567329	0.22587	0.0454034	0.0391792	0.0264698	0.000571467	0.0311723
d	0.0606928	0.310185	0.400394	0.0701208	0.0397538	0.021	0.00657227	0.0912809
z	0.0265065	0.372621	0.236938	0.0815633	0.106632	0.00580621	5.3194e-05	0.16988
w	0.0115705	0.911228	0.0660743	0.00474858	0.00441738	0.000121819	6.34246e-05	0.00177572
e	0.0773452	0.575166	0.15861	0.134461	0.0131879	0.0048026	0.000961618	0.0354648
t	0.0826584	0.0513829	0.591722	0.170824	0.0160538	0.0139276	0.00519449	0.0682365
é	0.00324928	0.0467655	0.893103	0.0301977	0.00274059	0.00274032	0.0118998	0.00930405
é	0.00200833	0.0787979	0.677206	0.133867	0.0279872	0.0108022	0.00727279	0.0620586
m	0.00215309	0.00234222	0.112198	0.46437	0.261937	0.109762	0.00428717	0.0429509
ó	0.0097732	0.0198069	0.111377	0.418723	0.113142	0.102844	0.00602085	0.218313
n	0.00199337	0.00231804	0.0302437	0.233676	0.57791	0.0934459	0.0248284	0.0355844
d	0.00130113	0.00855462	0.0189283	0.225646	0.675069	0.0495085	0.00106697	0.0199257
z	0.00097475	0.0112438	0.0205302	0.0871063	0.777231	0.0347487	0.0255921	0.0425738
i	0.000931403	0.0825249	0.0406206	0.143491	0.661272	0.0187985	0.0094261	0.0429353
e	0.00100692	0.030861	0.0135715	0.0536791	0.431674	0.0499846	0.0195232	0.3997
y	0.000713177	0.00024069	0.00537032	0.0831092	0.130643	0.603312	0.016277	0.160334
á	0.0151114	0.015649	0.0536903	0.198984	0.157103	0.254025	0.133278	0.172158
p	0.00539319	0.000957967	0.00599925	0.0228743	0.0438006	0.0738002	0.826178	0.0209966
o	0.000133261	0.000206772	0.00112768	0.00167877	0.00357595	0.00612702	0.978232	0.0089184
o	7.58538e-05	0.000922728	0.000940716	0.00265343	0.0108582	0.00825142	0.941303	0.0349948
</S>	0.000505265	0.000187971	0.00396648	0.0178867	0.0368419	0.169978	0.0995644	0.671069
