 	ces	enfants	viennent	de	l'	école	</S>
b	0.747793	0.216074	0.0245819	0.00305379	0.00590904	0.00190134	0.000686997
á	0.0352066	0.893939	0.0549723	0.00544009	0.00912102	0.000844962	0.000476033
n	0.054583	0.927112	0.00983274	0.00374124	0.00105049	0.00103332	0.00264711
a	0.0751615	0.908422	0.00345524	0.00187886	0.00164501	0.00130886	0.00812885
b	0.449343	0.339155	0.0805691	0.0318583	0.0424179	0.0119452	0.0447108
á	0.159237	0.202793	0.275936	0.136549	0.0930905	0.0160702	0.116324
á	0.127056	0.56282	0.141127	0.0390975	0.0363605	0.0179466	0.0755924
m	0.0351194	0.0085398	0.410282	0.349283	0.0803502	0.0325068	0.0839186
i	0.0432822	0.00747584	0.279933	0.409069	0.188168	0.0216052	0.0504677
w	0.00623702	0.000410308	0.185518	0.577246	0.0692591	0.105556	0.0557733
ú	0.00800813	0.000551196	0.217697	0.498977	0.0314413	0.139845	0.10348
r	0.0267194	0.011961	0.081338	0.583021	0.091911	0.0658436	0.139206
á	0.0969114	0.00418865	0.052767	0.529012	0.100232	0.0227362	0.194153
i	0.0813348	0.00766587	0.0535682	0.1731	0.431888	0.159072	0.0933712
s	0.00431798	0.00172351	0.0161234	0.0866445	0.0948431	0.737241	0.0591067
í	0.0157553	0.000139464	0.00509479	0.149176	0.128292	0.599256	0.102287
m	0.00962247	0.00092003	0.00964003	0.0480934	0.0849697	0.465337	0.381417
a	0.0298349	0.00227135	0.0398405	0.170705	0.187984	0.218824	0.35054
</S>	0.0157457	0.000584143	0.0103213	0.0443929	0.136133	0.165358	0.627465
