 	son	père	l'	a	réprimandé	car	il	prend	ses	études	à	la	blague	</S>
t	0.313814	0.656992	0.0196345	0.0066276	0.000627036	0.000657333	0.000143873	0.000174517	0.000589832	0.000125898	0.000189189	0.000385808	2.92951e-05	8.73751e-06
á	0.0114439	0.984035	0.00265407	0.000584144	0.000149759	0.000145232	0.000163106	0.000290005	0.000187279	8.58554e-05	9.34596e-05	0.000115676	4.00771e-05	1.19667e-05
á	0.00885012	0.946688	0.00911051	0.00816369	0.00125704	0.00466085	0.00744734	0.00147813	0.00100414	0.00153621	0.00134731	0.00119969	0.00399764	0.00325903
á	0.200534	0.142885	0.385395	0.172444	0.0148743	0.0271619	0.00825778	0.00146192	0.00793759	0.0018444	0.00721495	0.0079254	0.00194466	0.0201206
b	0.0127634	0.0260708	0.131107	0.507361	0.165957	0.056729	0.0336733	0.0239704	0.00372791	0.00454948	0.00701528	0.00900842	0.00377448	0.0142925
ε	0.00196234	0.000597306	0.00660444	0.193806	0.703825	0.0514776	0.015656	0.0153537	0.00219704	0.00104634	0.00186771	0.00119843	0.000727717	0.00368069
n	0.0619616	0.00369404	0.0484725	0.18678	0.519705	0.0922683	0.0326581	0.0159051	0.00514547	0.0030332	0.00559999	0.00268127	0.00219934	0.0198963
g	0.162202	0.0265104	0.151532	0.253748	0.15035	0.151047	0.0335633	0.00752694	0.0243262	0.00705335	0.0104822	0.00816062	0.00264067	0.0108582
i	0.131385	0.0155675	0.173183	0.0922775	0.157254	0.276094	0.0269998	0.00595525	0.0333033	0.0185841	0.0224736	0.0205724	0.00753057	0.0188205
l	0.0722947	0.0183354	0.121916	0.061569	0.132485	0.461376	0.0567707	0.00854089	0.0117932	0.00703248	0.00903788	0.00509484	0.00432708	0.0294275
a	0.0461569	0.00328474	0.0209822	0.00743424	0.0820769	0.434733	0.114545	0.0162751	0.0526667	0.0258099	0.0431989	0.046814	0.0115988	0.0944237
w	0.0707412	0.0120675	0.136748	0.0536943	0.0384492	0.509951	0.07836	0.00743363	0.0236756	0.00818269	0.0127858	0.0165557	0.00604629	0.0253089
a	0.0348379	0.00564529	0.128212	0.206708	0.0331623	0.377977	0.12231	0.0110561	0.023642	0.0075934	0.00841678	0.013464	0.0188986	0.008077
t	0.0101704	0.00286972	0.0744324	0.052013	0.0206887	0.560342	0.156549	0.0200483	0.0293292	0.0125068	0.0138052	0.0137645	0.00630161	0.0271785
s	0.0621901	0.0113287	0.0235695	0.0301133	0.058417	0.338989	0.201223	0.0662364	0.0392002	0.115439	0.0146442	0.00586872	0.0176817	0.0150986
í	0.00433525	0.000375224	0.0048605	0.0115341	0.0591178	0.505446	0.19547	0.0538494	0.00879341	0.0613822	0.0142678	0.00377954	0.0161021	0.060687
n	0.0126856	0.00267665	0.0107851	0.0383609	0.164395	0.424246	0.0946138	0.0865934	0.00431666	0.0792757	0.00430668	0.00180384	0.00972819	0.0662116
a	0.022172	0.00189495	0.0100227	0.00476088	0.0313227	0.221439	0.290801	0.030491	0.0414459	0.0826813	0.0303099	0.0114297	0.0126733	0.208556
w	0.00441594	0.0011355	0.0330999	0.0316214	0.00215585	0.26316	0.445191	0.0802023	0.0594737	0.0385442	0.0158793	0.00741237	0.00241536	0.0152928
a	0.00728488	0.00553128	0.00894069	0.0123844	0.00715561	0.163735	0.36635	0.0536054	0.0757154	0.141714	0.0402984	0.0163917	0.0288209	0.0720723
l	0.00154879	0.000554394	0.0117915	0.00698799	0.00103963	0.0534967	0.210481	0.158493	0.206441	0.186873	0.0735114	0.0429132	0.0121088	0.0337587
á	0.00427815	0.000316591	0.00487973	0.00290379	0.0035829	0.0625679	0.27758	0.0984769	0.113328	0.0337128	0.0819039	0.0629799	0.0173238	0.236166
a	0.00444907	0.0010954	0.0120714	0.00206815	0.0036598	0.0163022	0.0838373	0.119236	0.237886	0.239368	0.0579691	0.0957158	0.0400949	0.0862473
k	0.00031811	4.34738e-05	0.00289794	0.00240965	0.00446791	0.0084252	0.0814463	0.579725	0.0636822	0.124035	0.0374061	0.0385881	0.0307959	0.025759
y	2.64262e-06	1.02143e-05	0.000147387	0.000683034	0.000802953	0.000994535	0.0191317	0.895667	0.0206006	0.018865	0.0135208	0.00814984	0.00650581	0.0149186
á	0.00136967	7.52315e-05	0.00329915	0.0032051	0.00480885	0.0206679	0.127974	0.424532	0.0255661	0.225585	0.0550412	0.023979	0.0434395	0.0404574
l	0.000337139	4.95338e-05	0.000423162	0.000758243	0.000138736	0.00409902	0.0366967	0.0874816	0.113881	0.346186	0.158093	0.0355549	0.0741129	0.142188
e	0.000313812	2.38545e-05	6.27679e-05	0.0001029	0.00100703	0.0041848	0.0279789	0.128208	0.110174	0.235025	0.17171	0.0865212	0.106851	0.127836
k	0.000289408	2.06668e-05	0.00128256	0.000243464	0.000175385	0.00184002	0.00736506	0.0172442	0.0849762	0.168812	0.236801	0.225785	0.208525	0.0466401
ώ	7.19369e-05	2.03429e-05	0.000139736	0.00011369	0.000223417	0.000881091	0.00407978	0.0697671	0.0348398	0.438783	0.168732	0.0677448	0.170125	0.0444785
ώ	9.88519e-05	6.34331e-06	0.000125197	0.00013394	0.000531331	0.00193718	0.00327992	0.0239643	0.0181709	0.248801	0.136566	0.0800555	0.412835	0.0734951
l	0.000401043	2.36244e-05	0.000610264	0.000282849	0.000102117	0.00171174	0.00540757	0.00616026	0.086204	0.020482	0.21592	0.271732	0.233347	0.157616
i	0.000603254	3.19504e-05	0.000888698	0.000485284	0.000660597	0.00433984	0.0172363	0.0313027	0.0742613	0.0392818	0.110802	0.225056	0.235333	0.259718
e	0.00171902	7.07247e-05	0.00492868	0.000511731	0.000138428	0.00438299	0.00374997	0.00263765	0.0728026	0.0312585	0.128198	0.301369	0.11046	0.337773
w	0.000498621	0.0001024	0.00226594	0.00078058	0.00101506	0.00419518	0.0082178	0.0281068	0.0257716	0.0232512	0.0541196	0.252984	0.414867	0.183824
a	0.000873866	4.47715e-05	0.00257058	0.00152332	0.00121685	0.00428193	0.00558082	0.0130731	0.0203045	0.0264598	0.0292555	0.126855	0.716171	0.0517886
a	7.27648e-05	9.16385e-06	0.000368536	0.000323117	0.000299551	0.00150086	0.00372642	0.0114775	0.0157803	0.0452702	0.0871938	0.11554	0.482278	0.236159
m	0.00138882	2.50603e-05	0.00315302	0.00298896	0.000535621	0.0137171	0.0139024	0.013467	0.0616558	0.0143603	0.0951806	0.282423	0.158692	0.33851
í	0.000487876	0.000403743	0.00536837	0.00110649	0.000279552	0.00294708	0.0117191	0.0241828	0.186971	0.00344313	0.0402726	0.226123	0.172469	0.324226
</S>	0.000171948	1.26999e-05	0.00701298	0.000535494	0.000251242	0.00308457	0.0060352	0.0117446	0.0971168	0.0295129	0.0820281	0.264521	0.169119	0.328854
