 	itoua	ressemble	à	son	père	</S>
i	0.761017	0.147061	0.0224951	0.0416827	0.0272169	0.00052779
t	0.933581	0.056983	0.00266086	0.000321342	0.00470786	0.00174556
ú	0.884402	0.0928486	0.00560819	0.00194014	0.0125995	0.00260147
a	0.908241	0.0784324	0.00605386	0.000956349	0.00148848	0.00482797
á	0.272048	0.331599	0.138452	0.0272876	0.004813	0.225801
b	0.118955	0.426455	0.32379	0.0512556	0.0169674	0.0625774
o	0.107417	0.267792	0.449525	0.100271	0.0263811	0.0486143
n	0.119011	0.3589	0.432591	0.014584	0.0217409	0.053173
d	0.214024	0.43164	0.251683	0.042093	0.0205004	0.0400601
i	0.105046	0.434913	0.228178	0.0761233	0.0529208	0.102819
t	0.00575023	0.0561753	0.291521	0.55422	0.0650765	0.0272574
á	0.00908439	0.0553911	0.138176	0.153252	0.456283	0.187814
á	0.000625099	0.00253229	0.0374483	0.167144	0.709876	0.082374
</S>	0.00117353	0.00715687	0.116739	0.458212	0.292294	0.124424
