 	le	poisson	qu'	ils	m'	ont	vendu	est	grillé	</S>
s	0.548469	0.28648	0.0810177	0.0591495	0.00620771	0.00666217	0.00562844	0.0047817	0.00127183	0.000332067
w	0.349438	0.409852	0.0605789	0.00292175	0.0826211	0.0519089	0.0141406	0.00809657	0.00183767	0.0186045
é	0.226845	0.700001	0.0422036	0.00114471	0.00257743	0.00536814	0.00993715	0.00236382	0.00111644	0.00844216
y	0.180876	0.51717	0.11207	0.0121896	0.00395816	0.00825927	0.0235918	0.0109091	0.00651188	0.124464
e	0.288173	0.480045	0.121132	0.01284	0.00946704	0.0314269	0.00992367	0.00579321	0.00915411	0.0320447
e	0.293953	0.091204	0.41547	0.085246	0.029461	0.0218141	0.018528	0.0168494	0.00429865	0.0231761
k	0.101886	0.0761324	0.268692	0.0751502	0.0194093	0.1287	0.0985292	0.0500092	0.0174314	0.16406
i	0.0828115	0.0829285	0.133905	0.104763	0.00491482	0.120889	0.366364	0.0319279	0.013648	0.0578492
r	0.0751225	0.0642032	0.173105	0.123081	0.00318725	0.135433	0.251356	0.0478037	0.00699408	0.119714
í	0.21208	0.0836404	0.245087	0.0672159	0.0077045	0.0368046	0.0757708	0.0191463	0.0180881	0.234462
b	0.0370992	0.019942	0.184493	0.39146	0.247564	0.0640244	0.0239843	0.0221997	0.00156354	0.00766951
á	0.015	0.027686	0.0991426	0.62829	0.100933	0.0703192	0.0343262	0.00843411	0.00334094	0.0125274
a	0.00270306	0.00751185	0.0369454	0.72525	0.169471	0.0336331	0.0116641	0.00577398	0.00139044	0.00565775
n	0.00187766	0.00161561	0.0259294	0.0762211	0.0818293	0.494929	0.1851	0.102153	0.00368557	0.0266594
g	0.00390303	0.00724478	0.0143427	0.00575704	0.490749	0.241471	0.118723	0.0293442	0.0125434	0.0759219
á	0.00481576	0.013174	0.0548281	0.0123227	0.4362	0.131973	0.18574	0.0271038	0.0887507	0.0450923
a	0.00253609	0.000868157	0.0332883	0.0120413	0.0269068	0.0951083	0.368516	0.317277	0.0687706	0.0746869
d	0.00594205	0.00310739	0.0152025	0.00477963	0.016406	0.114394	0.158875	0.522126	0.0862545	0.0729128
í	0.00406763	0.00328028	0.00409413	0.00102942	0.0189298	0.066456	0.081997	0.158846	0.0694216	0.591878
o	0.00408186	0.00108827	0.00855368	0.0152236	0.0427791	0.0379641	0.067269	0.401799	0.186245	0.234997
k	0.0013347	0.00103529	0.000862105	0.000364973	0.000408195	0.00537532	0.08059	0.172608	0.584551	0.15287
á	0.000205386	0.00015363	0.000742571	0.000304897	0.000110382	0.00326694	0.105768	0.11403	0.691987	0.0834307
n	0.00727095	0.0024949	0.00807628	0.0228399	0.00596165	0.0236229	0.167194	0.269315	0.360121	0.133104
g	0.000659802	0.000442958	0.00686067	0.00671501	0.00924564	0.0195742	0.197803	0.0995068	0.458257	0.200934
í	0.00298719	0.0101873	0.0192143	0.00593997	0.0629635	0.0133551	0.0709428	0.0274342	0.50782	0.279156
l	0.00134058	0.000849981	0.0107735	0.00458611	0.026163	0.00866794	0.0231985	0.133827	0.318969	0.471625
á	0.00299812	0.00233624	0.00999179	0.00217514	0.00675027	0.0105836	0.0308535	0.0521365	0.421333	0.460842
k	0.0122294	0.00374975	0.0327153	0.0101798	0.0608377	0.00916572	0.0153591	0.0488401	0.3983	0.408623
a	0.001201	0.00191891	0.010374	0.0119134	0.00284045	0.00462346	0.011509	0.0304334	0.777322	0.147864
n	0.000456928	0.000556776	0.0025352	0.00445108	0.00214451	0.00291748	0.0186955	0.0817722	0.271707	0.614763
g	0.000356824	0.000195695	0.00268034	0.000468857	0.0004929	0.00294776	0.0445054	0.041733	0.487149	0.41947
i	0.000634528	0.00248695	0.00534471	0.000503365	0.00122836	0.00105554	0.0172158	0.00518735	0.547379	0.418965
l	0.00777487	0.00598419	0.0163196	0.00622659	0.00604364	0.00727499	0.0462274	0.0567813	0.318472	0.528896
a	0.0138186	0.00919754	0.0309654	0.00615506	0.0113678	0.0132884	0.0495073	0.0368333	0.185231	0.643636
</S>	0.023743	0.0185208	0.0838985	0.0178946	0.0859943	0.0104155	0.0167075	0.0486357	0.132989	0.561201
