 	cet	homme	vient	de	rencontrer	son	amante	</S>
i	0.373472	0.604619	0.00397141	0.00322926	0.00552092	0.00790671	0.000974651	0.000305537
b	0.153732	0.802435	0.0163865	0.00419165	0.0108136	0.00337153	0.00775941	0.00131028
a	0.0137053	0.971109	0.00301246	0.000734718	0.00791993	0.000836183	0.00150214	0.00118047
a	0.047804	0.918569	0.00337234	0.00261775	0.00894315	0.00337376	0.000912935	0.014407
d	0.728159	0.108674	0.0898477	0.00934574	0.00532263	0.0130774	0.00108793	0.0444856
í	0.0783053	0.0373318	0.11112	0.0396147	0.00924789	0.0228954	0.00817695	0.693308
í	0.0906922	0.0783191	0.401546	0.0653914	0.0120985	0.0521379	0.00641085	0.293404
w	0.0434172	0.0129718	0.533737	0.258155	0.0408557	0.0406581	0.00460239	0.0656024
ú	0.00979029	0.0243584	0.550917	0.203009	0.0836945	0.0670191	0.016723	0.0444887
r	0.0176426	0.0257241	0.27703	0.453786	0.0802848	0.0483242	0.0173535	0.0798554
u	0.0376318	0.0211307	0.117949	0.538717	0.167894	0.0738327	0.0139899	0.0288544
o	0.0351323	0.0197254	0.097554	0.522939	0.173801	0.122089	0.0121208	0.0166387
t	0.00495043	0.00733067	0.20949	0.353791	0.312375	0.0786374	0.0157215	0.0177031
e	0.000742346	0.00408907	0.0755803	0.159501	0.639327	0.0374314	0.0202892	0.0630395
n	0.00165483	0.00956554	0.116606	0.153325	0.504346	0.0412336	0.0144811	0.158788
έ	0.00410402	0.00388676	0.0553071	0.202883	0.56473	0.0427431	0.0135988	0.112747
έ	0.00838978	0.00177524	0.0199223	0.144206	0.369513	0.389472	0.0290303	0.0376917
l	0.00311511	0.00223648	0.00813902	0.104357	0.245004	0.385853	0.208559	0.0427368
o	0.0042385	0.00112032	0.0125719	0.113824	0.134605	0.382579	0.231172	0.119889
t	0.00656514	0.00237005	0.00651065	0.0457201	0.0377008	0.319528	0.538439	0.0431656
ú	0.00270213	0.00183899	0.00636683	0.0296957	0.273114	0.241306	0.390183	0.0547927
n	0.000631379	0.000200204	0.00097679	0.0127382	0.148162	0.0646634	0.581129	0.191499
á	0.000250043	0.000366751	0.00132951	0.0498471	0.424356	0.123548	0.354535	0.0457678
m	0.00449459	0.00176733	0.00649858	0.0439199	0.0750646	0.251763	0.178148	0.438344
á	0.0118747	0.00634792	0.0118895	0.0267525	0.0463407	0.457504	0.211154	0.228136
d	0.00488091	0.00147248	0.00458928	0.0163787	0.0194375	0.226118	0.524827	0.202296
i	0.00316961	0.000669368	0.00317273	0.0120684	0.00817033	0.0668783	0.710096	0.195775
a	0.000308646	0.000145666	0.000965162	0.00580433	0.0106556	0.160492	0.370648	0.45098
</S>	0.000490442	0.000598419	0.00579556	0.0238755	0.0237197	0.197576	0.18226	0.565684
