 	tout	le	monde	est	mortel	</S>
á	0.759382	0.229042	0.00997514	0.000770785	0.000513152	0.000317527
t	0.0847399	0.521885	0.375596	0.00510273	0.00582004	0.00685584
s	0.0262807	0.299044	0.542877	0.0245119	0.0454641	0.0618228
ω	0.0956287	0.364928	0.452474	0.0517043	0.014038	0.0212264
l	0.172211	0.264031	0.462608	0.0484078	0.0123981	0.0403446
e	0.0755281	0.176523	0.521509	0.0399039	0.0420378	0.144498
d	0.220485	0.164721	0.226192	0.205545	0.0549586	0.128098
í	0.0338537	0.0649509	0.0737206	0.0633855	0.488248	0.275841
a	0.108796	0.0688817	0.195062	0.330891	0.0588479	0.237521
w	0.0104125	0.021045	0.070427	0.329982	0.43601	0.132124
é	0.00154259	0.0194147	0.0563357	0.123346	0.642762	0.156599
e	0.00372005	0.0105002	0.0776399	0.178691	0.287069	0.44238
</S>	0.00613514	0.00582496	0.00790732	0.0992162	0.379311	0.501605
