 	cette	liane	a	des	bosses	</S>
l	0.390582	0.454132	0.115951	0.0223253	0.0126887	0.00432092
e	0.720054	0.203522	0.0386348	0.0216887	0.0110916	0.0050087
n	0.417185	0.424895	0.0600941	0.0318498	0.01177	0.0542053
g	0.0833759	0.732491	0.010659	0.00646885	0.0565117	0.110494
ω	0.0312822	0.952161	0.00374227	0.00199759	0.00770044	0.00311663
s	0.0500748	0.726627	0.0111491	0.0184539	0.189019	0.00467685
í	0.100234	0.110467	0.189771	0.106235	0.0457159	0.447577
d	0.191802	0.0266463	0.454605	0.28739	0.00280513	0.0367517
í	0.0808744	0.0166915	0.220109	0.0978243	0.00696369	0.577537
í	0.0546862	0.0335412	0.470026	0.278396	0.0241745	0.139176
d	0.0151302	0.031817	0.489543	0.325686	0.0198194	0.118004
í	0.00548231	0.000840271	0.122113	0.21397	0.0120294	0.645566
l	0.0166197	0.00137595	0.140655	0.345615	0.0652782	0.430456
a	0.00338364	0.00157421	0.0590039	0.269582	0.040961	0.625495
b	0.00797627	0.00110017	0.021204	0.105817	0.805492	0.0584103
o	0.027039	0.0107633	0.0444035	0.183946	0.695774	0.0380743
n	0.000520867	0.000334515	0.0169983	0.0847016	0.856319	0.0411258
g	0.00122098	0.00155474	0.0123468	0.0466006	0.872598	0.0656789
o	0.00199979	0.00220358	0.0132147	0.0201772	0.861905	0.1005
</S>	0.00695385	0.00446452	0.0584503	0.142749	0.0904412	0.696942
