 	je	l'	ai	vu	l'	année	dernièré	</S>
n	0.797081	0.0876634	0.0735261	0.0128074	0.00627893	0.0220242	0.000238762	0.000380601
g	0.941513	0.0423851	0.0132814	0.000609982	0.00153443	0.000261186	0.000376124	3.8298e-05
á	0.895624	0.075021	0.0245124	0.00140439	0.00163485	0.000397399	0.00136402	4.17944e-05
l	0.109743	0.355737	0.326052	0.0545065	0.030875	0.0134382	0.0116769	0.0979714
a	0.361678	0.176288	0.0816078	0.0826764	0.0558445	0.0249929	0.0645642	0.152348
t	0.0845553	0.177119	0.199409	0.0647099	0.0736136	0.0380475	0.146581	0.215966
á	0.0246198	0.18795	0.261355	0.375838	0.0442284	0.0547995	0.00429318	0.0469161
á	0.164861	0.14632	0.194946	0.36464	0.031195	0.00943324	0.0105968	0.0780073
w	0.00916712	0.0618763	0.147875	0.426515	0.298522	0.0422494	0.00817591	0.00561889
a	0.00566558	0.0757288	0.218587	0.344331	0.190347	0.120719	0.0249845	0.0196384
ε	0.00662546	0.0510541	0.132108	0.229511	0.253664	0.223765	0.069198	0.0340742
b	0.000806057	0.0133955	0.0175283	0.221494	0.341051	0.264503	0.0826898	0.0585326
h	0.000201843	0.00499904	0.0079892	0.0706992	0.0527188	0.71984	0.0370334	0.106519
a	4.01879e-05	0.00177204	0.00251599	0.032115	0.0571922	0.77874	0.0224119	0.105213
n	0.000360459	0.00172469	0.0173834	0.0685386	0.0910259	0.550407	0.0108027	0.259757
á	0.00141791	0.00675617	0.0284099	0.0649425	0.20214	0.429062	0.040857	0.226414
a	0.00116292	0.00904534	0.0253042	0.0383541	0.203735	0.298178	0.30882	0.115401
y	0.000989678	0.00234447	0.00220835	0.00506841	0.0252763	0.037294	0.764781	0.162038
é	0.000605692	0.00975763	0.00616951	0.00972505	0.113355	0.013048	0.665603	0.181736
é	0.000565836	0.00334664	0.005365	0.00392833	0.0580386	0.0126467	0.403305	0.512804
l	0.000207259	0.00135987	0.00237551	0.00678044	0.022836	0.0133432	0.377752	0.575346
e	0.00248905	0.00583665	0.00392925	0.00848343	0.0337974	0.00410032	0.599715	0.341649
í	5.73693e-05	0.00156009	0.00167054	0.000983353	0.0463789	0.0107135	0.462692	0.475944
</S>	0.00141129	0.00301162	0.00380036	0.00718869	0.0315452	0.0149637	0.436345	0.501734
